,text,match,probability,item_id,model,dataset
0,aa,match,1.0,1,ViT-g-14,natural
1,aa,match,1.0,2,ViT-g-14,natural
2,aa,match,1.0,3,ViT-g-14,natural
3,aa,match,1.0,4,ViT-g-14,natural
4,aa,match,1.0,5,ViT-g-14,natural
5,aa,match,1.0,6,ViT-g-14,natural
6,aa,match,1.0,7,ViT-g-14,natural
7,aa,match,1.0,8,ViT-g-14,natural
8,aa,match,1.0,9,ViT-g-14,natural
9,aa,match,1.0,10,ViT-g-14,natural
10,aa,match,1.0,11,ViT-g-14,natural
11,aa,match,1.0,12,ViT-g-14,natural
12,aa,match,1.0,13,ViT-g-14,natural
13,aa,match,1.0,14,ViT-g-14,natural
14,aa,match,1.0,15,ViT-g-14,natural
15,aa,match,1.0,16,ViT-g-14,natural
16,aa,match,1.0,17,ViT-g-14,natural
17,aa,match,1.0,18,ViT-g-14,natural
18,ab,mismatch,0.0,1,ViT-g-14,natural
19,ab,mismatch,1.0741901301189877e-31,2,ViT-g-14,natural
20,ab,mismatch,4.6778187334957366e-14,3,ViT-g-14,natural
21,ab,mismatch,0.0,4,ViT-g-14,natural
22,ab,mismatch,0.0,5,ViT-g-14,natural
23,ab,mismatch,0.0,6,ViT-g-14,natural
24,ab,mismatch,6.2700155416742974e-27,7,ViT-g-14,natural
25,ab,mismatch,0.0,8,ViT-g-14,natural
26,ab,mismatch,0.0,9,ViT-g-14,natural
27,ab,mismatch,0.0,10,ViT-g-14,natural
28,ab,mismatch,1.1036469747642728e-25,11,ViT-g-14,natural
29,ab,mismatch,0.0,12,ViT-g-14,natural
30,ab,mismatch,0.0,13,ViT-g-14,natural
31,ab,mismatch,0.0,14,ViT-g-14,natural
32,ab,mismatch,0.0,15,ViT-g-14,natural
33,ab,mismatch,1.2060437730023539e-34,16,ViT-g-14,natural
34,ab,mismatch,3.348509817481072e-22,17,ViT-g-14,natural
35,ab,mismatch,0.0,18,ViT-g-14,natural
36,ac,mismatch,5.605193857299268e-45,1,ViT-g-14,natural
37,ac,mismatch,1.802527649463866e-33,2,ViT-g-14,natural
38,ac,mismatch,1.3237687396968741e-31,3,ViT-g-14,natural
39,ac,mismatch,0.0,4,ViT-g-14,natural
40,ac,mismatch,0.0,5,ViT-g-14,natural
41,ac,mismatch,0.0,6,ViT-g-14,natural
42,ac,mismatch,1.3403150313546216e-36,7,ViT-g-14,natural
43,ac,mismatch,0.0,8,ViT-g-14,natural
44,ac,mismatch,0.0,9,ViT-g-14,natural
45,ac,mismatch,0.0,10,ViT-g-14,natural
46,ac,mismatch,1.5414283107572988e-44,11,ViT-g-14,natural
47,ac,mismatch,0.0,12,ViT-g-14,natural
48,ac,mismatch,0.0,13,ViT-g-14,natural
49,ac,mismatch,0.0,14,ViT-g-14,natural
50,ac,mismatch,1.947076190210047e-40,15,ViT-g-14,natural
51,ac,mismatch,0.0,16,ViT-g-14,natural
52,ac,mismatch,5.433244336488234e-28,17,ViT-g-14,natural
53,ac,mismatch,0.0,18,ViT-g-14,natural
54,bb,match,1.0,1,ViT-g-14,natural
55,bb,match,1.0,2,ViT-g-14,natural
56,bb,match,1.0,3,ViT-g-14,natural
57,bb,match,1.0,4,ViT-g-14,natural
58,bb,match,1.0,5,ViT-g-14,natural
59,bb,match,1.0,6,ViT-g-14,natural
60,bb,match,1.0,7,ViT-g-14,natural
61,bb,match,1.0,8,ViT-g-14,natural
62,bb,match,1.0,9,ViT-g-14,natural
63,bb,match,1.0,10,ViT-g-14,natural
64,bb,match,1.0,11,ViT-g-14,natural
65,bb,match,1.0,12,ViT-g-14,natural
66,bb,match,1.0,13,ViT-g-14,natural
67,bb,match,1.0,14,ViT-g-14,natural
68,bb,match,1.0,15,ViT-g-14,natural
69,bb,match,1.0,16,ViT-g-14,natural
70,bb,match,1.0,17,ViT-g-14,natural
71,bb,match,1.0,18,ViT-g-14,natural
72,ba,mismatch,0.0,1,ViT-g-14,natural
73,ba,mismatch,2.7455209217208676e-09,2,ViT-g-14,natural
74,ba,mismatch,0.0,3,ViT-g-14,natural
75,ba,mismatch,0.0,4,ViT-g-14,natural
76,ba,mismatch,0.0,5,ViT-g-14,natural
77,ba,mismatch,4.985147312804823e-40,6,ViT-g-14,natural
78,ba,mismatch,2.791707091735242e-15,7,ViT-g-14,natural
79,ba,mismatch,0.0,8,ViT-g-14,natural
80,ba,mismatch,0.0,9,ViT-g-14,natural
81,ba,mismatch,2.1566705516965846e-31,10,ViT-g-14,natural
82,ba,mismatch,0.0,11,ViT-g-14,natural
83,ba,mismatch,0.0,12,ViT-g-14,natural
84,ba,mismatch,0.0,13,ViT-g-14,natural
85,ba,mismatch,2.1277836381727866e-08,14,ViT-g-14,natural
86,ba,mismatch,0.0,15,ViT-g-14,natural
87,ba,mismatch,0.0,16,ViT-g-14,natural
88,ba,mismatch,2.4777450039490493e-37,17,ViT-g-14,natural
89,ba,mismatch,4.38950187575203e-26,18,ViT-g-14,natural
90,bc,mismatch,0.0,1,ViT-g-14,natural
91,bc,mismatch,1.839357193204661e-24,2,ViT-g-14,natural
92,bc,mismatch,0.0,3,ViT-g-14,natural
93,bc,mismatch,0.0,4,ViT-g-14,natural
