,text,match,probability,item_id,model,dataset
0,aa,match,0.9999991655349731,1,imagebind,natural
1,aa,match,0.9999974966049194,2,imagebind,natural
2,aa,match,0.999962329864502,3,imagebind,natural
3,aa,match,1.0,4,imagebind,natural
4,aa,match,1.0,5,imagebind,natural
5,aa,match,0.9998948574066162,6,imagebind,natural
6,aa,match,0.9999978542327881,7,imagebind,natural
7,aa,match,1.0,8,imagebind,natural
8,aa,match,1.0,9,imagebind,natural
9,aa,match,1.0,10,imagebind,natural
10,aa,match,0.9999982118606567,11,imagebind,natural
11,aa,match,1.0,12,imagebind,natural
12,aa,match,1.0,13,imagebind,natural
13,aa,match,1.0,14,imagebind,natural
14,aa,match,0.9999998807907104,15,imagebind,natural
15,aa,match,0.9999955892562866,16,imagebind,natural
16,aa,match,0.9995884299278259,17,imagebind,natural
17,aa,match,1.0,18,imagebind,natural
18,ab,mismatch,3.630662437359433e-10,1,imagebind,natural
19,ab,mismatch,2.2397157408704516e-06,2,imagebind,natural
20,ab,mismatch,3.6029927287017927e-05,3,imagebind,natural
21,ab,mismatch,1.1616616696352722e-10,4,imagebind,natural
22,ab,mismatch,3.2784582340572577e-13,5,imagebind,natural
23,ab,mismatch,5.425249138824029e-09,6,imagebind,natural
24,ab,mismatch,2.0199584014335414e-06,7,imagebind,natural
25,ab,mismatch,8.881056445808611e-10,8,imagebind,natural
26,ab,mismatch,4.189804336807157e-10,9,imagebind,natural
27,ab,mismatch,1.1933137811226402e-09,10,imagebind,natural
28,ab,mismatch,1.833685587371292e-06,11,imagebind,natural
29,ab,mismatch,6.040664635165172e-10,12,imagebind,natural
30,ab,mismatch,4.083073434912876e-09,13,imagebind,natural
31,ab,mismatch,1.6472583297399979e-09,14,imagebind,natural
32,ab,mismatch,1.0117434356970989e-07,15,imagebind,natural
33,ab,mismatch,4.4203275137988385e-06,16,imagebind,natural
34,ab,mismatch,0.00039935094537213445,17,imagebind,natural
35,ab,mismatch,1.4424399452650505e-09,18,imagebind,natural
36,ac,mismatch,7.875902952036995e-07,1,imagebind,natural
37,ac,mismatch,1.8789035038935253e-07,2,imagebind,natural
38,ac,mismatch,1.689125951997994e-06,3,imagebind,natural
39,ac,mismatch,1.953173844881917e-09,4,imagebind,natural
40,ac,mismatch,9.538036864226856e-14,5,imagebind,natural
41,ac,mismatch,0.00010514703899389133,6,imagebind,natural
42,ac,mismatch,1.1575095726357176e-07,7,imagebind,natural
43,ac,mismatch,3.1626741225920796e-09,8,imagebind,natural
44,ac,mismatch,5.391939783550015e-09,9,imagebind,natural
45,ac,mismatch,1.6216958331760623e-12,10,imagebind,natural
46,ac,mismatch,6.566867605251048e-10,11,imagebind,natural
47,ac,mismatch,8.892892644496442e-09,12,imagebind,natural
48,ac,mismatch,9.450181082115705e-09,13,imagebind,natural
49,ac,mismatch,9.49328983479436e-12,14,imagebind,natural
50,ac,mismatch,1.9954354613105352e-08,15,imagebind,natural
51,ac,mismatch,5.451209705853444e-09,16,imagebind,natural
52,ac,mismatch,1.2218519259477034e-05,17,imagebind,natural
53,ac,mismatch,6.281848374811716e-10,18,imagebind,natural
54,bb,match,1.0,1,imagebind,natural
55,bb,match,0.9995755553245544,2,imagebind,natural
56,bb,match,0.9999997615814209,3,imagebind,natural
57,bb,match,0.9999998807907104,4,imagebind,natural
58,bb,match,1.0,5,imagebind,natural
59,bb,match,0.9997885823249817,6,imagebind,natural
60,bb,match,0.9999616146087646,7,imagebind,natural
61,bb,match,1.0,8,imagebind,natural
62,bb,match,0.9999998807907104,9,imagebind,natural
63,bb,match,0.9999997615814209,10,imagebind,natural
64,bb,match,0.9999998807907104,11,imagebind,natural
65,bb,match,0.9999998807907104,12,imagebind,natural
66,bb,match,0.9999998807907104,13,imagebind,natural
67,bb,match,0.9993364214897156,14,imagebind,natural
68,bb,match,1.0,15,imagebind,natural
69,bb,match,1.0,16,imagebind,natural
70,bb,match,0.9999936819076538,17,imagebind,natural
71,bb,match,0.9999942779541016,18,imagebind,natural
72,ba,mismatch,8.982816660646487e-13,1,imagebind,natural
73,ba,mismatch,0.00041740553569979966,2,imagebind,natural
74,ba,mismatch,2.649525470133085e-07,3,imagebind,natural
75,ba,mismatch,3.391169289823637e-10,4,imagebind,natural
76,ba,mismatch,2.0834200684105575e-11,5,imagebind,natural
77,ba,mismatch,1.5197969105429365e-07,6,imagebind,natural
78,ba,mismatch,3.143399226246402e-05,7,imagebind,natural
79,ba,mismatch,1.577920303100222e-12,8,imagebind,natural
80,ba,mismatch,6.017326370511e-08,9,imagebind,natural
81,ba,mismatch,2.395153728684818e-07,10,imagebind,natural
82,ba,mismatch,3.643834345368191e-09,11,imagebind,natural
83,ba,mismatch,6.275826212875923e-13,12,imagebind,natural
84,ba,mismatch,1.0856410170845265e-07,13,imagebind,natural
85,ba,mismatch,0.0006165314116515219,14,imagebind,natural
86,ba,mismatch,1.660628340567627e-12,15,imagebind,natural
87,ba,mismatch,6.819885910343271e-13,16,imagebind,natural
88,ba,mismatch,5.541922746488126e-06,17,imagebind,natural
89,ba,mismatch,5.719819910154911e-06,18,imagebind,natural
90,bc,mismatch,1.6253977805076418e-14,1,imagebind,natural
91,bc,mismatch,7.072233984217746e-06,2,imagebind,natural
92,bc,mismatch,5.338800582177505e-11,3,imagebind,natural
93,bc,mismatch,1.0617814183433438e-07,4,imagebind,natural
94,bc,mismatch,1.4920449320499074e-09,5,imagebind,natural
95,bc,mismatch,0.0002113159716827795,6,imagebind,natural
