,text,match,probability,item_id,model,dataset
0,aa,match,1.0,1,ViT-bigG-14,synthetic
1,aa,match,1.0,2,ViT-bigG-14,synthetic
2,aa,match,1.0,3,ViT-bigG-14,synthetic
3,aa,match,1.0,4,ViT-bigG-14,synthetic
4,aa,match,1.0,5,ViT-bigG-14,synthetic
5,aa,match,1.0,6,ViT-bigG-14,synthetic
6,aa,match,1.0,7,ViT-bigG-14,synthetic
7,aa,match,1.0,8,ViT-bigG-14,synthetic
8,aa,match,1.0,9,ViT-bigG-14,synthetic
9,aa,match,1.0,10,ViT-bigG-14,synthetic
10,aa,match,1.0,11,ViT-bigG-14,synthetic
11,aa,match,1.0,12,ViT-bigG-14,synthetic
12,aa,match,1.0,13,ViT-bigG-14,synthetic
13,aa,match,1.0,14,ViT-bigG-14,synthetic
14,aa,match,1.0,15,ViT-bigG-14,synthetic
15,aa,match,1.0,16,ViT-bigG-14,synthetic
16,aa,match,1.0,17,ViT-bigG-14,synthetic
17,aa,match,1.0,18,ViT-bigG-14,synthetic
18,ab,mismatch,0.0,1,ViT-bigG-14,synthetic
19,ab,mismatch,0.0,2,ViT-bigG-14,synthetic
20,ab,mismatch,0.0,3,ViT-bigG-14,synthetic
21,ab,mismatch,0.0,4,ViT-bigG-14,synthetic
22,ab,mismatch,0.0,5,ViT-bigG-14,synthetic
23,ab,mismatch,0.0,6,ViT-bigG-14,synthetic
24,ab,mismatch,0.0,7,ViT-bigG-14,synthetic
25,ab,mismatch,0.0,8,ViT-bigG-14,synthetic
26,ab,mismatch,0.0,9,ViT-bigG-14,synthetic
27,ab,mismatch,0.0,10,ViT-bigG-14,synthetic
28,ab,mismatch,0.0,11,ViT-bigG-14,synthetic
29,ab,mismatch,0.0,12,ViT-bigG-14,synthetic
30,ab,mismatch,0.0,13,ViT-bigG-14,synthetic
31,ab,mismatch,0.0,14,ViT-bigG-14,synthetic
32,ab,mismatch,0.0,15,ViT-bigG-14,synthetic
33,ab,mismatch,0.0,16,ViT-bigG-14,synthetic
34,ab,mismatch,1.90369600240123e-18,17,ViT-bigG-14,synthetic
35,ab,mismatch,0.0,18,ViT-bigG-14,synthetic
36,ac,mismatch,0.0,1,ViT-bigG-14,synthetic
37,ac,mismatch,0.0,2,ViT-bigG-14,synthetic
38,ac,mismatch,0.0,3,ViT-bigG-14,synthetic
39,ac,mismatch,0.0,4,ViT-bigG-14,synthetic
40,ac,mismatch,0.0,5,ViT-bigG-14,synthetic
41,ac,mismatch,0.0,6,ViT-bigG-14,synthetic
42,ac,mismatch,0.0,7,ViT-bigG-14,synthetic
43,ac,mismatch,0.0,8,ViT-bigG-14,synthetic
44,ac,mismatch,0.0,9,ViT-bigG-14,synthetic
45,ac,mismatch,0.0,10,ViT-bigG-14,synthetic
46,ac,mismatch,0.0,11,ViT-bigG-14,synthetic
47,ac,mismatch,0.0,12,ViT-bigG-14,synthetic
48,ac,mismatch,0.0,13,ViT-bigG-14,synthetic
49,ac,mismatch,0.0,14,ViT-bigG-14,synthetic
50,ac,mismatch,0.0,15,ViT-bigG-14,synthetic
51,ac,mismatch,0.0,16,ViT-bigG-14,synthetic
52,ac,mismatch,7.505443697506051e-38,17,ViT-bigG-14,synthetic
53,ac,mismatch,0.0,18,ViT-bigG-14,synthetic
54,bb,match,1.0,1,ViT-bigG-14,synthetic
55,bb,match,1.0,2,ViT-bigG-14,synthetic
56,bb,match,1.0,3,ViT-bigG-14,synthetic
57,bb,match,1.0,4,ViT-bigG-14,synthetic
58,bb,match,1.0,5,ViT-bigG-14,synthetic
59,bb,match,1.0,6,ViT-bigG-14,synthetic
60,bb,match,1.0,7,ViT-bigG-14,synthetic
61,bb,match,1.0,8,ViT-bigG-14,synthetic
62,bb,match,1.0,9,ViT-bigG-14,synthetic
63,bb,match,1.0,10,ViT-bigG-14,synthetic
64,bb,match,1.0,11,ViT-bigG-14,synthetic
65,bb,match,1.0,12,ViT-bigG-14,synthetic
66,bb,match,1.0,13,ViT-bigG-14,synthetic
67,bb,match,1.0,14,ViT-bigG-14,synthetic
68,bb,match,1.0,15,ViT-bigG-14,synthetic
69,bb,match,1.0,16,ViT-bigG-14,synthetic
70,bb,match,1.0,17,ViT-bigG-14,synthetic
71,bb,match,1.0,18,ViT-bigG-14,synthetic
72,ba,mismatch,0.0,1,ViT-bigG-14,synthetic
73,ba,mismatch,0.0,2,ViT-bigG-14,synthetic
74,ba,mismatch,0.0,3,ViT-bigG-14,synthetic
75,ba,mismatch,0.0,4,ViT-bigG-14,synthetic
76,ba,mismatch,0.0,5,ViT-bigG-14,synthetic
77,ba,mismatch,0.0,6,ViT-bigG-14,synthetic
78,ba,mismatch,0.0,7,ViT-bigG-14,synthetic
79,ba,mismatch,0.0,8,ViT-bigG-14,synthetic
80,ba,mismatch,0.0,9,ViT-bigG-14,synthetic
81,ba,mismatch,0.0,10,ViT-bigG-14,synthetic
82,ba,mismatch,0.0,11,ViT-bigG-14,synthetic
83,ba,mismatch,0.0,12,ViT-bigG-14,synthetic
84,ba,mismatch,0.0,13,ViT-bigG-14,synthetic
85,ba,mismatch,0.0,14,ViT-bigG-14,synthetic
86,ba,mismatch,0.0,15,ViT-bigG-14,synthetic
87,ba,mismatch,0.0,16,ViT-bigG-14,synthetic
88,ba,mismatch,0.0,17,ViT-bigG-14,synthetic
89,ba,mismatch,0.0,18,ViT-bigG-14,synthetic
90,bc,mismatch,0.0,1,ViT-bigG-14,synthetic
91,bc,mismatch,0.0,2,ViT-bigG-14,synthetic
92,bc,mismatch,0.0,3,ViT-bigG-14,synthetic
93,bc,mismatch,0.0,4,ViT-bigG-14,synthetic
94,bc,mismatch,0.0,5,ViT-bigG-14,synthetic
95,bc,mismatch,0.0,6,ViT-bigG-14,synthetic
96,bc,mismatch,4.270184836974619e-36,7,ViT-bigG-14,synthetic
97,bc,mismatch,0.0,8,ViT-bigG-14,synthetic
98,bc,mismatch,0.0,9,ViT-bigG-14,synthetic
99,bc,mismatch,0.0,10,ViT-bigG-14,synthetic
100,bc,mismatch,0.0,11,ViT-bigG-14,synthetic
101,bc,mismatch,0.0,12,ViT-bigG-14,synthetic
102,bc,mismatch,0.0,13,ViT-bigG-14,synthetic
103,bc,mismatch,0.0,14,ViT-bigG-14,synthetic
104,bc,mismatch,0.0,15,ViT-bigG-14,synthetic
105,bc,mismatch,0.0,16,ViT-bigG-14,synthetic
106,bc,mismatch,0.0,17,ViT-bigG-14,synthetic
107,bc,mismatch,0.0,18,ViT-bigG-14,synthetic
108,cc,match,1.0,1,ViT-bigG-14,synthetic
109,cc,match,1.0,2,ViT-bigG-14,synthetic
110,cc,match,1.0,3,ViT-bigG-14,synthetic
111,cc,match,1.0,4,ViT-bigG-14,synthetic
112,cc,match,1.0,5,ViT-bigG-14,synthetic
113,cc,match,1.0,6,ViT-bigG-14,synthetic
114,cc,match,1.0,7,ViT-bigG-14,synthetic
115,cc,match,1.0,8,ViT-bigG-14,synthetic
116,cc,match,1.0,9,ViT-bigG-14,synthetic
117,cc,match,1.0,10,ViT-bigG-14,synthetic
118,cc,match,1.0,11,ViT-bigG-14,synthetic
119,cc,match,1.0,12,ViT-bigG-14,synthetic
120,cc,match,1.0,13,ViT-bigG-14,synthetic
121,cc,match,1.0,14,ViT-bigG-14,synthetic
122,cc,match,1.0,15,ViT-bigG-14,synthetic
123,cc,match,1.0,16,ViT-bigG-14,synthetic
124,cc,match,1.0,17,ViT-bigG-14,synthetic
125,cc,match,1.0,18,ViT-bigG-14,synthetic
126,ca,mismatch,0.0,1,ViT-bigG-14,synthetic
127,ca,mismatch,0.0,2,ViT-bigG-14,synthetic
128,ca,mismatch,0.0,3,ViT-bigG-14,synthetic
129,ca,mismatch,0.0,4,ViT-bigG-14,synthetic
130,ca,mismatch,0.0,5,ViT-bigG-14,synthetic
131,ca,mismatch,0.0,6,ViT-bigG-14,synthetic
132,ca,mismatch,0.0,7,ViT-bigG-14,synthetic
133,ca,mismatch,0.0,8,ViT-bigG-14,synthetic
134,ca,mismatch,0.0,9,ViT-bigG-14,synthetic
135,ca,mismatch,0.0,10,ViT-bigG-14,synthetic
136,ca,mismatch,0.0,11,ViT-bigG-14,synthetic
137,ca,mismatch,0.0,12,ViT-bigG-14,synthetic
138,ca,mismatch,0.0,13,ViT-bigG-14,synthetic
139,ca,mismatch,0.0,14,ViT-bigG-14,synthetic
140,ca,mismatch,0.0,15,ViT-bigG-14,synthetic
141,ca,mismatch,0.0,16,ViT-bigG-14,synthetic
142,ca,mismatch,0.0,17,ViT-bigG-14,synthetic
143,ca,mismatch,0.0,18,ViT-bigG-14,synthetic
144,cb,mismatch,0.0,1,ViT-bigG-14,synthetic
145,cb,mismatch,0.0,2,ViT-bigG-14,synthetic
146,cb,mismatch,0.0,3,ViT-bigG-14,synthetic
147,cb,mismatch,0.0,4,ViT-bigG-14,synthetic
148,cb,mismatch,0.0,5,ViT-bigG-14,synthetic
149,cb,mismatch,0.0,6,ViT-bigG-14,synthetic
150,cb,mismatch,0.0,7,ViT-bigG-14,synthetic
151,cb,mismatch,0.0,8,ViT-bigG-14,synthetic
152,cb,mismatch,0.0,9,ViT-bigG-14,synthetic
153,cb,mismatch,0.0,10,ViT-bigG-14,synthetic
154,cb,mismatch,0.0,11,ViT-bigG-14,synthetic
155,cb,mismatch,0.0,12,ViT-bigG-14,synthetic
156,cb,mismatch,0.0,13,ViT-bigG-14,synthetic
157,cb,mismatch,0.0,14,ViT-bigG-14,synthetic
158,cb,mismatch,0.0,15,ViT-bigG-14,synthetic
159,cb,mismatch,0.0,16,ViT-bigG-14,synthetic
160,cb,mismatch,0.0,17,ViT-bigG-14,synthetic
161,cb,mismatch,0.0,18,ViT-bigG-14,synthetic
