text_1,text_2,image_natural,image_synthetic
laptop computer,her office,laptopcomputer_natrual.jpeg,laptopcomputer_synthetic.png
paper napkin,laptop computer,papernapkin_natrual.jpeg,papernapkin_synthetic.png
hunting rifle,paper napkin,huntingrifle_natrual.jpeg,huntingrifle_synthetic.png
nickel,hunting rifle,nickel_natrual.jpeg,nickel_synthetic.png
pen,nickel,pen_natrual.jpeg,pen_synthetic.png
string,pen,string_natrual.jpeg,string_synthetic.png
old magazines,string,oldmagazines_natrual.jpeg,oldmagazines_synthetic.png
floppy disks,old magazines,floppydisks_natrual.jpeg,floppydisks_synthetic.png
pencils,floppy disks,pencils_natrual.jpeg,pencils_synthetic.png
ski-mask,pencils,ski-mask_natrual.jpeg,ski-mask_synthetic.png
matchbook,ski-mask,matchbook_natrual.jpeg,matchbook_synthetic.png
newspaper,matchbook,newspaper_natrual.jpeg,newspaper_synthetic.png
cookie jar,newspaper,cookiejar_natrual.jpeg,cookiejar_synthetic.png
clothes dryer,cookie jar,clothesdryer_natrual.jpeg,clothesdryer_synthetic.png
broom closet,clothes dryer,broomcloset_natrual.jpeg,broomcloset_synthetic.png
tractor,broom closet,tractor_natrual.jpeg,tractor_synthetic.png
chair,tractor,chair_natrual.jpeg,chair_synthetic.png
hammer,chair,hammer_natrual.jpeg,hammer_synthetic.png
map,hammer,map_natrual.jpeg,map_synthetic.png
rock,map,rock_natrual.jpeg,rock_synthetic.png
bellows,rock,bellows_natrual.jpeg,bellows_synthetic.png
large refrigerator,bellows,largerefrigerator_natrual.jpeg,largerefrigerator_synthetic.png
red beanbag,large refrigerator,redbeanbag_natrual.jpeg,redbeanbag_synthetic.png
plastic spoon,red beanbag,plasticspoon_natrual.jpeg,plasticspoon_synthetic.png
electric outlet,plastic spoon,electricoutlet_natrual.jpeg,electricoutlet_synthetic.png
vacuum cleaner,electric outlet,vacuumcleaner_natrual.jpeg,vacuumcleaner_synthetic.png
door knob,vacuum cleaner,doorknob_natrual.jpeg,doorknob_synthetic.png
screw driver,door knob,screwdriver_natrual.jpeg,screwdriver_synthetic.png
seven iron,screw driver,seveniron_natrual.jpeg,seveniron_synthetic.png
ham sandwich,seven iron,hamsandwich_natrual.jpeg,hamsandwich_synthetic.png
warm thermos,ham sandwich,warmthermos_natrual.jpeg,warmthermos_synthetic.png
hair dryer,warm thermos,hairdryer_natrual.jpeg,hairdryer_synthetic.png
hair pin,hair dryer,hairpin_natrual.jpeg,hairpin_synthetic.png
shower cap,hair pin,showercap_natrual.jpeg,showercap_synthetic.png
hamburger bun,shower cap,hamburgerbun_natrual.jpeg,hamburgerbun_synthetic.png
sandwich wrapper,hamburger bun,sandwichwrapper_natrual.jpeg,sandwichwrapper_synthetic.png
leaves,sandwich wrapper,leaves_natrual.jpeg,leaves_synthetic.png
water,leaves,water_natrual.jpeg,water_synthetic.png
clothes,water,clothes_natrual.jpeg,clothes_synthetic.png
towel,clothes,towel_natrual.jpeg,towel_synthetic.png
shirt,towel,shirt_natrual.jpeg,shirt_synthetic.png
glasses,shirt,glasses_natrual.jpeg,glasses_synthetic.png
bent earring,glasses,bentearring_natrual.jpeg,bentearring_synthetic.png
note pad,bent earring,notepad_natrual.jpeg,notepad_synthetic.png
popsicle stick,note pad,popsiclestick_natrual.jpeg,popsiclestick_synthetic.png
rolled paper,popsicle stick,rolledpaper_natrual.jpeg,rolledpaper_synthetic.png
mop handle,rolled paper,mophandle_natrual.jpeg,mophandle_synthetic.png
smelly sock,mop handle,smellysock_natrual.jpeg,smellysock_synthetic.png
chalk,smelly sock,chalk_natrual.jpeg,chalk_synthetic.png
rice,chalk,rice_natrual.jpeg,rice_synthetic.png
water,rice,water_natrual.jpeg,water_synthetic.png
her mailbox,water,hermailbox_natrual.jpeg,hermailbox_synthetic.png
the lavatory,her mailbox,thelavatory_natrual.jpeg,thelavatory_synthetic.png
her office,the lavatory,heroffice_natrual.jpeg,heroffice_synthetic.png
