,relationships,prompt_type,probability,group_id,model,dataset
0,afforded,explicit,0.0005942828138358891,1,ViT-B-32,natural
1,afforded,explicit,0.9827914834022522,2,ViT-B-32,natural
2,afforded,explicit,0.48314496874809265,3,ViT-B-32,natural
3,afforded,explicit,0.07225757837295532,4,ViT-B-32,natural
4,afforded,explicit,0.7753055691719055,5,ViT-B-32,natural
5,afforded,explicit,0.15802456438541412,6,ViT-B-32,natural
6,afforded,explicit,0.005072408355772495,7,ViT-B-32,natural
7,afforded,explicit,0.8070986270904541,8,ViT-B-32,natural
8,afforded,explicit,0.6104217171669006,9,ViT-B-32,natural
9,afforded,explicit,0.8257591128349304,10,ViT-B-32,natural
10,afforded,explicit,0.9942752718925476,11,ViT-B-32,natural
11,afforded,explicit,0.133657306432724,12,ViT-B-32,natural
12,afforded,explicit,0.3884689509868622,13,ViT-B-32,natural
13,afforded,explicit,0.984060525894165,14,ViT-B-32,natural
14,afforded,explicit,0.9964243769645691,15,ViT-B-32,natural
15,afforded,explicit,0.014480398036539555,16,ViT-B-32,natural
16,afforded,explicit,0.022844111546874046,17,ViT-B-32,natural
17,afforded,explicit,0.13455866277217865,18,ViT-B-32,natural
18,afforded,implicit,0.00036673457361757755,19,ViT-B-32,natural
19,afforded,implicit,0.984971821308136,20,ViT-B-32,natural
20,afforded,implicit,0.47641241550445557,21,ViT-B-32,natural
21,afforded,implicit,0.14581288397312164,22,ViT-B-32,natural
22,afforded,implicit,0.6772488951683044,23,ViT-B-32,natural
23,afforded,implicit,0.098997101187706,24,ViT-B-32,natural
24,afforded,implicit,0.010980146005749702,25,ViT-B-32,natural
25,afforded,implicit,0.9569597840309143,26,ViT-B-32,natural
26,afforded,implicit,0.2699623107910156,27,ViT-B-32,natural
27,afforded,implicit,0.9769585728645325,28,ViT-B-32,natural
28,afforded,implicit,0.9893697500228882,29,ViT-B-32,natural
29,afforded,implicit,0.5403321981430054,30,ViT-B-32,natural
30,afforded,implicit,0.040039241313934326,31,ViT-B-32,natural
31,afforded,implicit,0.9571428894996643,32,ViT-B-32,natural
32,afforded,implicit,0.9989020824432373,33,ViT-B-32,natural
33,afforded,implicit,0.01097975391894579,34,ViT-B-32,natural
34,afforded,implicit,0.0363534577190876,35,ViT-B-32,natural
35,afforded,implicit,0.06571219861507416,36,ViT-B-32,natural
36,non_afforded,explicit,0.9994057416915894,1,ViT-B-32,natural
37,non_afforded,explicit,0.017208518460392952,2,ViT-B-32,natural
38,non_afforded,explicit,0.5168550610542297,3,ViT-B-32,natural
39,non_afforded,explicit,0.9277424216270447,4,ViT-B-32,natural
40,non_afforded,explicit,0.22469443082809448,5,ViT-B-32,natural
41,non_afforded,explicit,0.8419754505157471,6,ViT-B-32,natural
42,non_afforded,explicit,0.9949276447296143,7,ViT-B-32,natural
43,non_afforded,explicit,0.1929013878107071,8,ViT-B-32,natural
44,non_afforded,explicit,0.38957831263542175,9,ViT-B-32,natural
45,non_afforded,explicit,0.17424088716506958,10,ViT-B-32,natural
46,non_afforded,explicit,0.005724767223000526,11,ViT-B-32,natural
47,non_afforded,explicit,0.8663426637649536,12,ViT-B-32,natural
48,non_afforded,explicit,0.6115310788154602,13,ViT-B-32,natural
49,non_afforded,explicit,0.015939505770802498,14,ViT-B-32,natural
50,non_afforded,explicit,0.0035756309516727924,15,ViT-B-32,natural
51,non_afforded,explicit,0.9855196475982666,16,ViT-B-32,natural
52,non_afforded,explicit,0.9771559238433838,17,ViT-B-32,natural
53,non_afforded,explicit,0.8654413819313049,18,ViT-B-32,natural
54,non_afforded,implicit,0.9996331930160522,19,ViT-B-32,natural
55,non_afforded,implicit,0.015028195455670357,20,ViT-B-32,natural
56,non_afforded,implicit,0.5235875844955444,21,ViT-B-32,natural
57,non_afforded,implicit,0.8541871309280396,22,ViT-B-32,natural
58,non_afforded,implicit,0.32275107502937317,23,ViT-B-32,natural
59,non_afforded,implicit,0.9010028839111328,24,ViT-B-32,natural
60,non_afforded,implicit,0.9890198111534119,25,ViT-B-32,natural
61,non_afforded,implicit,0.04304017499089241,26,ViT-B-32,natural
62,non_afforded,implicit,0.7300377488136292,27,ViT-B-32,natural
63,non_afforded,implicit,0.023041406646370888,28,ViT-B-32,natural
64,non_afforded,implicit,0.010630210861563683,29,ViT-B-32,natural
65,non_afforded,implicit,0.45966774225234985,30,ViT-B-32,natural
66,non_afforded,implicit,0.9599608182907104,31,ViT-B-32,natural
67,non_afforded,implicit,0.04285711422562599,32,ViT-B-32,natural
68,non_afforded,implicit,0.0010979569051414728,33,ViT-B-32,natural
69,non_afforded,implicit,0.9890202879905701,34,ViT-B-32,natural
70,non_afforded,implicit,0.9636465907096863,35,ViT-B-32,natural
71,non_afforded,implicit,0.9342878460884094,36,ViT-B-32,natural
