,relationships,prompt_type,probability,group_id,model,dataset
0,afforded,explicit,0.0005943247233517468,1,ViT-B-32,natural
1,afforded,explicit,0.9852797985076904,2,ViT-B-32,natural
2,afforded,explicit,0.4831477999687195,3,ViT-B-32,natural
3,afforded,explicit,0.07226115465164185,4,ViT-B-32,natural
4,afforded,explicit,0.745544970035553,5,ViT-B-32,natural
5,afforded,explicit,0.1214657723903656,6,ViT-B-32,natural
6,afforded,explicit,0.006543547380715609,7,ViT-B-32,natural
7,afforded,explicit,0.8098041415214539,8,ViT-B-32,natural
8,afforded,explicit,0.6104199290275574,9,ViT-B-32,natural
9,afforded,explicit,0.8257594108581543,10,ViT-B-32,natural
10,afforded,explicit,0.9954243302345276,11,ViT-B-32,natural
11,afforded,explicit,0.13365311920642853,12,ViT-B-32,natural
12,afforded,explicit,0.38846078515052795,13,ViT-B-32,natural
13,afforded,explicit,0.9340205788612366,14,ViT-B-32,natural
14,afforded,explicit,0.9959884285926819,15,ViT-B-32,natural
15,afforded,explicit,0.00880240835249424,16,ViT-B-32,natural
16,afforded,explicit,0.02284453622996807,17,ViT-B-32,natural
17,afforded,explicit,0.20840051770210266,18,ViT-B-32,natural
18,afforded,implicit,7.387230289168656e-05,19,ViT-B-32,natural
19,afforded,implicit,0.9948350191116333,20,ViT-B-32,natural
20,afforded,implicit,0.4764145612716675,21,ViT-B-32,natural
21,afforded,implicit,0.14581622183322906,22,ViT-B-32,natural
22,afforded,implicit,0.8144025206565857,23,ViT-B-32,natural
23,afforded,implicit,0.1366821974515915,24,ViT-B-32,natural
24,afforded,implicit,0.017171204090118408,25,ViT-B-32,natural
25,afforded,implicit,0.9949042797088623,26,ViT-B-32,natural
26,afforded,implicit,0.2699589133262634,27,ViT-B-32,natural
27,afforded,implicit,0.976958692073822,28,ViT-B-32,natural
28,afforded,implicit,0.9880326986312866,29,ViT-B-32,natural
29,afforded,implicit,0.5403265357017517,30,ViT-B-32,natural
30,afforded,implicit,0.04003726318478584,31,ViT-B-32,natural
31,afforded,implicit,0.881618320941925,32,ViT-B-32,natural
32,afforded,implicit,0.9988625049591064,33,ViT-B-32,natural
33,afforded,implicit,0.005446166731417179,34,ViT-B-32,natural
34,afforded,implicit,0.03635312244296074,35,ViT-B-32,natural
35,afforded,implicit,0.06530347466468811,36,ViT-B-32,natural
36,non_afforded,explicit,0.9994056224822998,1,ViT-B-32,natural
37,non_afforded,explicit,0.014720173552632332,2,ViT-B-32,natural
38,non_afforded,explicit,0.5168522000312805,3,ViT-B-32,natural
39,non_afforded,explicit,0.9277388453483582,4,ViT-B-32,natural
40,non_afforded,explicit,0.2544550597667694,5,ViT-B-32,natural
41,non_afforded,explicit,0.8785342574119568,6,ViT-B-32,natural
42,non_afforded,explicit,0.9934564232826233,7,ViT-B-32,natural
43,non_afforded,explicit,0.19019585847854614,8,ViT-B-32,natural
44,non_afforded,explicit,0.389580100774765,9,ViT-B-32,natural
45,non_afforded,explicit,0.1742406189441681,10,ViT-B-32,natural
46,non_afforded,explicit,0.004575653467327356,11,ViT-B-32,natural
47,non_afforded,explicit,0.8663468956947327,12,ViT-B-32,natural
48,non_afforded,explicit,0.6115391850471497,13,ViT-B-32,natural
49,non_afforded,explicit,0.06597939133644104,14,ViT-B-32,natural
50,non_afforded,explicit,0.004011546261608601,15,ViT-B-32,natural
51,non_afforded,explicit,0.9911975264549255,16,ViT-B-32,natural
52,non_afforded,explicit,0.9771554470062256,17,ViT-B-32,natural
53,non_afforded,explicit,0.791599452495575,18,ViT-B-32,natural
54,non_afforded,implicit,0.9999260902404785,19,ViT-B-32,natural
55,non_afforded,implicit,0.0051649813540279865,20,ViT-B-32,natural
56,non_afforded,implicit,0.5235854387283325,21,ViT-B-32,natural
57,non_afforded,implicit,0.8541838526725769,22,ViT-B-32,natural
58,non_afforded,implicit,0.18559753894805908,23,ViT-B-32,natural
59,non_afforded,implicit,0.8633177876472473,24,ViT-B-32,natural
60,non_afforded,implicit,0.9828287959098816,25,ViT-B-32,natural
61,non_afforded,implicit,0.005095736123621464,26,ViT-B-32,natural
62,non_afforded,implicit,0.7300410866737366,27,ViT-B-32,natural
63,non_afforded,implicit,0.023041343316435814,28,ViT-B-32,natural
64,non_afforded,implicit,0.011967355385422707,29,ViT-B-32,natural
65,non_afforded,implicit,0.4596734344959259,30,ViT-B-32,natural
66,non_afforded,implicit,0.959962785243988,31,ViT-B-32,natural
67,non_afforded,implicit,0.11838172376155853,32,ViT-B-32,natural
68,non_afforded,implicit,0.001137562794610858,33,ViT-B-32,natural
69,non_afforded,implicit,0.994553804397583,34,ViT-B-32,natural
70,non_afforded,implicit,0.9636468887329102,35,ViT-B-32,natural
71,non_afforded,implicit,0.9346965551376343,36,ViT-B-32,natural
