,relationships,probability,group_id,model,dataset
0,afforded,1.6109636957750695e-09,1,ViT-H-14,natural
1,afforded,1.5715205847754987e-07,2,ViT-H-14,natural
2,afforded,1.0,3,ViT-H-14,natural
3,afforded,0.9999998807907104,4,ViT-H-14,natural
4,afforded,1.0916165592789184e-05,5,ViT-H-14,natural
5,afforded,0.9997285008430481,6,ViT-H-14,natural
6,afforded,2.39506775603733e-18,7,ViT-H-14,natural
7,afforded,0.6414916515350342,8,ViT-H-14,natural
8,afforded,3.1220366508932784e-05,9,ViT-H-14,natural
9,afforded,1.0,10,ViT-H-14,natural
10,afforded,1.0,11,ViT-H-14,natural
11,afforded,1.1369063912525235e-08,12,ViT-H-14,natural
12,afforded,0.0004722067096736282,13,ViT-H-14,natural
13,afforded,0.999962568283081,14,ViT-H-14,natural
14,afforded,0.996429979801178,15,ViT-H-14,natural
15,afforded,2.018235136347357e-06,16,ViT-H-14,natural
16,afforded,0.0001961044908966869,17,ViT-H-14,natural
17,afforded,6.355760888254736e-06,18,ViT-H-14,natural
18,afforded,1.880537183751585e-07,19,ViT-H-14,natural
19,afforded,8.477438044086905e-13,20,ViT-H-14,natural
20,afforded,1.0,21,ViT-H-14,natural
21,afforded,1.0,22,ViT-H-14,natural
22,afforded,0.00010495360038476065,23,ViT-H-14,natural
23,afforded,0.997916042804718,24,ViT-H-14,natural
24,afforded,1.1507722619767308e-17,25,ViT-H-14,natural
25,afforded,0.9994927644729614,26,ViT-H-14,natural
26,afforded,2.580575255706208e-07,27,ViT-H-14,natural
27,afforded,1.0,28,ViT-H-14,natural
28,afforded,1.0,29,ViT-H-14,natural
29,afforded,4.086026184069169e-09,30,ViT-H-14,natural
30,afforded,2.2880668382185831e-07,31,ViT-H-14,natural
31,afforded,0.9999984502792358,32,ViT-H-14,natural
32,afforded,0.9998645782470703,33,ViT-H-14,natural
33,afforded,1.2591133781825192e-05,34,ViT-H-14,natural
34,afforded,0.005907662678509951,35,ViT-H-14,natural
35,afforded,2.4126919129230373e-07,36,ViT-H-14,natural
36,non,1.0,1,ViT-H-14,natural
37,non,0.9999998807907104,2,ViT-H-14,natural
38,non,1.2292683364278911e-11,3,ViT-H-14,natural
39,non,9.234211262310055e-08,4,ViT-H-14,natural
40,non,0.9999890327453613,5,ViT-H-14,natural
41,non,0.0002714585280045867,6,ViT-H-14,natural
42,non,1.0,7,ViT-H-14,natural
43,non,0.35850831866264343,8,ViT-H-14,natural
44,non,0.9999687671661377,9,ViT-H-14,natural
45,non,1.6142314510431068e-15,10,ViT-H-14,natural
46,non,2.8149505296171107e-11,11,ViT-H-14,natural
47,non,1.0,12,ViT-H-14,natural
48,non,0.9995278120040894,13,ViT-H-14,natural
49,non,3.740661850315519e-05,14,ViT-H-14,natural
50,non,0.003569995053112507,15,ViT-H-14,natural
51,non,0.9999979734420776,16,ViT-H-14,natural
52,non,0.9998039603233337,17,ViT-H-14,natural
53,non,0.9999936819076538,18,ViT-H-14,natural
54,non,0.9999997615814209,19,ViT-H-14,natural
55,non,1.0,20,ViT-H-14,natural
56,non,9.284284452348857e-11,21,ViT-H-14,natural
57,non,3.4023425854456946e-08,22,ViT-H-14,natural
58,non,0.9998949766159058,23,ViT-H-14,natural
59,non,0.0020839383359998465,24,ViT-H-14,natural
60,non,1.0,25,ViT-H-14,natural
61,non,0.0005072271451354027,26,ViT-H-14,natural
62,non,0.9999997615814209,27,ViT-H-14,natural
63,non,1.89898979966514e-17,28,ViT-H-14,natural
64,non,1.1050133898182768e-11,29,ViT-H-14,natural
65,non,1.0,30,ViT-H-14,natural
66,non,0.9999997615814209,31,ViT-H-14,natural
67,non,1.5238165360642597e-06,32,ViT-H-14,natural
68,non,0.00013537534687202424,33,ViT-H-14,natural
69,non,0.9999873638153076,34,ViT-H-14,natural
70,non,0.9940922856330872,35,ViT-H-14,natural
71,non,0.9999997615814209,36,ViT-H-14,natural
