,relationships,probability,group_id,model,dataset
0,afforded,1.0352760426712848e-07,1,ViT-L-14-336,natural
1,afforded,0.9999796152114868,2,ViT-L-14-336,natural
2,afforded,0.9998428821563721,3,ViT-L-14-336,natural
3,afforded,0.009967842139303684,4,ViT-L-14-336,natural
4,afforded,0.9891542792320251,5,ViT-L-14-336,natural
5,afforded,1.3128010323271155e-05,6,ViT-L-14-336,natural
6,afforded,4.116608443016645e-11,7,ViT-L-14-336,natural
7,afforded,0.9950059056282043,8,ViT-L-14-336,natural
8,afforded,0.0016523862723261118,9,ViT-L-14-336,natural
9,afforded,0.44280025362968445,10,ViT-L-14-336,natural
10,afforded,1.0,11,ViT-L-14-336,natural
11,afforded,0.0007939201314002275,12,ViT-L-14-336,natural
12,afforded,0.6881607174873352,13,ViT-L-14-336,natural
13,afforded,1.0,14,ViT-L-14-336,natural
14,afforded,0.9999997615814209,15,ViT-L-14-336,natural
15,afforded,0.00027298566419631243,16,ViT-L-14-336,natural
16,afforded,0.00029853370506316423,17,ViT-L-14-336,natural
17,afforded,1.313667439717392e-06,18,ViT-L-14-336,natural
18,afforded,4.749128065632824e-14,19,ViT-L-14-336,natural
19,afforded,0.7604067921638489,20,ViT-L-14-336,natural
20,afforded,0.9991944432258606,21,ViT-L-14-336,natural
21,afforded,0.023883815854787827,22,ViT-L-14-336,natural
22,afforded,0.9017539024353027,23,ViT-L-14-336,natural
23,afforded,0.003999090287834406,24,ViT-L-14-336,natural
24,afforded,4.3249654075108723e-13,25,ViT-L-14-336,natural
25,afforded,0.9998735189437866,26,ViT-L-14-336,natural
26,afforded,0.0007908078259788454,27,ViT-L-14-336,natural
27,afforded,0.9999415874481201,28,ViT-L-14-336,natural
28,afforded,0.9999995231628418,29,ViT-L-14-336,natural
29,afforded,0.0017889139708131552,30,ViT-L-14-336,natural
30,afforded,0.0027490805368870497,31,ViT-L-14-336,natural
31,afforded,1.0,32,ViT-L-14-336,natural
32,afforded,1.0,33,ViT-L-14-336,natural
33,afforded,0.00017698325973469764,34,ViT-L-14-336,natural
34,afforded,0.0006840256392024457,35,ViT-L-14-336,natural
35,afforded,5.383145662563038e-07,36,ViT-L-14-336,natural
36,nonafforded,0.9999998807907104,1,ViT-L-14-336,natural
37,nonafforded,2.038953243754804e-05,2,ViT-L-14-336,natural
38,nonafforded,0.0001571114407852292,3,ViT-L-14-336,natural
39,nonafforded,0.9900321960449219,4,ViT-L-14-336,natural
40,nonafforded,0.010845710523426533,5,ViT-L-14-336,natural
41,nonafforded,0.9999868869781494,6,ViT-L-14-336,natural
42,nonafforded,1.0,7,ViT-L-14-336,natural
43,nonafforded,0.004994160495698452,8,ViT-L-14-336,natural
44,nonafforded,0.9983476400375366,9,ViT-L-14-336,natural
45,nonafforded,0.5571997165679932,10,ViT-L-14-336,natural
46,nonafforded,1.118917403175601e-08,11,ViT-L-14-336,natural
47,nonafforded,0.9992061257362366,12,ViT-L-14-336,natural
48,nonafforded,0.3118392825126648,13,ViT-L-14-336,natural
49,nonafforded,2.9877020857327352e-09,14,ViT-L-14-336,natural
50,nonafforded,1.8907587673311355e-07,15,ViT-L-14-336,natural
51,nonafforded,0.9997269511222839,16,ViT-L-14-336,natural
52,nonafforded,0.9997014403343201,17,ViT-L-14-336,natural
53,nonafforded,0.9999986886978149,18,ViT-L-14-336,natural
54,nonafforded,1.0,19,ViT-L-14-336,natural
55,nonafforded,0.23959319293498993,20,ViT-L-14-336,natural
56,nonafforded,0.0008055760990828276,21,ViT-L-14-336,natural
57,nonafforded,0.9761161804199219,22,ViT-L-14-336,natural
58,nonafforded,0.09824614971876144,23,ViT-L-14-336,natural
59,nonafforded,0.9960008263587952,24,ViT-L-14-336,natural
60,nonafforded,1.0,25,ViT-L-14-336,natural
61,nonafforded,0.00012641295325011015,26,ViT-L-14-336,natural
62,nonafforded,0.9992092251777649,27,ViT-L-14-336,natural
63,nonafforded,5.841502206749283e-05,28,ViT-L-14-336,natural
64,nonafforded,4.5651938762603095e-07,29,ViT-L-14-336,natural
65,nonafforded,0.998211145401001,30,ViT-L-14-336,natural
66,nonafforded,0.9972508549690247,31,ViT-L-14-336,natural
67,nonafforded,3.869511289167349e-08,32,ViT-L-14-336,natural
68,nonafforded,8.40462699436273e-11,33,ViT-L-14-336,natural
69,nonafforded,0.9998230338096619,34,ViT-L-14-336,natural
70,nonafforded,0.9993159770965576,35,ViT-L-14-336,natural
71,nonafforded,0.9999994039535522,36,ViT-L-14-336,natural
