,relationships,prompt_type,probability,group_id,model,dataset
0,afforded,explicit,1.0352760426712848e-07,1,ViT-L-14-336,natural
1,afforded,explicit,0.9999945163726807,2,ViT-L-14-336,natural
2,afforded,explicit,0.9998428821563721,3,ViT-L-14-336,natural
3,afforded,explicit,0.009967842139303684,4,ViT-L-14-336,natural
4,afforded,explicit,0.9864943027496338,5,ViT-L-14-336,natural
5,afforded,explicit,2.0642470190068707e-05,6,ViT-L-14-336,natural
6,afforded,explicit,7.648205853361123e-12,7,ViT-L-14-336,natural
7,afforded,explicit,0.8418814539909363,8,ViT-L-14-336,natural
8,afforded,explicit,0.0016523862723261118,9,ViT-L-14-336,natural
9,afforded,explicit,0.44280025362968445,10,ViT-L-14-336,natural
10,afforded,explicit,1.0,11,ViT-L-14-336,natural
11,afforded,explicit,0.0007939201314002275,12,ViT-L-14-336,natural
12,afforded,explicit,0.6881607174873352,13,ViT-L-14-336,natural
13,afforded,explicit,0.9999998807907104,14,ViT-L-14-336,natural
14,afforded,explicit,1.0,15,ViT-L-14-336,natural
15,afforded,explicit,0.0007690756465308368,16,ViT-L-14-336,natural
16,afforded,explicit,0.00029853370506316423,17,ViT-L-14-336,natural
17,afforded,explicit,1.6062692793639144e-06,18,ViT-L-14-336,natural
18,afforded,implicit,6.085678674929156e-16,19,ViT-L-14-336,natural
19,afforded,implicit,0.9997761845588684,20,ViT-L-14-336,natural
20,afforded,implicit,0.9991944432258606,21,ViT-L-14-336,natural
21,afforded,implicit,0.023883815854787827,22,ViT-L-14-336,natural
22,afforded,implicit,0.4429960548877716,23,ViT-L-14-336,natural
23,afforded,implicit,0.00044576579239219427,24,ViT-L-14-336,natural
24,afforded,implicit,6.238709635703055e-13,25,ViT-L-14-336,natural
25,afforded,implicit,0.9999995231628418,26,ViT-L-14-336,natural
26,afforded,implicit,0.0007908078259788454,27,ViT-L-14-336,natural
27,afforded,implicit,0.9999415874481201,28,ViT-L-14-336,natural
28,afforded,implicit,1.0,29,ViT-L-14-336,natural
29,afforded,implicit,0.0017889139708131552,30,ViT-L-14-336,natural
30,afforded,implicit,0.0027490805368870497,31,ViT-L-14-336,natural
31,afforded,implicit,0.9999997615814209,32,ViT-L-14-336,natural
32,afforded,implicit,1.0,33,ViT-L-14-336,natural
33,afforded,implicit,2.159863470296841e-05,34,ViT-L-14-336,natural
34,afforded,implicit,0.0006840256392024457,35,ViT-L-14-336,natural
35,afforded,implicit,6.402554845408304e-06,36,ViT-L-14-336,natural
36,non_afforded,explicit,0.9999998807907104,1,ViT-L-14-336,natural
37,non_afforded,explicit,5.445683655125322e-06,2,ViT-L-14-336,natural
38,non_afforded,explicit,0.0001571114407852292,3,ViT-L-14-336,natural
39,non_afforded,explicit,0.9900321960449219,4,ViT-L-14-336,natural
40,non_afforded,explicit,0.013505694456398487,5,ViT-L-14-336,natural
41,non_afforded,explicit,0.9999793767929077,6,ViT-L-14-336,natural
42,non_afforded,explicit,1.0,7,ViT-L-14-336,natural
43,non_afforded,explicit,0.15811847150325775,8,ViT-L-14-336,natural
44,non_afforded,explicit,0.9983476400375366,9,ViT-L-14-336,natural
45,non_afforded,explicit,0.5571997165679932,10,ViT-L-14-336,natural
46,non_afforded,explicit,1.2521430559075952e-09,11,ViT-L-14-336,natural
47,non_afforded,explicit,0.9992061257362366,12,ViT-L-14-336,natural
48,non_afforded,explicit,0.3118392825126648,13,ViT-L-14-336,natural
49,non_afforded,explicit,9.74925384866765e-08,14,ViT-L-14-336,natural
50,non_afforded,explicit,1.1629619933728463e-08,15,ViT-L-14-336,natural
51,non_afforded,explicit,0.9992309808731079,16,ViT-L-14-336,natural
52,non_afforded,explicit,0.9997014403343201,17,ViT-L-14-336,natural
53,non_afforded,explicit,0.9999984502792358,18,ViT-L-14-336,natural
54,non_afforded,implicit,1.0,19,ViT-L-14-336,natural
55,non_afforded,implicit,0.00022384793555829674,20,ViT-L-14-336,natural
56,non_afforded,implicit,0.0008055760990828276,21,ViT-L-14-336,natural
57,non_afforded,implicit,0.9761161804199219,22,ViT-L-14-336,natural
58,non_afforded,implicit,0.5570039749145508,23,ViT-L-14-336,natural
59,non_afforded,implicit,0.9995542168617249,24,ViT-L-14-336,natural
60,non_afforded,implicit,1.0,25,ViT-L-14-336,natural
61,non_afforded,implicit,5.084485223960655e-07,26,ViT-L-14-336,natural
62,non_afforded,implicit,0.9992092251777649,27,ViT-L-14-336,natural
63,non_afforded,implicit,5.841502206749283e-05,28,ViT-L-14-336,natural
64,non_afforded,implicit,2.625917705501024e-09,29,ViT-L-14-336,natural
65,non_afforded,implicit,0.998211145401001,30,ViT-L-14-336,natural
66,non_afforded,implicit,0.9972508549690247,31,ViT-L-14-336,natural
67,non_afforded,implicit,2.318524394695487e-07,32,ViT-L-14-336,natural
68,non_afforded,implicit,2.712202164245614e-11,33,ViT-L-14-336,natural
69,non_afforded,implicit,0.9999784231185913,34,ViT-L-14-336,natural
70,non_afforded,implicit,0.9993159770965576,35,ViT-L-14-336,natural
71,non_afforded,implicit,0.9999935626983643,36,ViT-L-14-336,natural
