,relationships,prompt_type,probability,group_id,model,dataset
0,related,explicit,0.018263662233948708,1,ViT-L-14-336,natural
1,related,explicit,0.9999344348907471,2,ViT-L-14-336,natural
2,related,explicit,0.8924009203910828,3,ViT-L-14-336,natural
3,related,explicit,1.0,4,ViT-L-14-336,natural
4,related,explicit,0.9775941371917725,5,ViT-L-14-336,natural
5,related,explicit,0.0025671340990811586,6,ViT-L-14-336,natural
6,related,explicit,8.917997895707686e-09,7,ViT-L-14-336,natural
7,related,explicit,0.44738391041755676,8,ViT-L-14-336,natural
8,related,explicit,0.34249764680862427,9,ViT-L-14-336,natural
9,related,explicit,1.0,10,ViT-L-14-336,natural
10,related,explicit,1.0,11,ViT-L-14-336,natural
11,related,explicit,0.9999279975891113,12,ViT-L-14-336,natural
12,related,explicit,2.0501722985954984e-08,13,ViT-L-14-336,natural
13,related,explicit,1.0,14,ViT-L-14-336,natural
14,related,explicit,1.0,15,ViT-L-14-336,natural
15,related,explicit,0.0011737154563888907,16,ViT-L-14-336,natural
16,related,explicit,0.9967879056930542,17,ViT-L-14-336,natural
17,related,explicit,0.9814134836196899,18,ViT-L-14-336,natural
18,related,implicit,0.00013621622929349542,19,ViT-L-14-336,natural
19,related,implicit,0.9994004964828491,20,ViT-L-14-336,natural
20,related,implicit,0.6544080972671509,21,ViT-L-14-336,natural
21,related,implicit,1.0,22,ViT-L-14-336,natural
22,related,implicit,0.9495707750320435,23,ViT-L-14-336,natural
23,related,implicit,0.002227645367383957,24,ViT-L-14-336,natural
24,related,implicit,8.030120807234198e-05,25,ViT-L-14-336,natural
25,related,implicit,0.9992071986198425,26,ViT-L-14-336,natural
26,related,implicit,0.25573915243148804,27,ViT-L-14-336,natural
27,related,implicit,1.0,28,ViT-L-14-336,natural
28,related,implicit,1.0,29,ViT-L-14-336,natural
29,related,implicit,0.999996542930603,30,ViT-L-14-336,natural
30,related,implicit,7.723269246362463e-10,31,ViT-L-14-336,natural
31,related,implicit,1.0,32,ViT-L-14-336,natural
32,related,implicit,1.0,33,ViT-L-14-336,natural
33,related,implicit,0.9998278617858887,34,ViT-L-14-336,natural
34,related,implicit,0.9549131989479065,35,ViT-L-14-336,natural
35,related,implicit,0.6124717593193054,36,ViT-L-14-336,natural
36,non_afforded,explicit,0.9817363023757935,1,ViT-L-14-336,natural
37,non_afforded,explicit,6.555915751960129e-05,2,ViT-L-14-336,natural
38,non_afforded,explicit,0.10759908705949783,3,ViT-L-14-336,natural
39,non_afforded,explicit,5.654571388490244e-14,4,ViT-L-14-336,natural
40,non_afforded,explicit,0.02240585908293724,5,ViT-L-14-336,natural
41,non_afforded,explicit,0.9974328875541687,6,ViT-L-14-336,natural
42,non_afforded,explicit,1.0,7,ViT-L-14-336,natural
43,non_afforded,explicit,0.5526161193847656,8,ViT-L-14-336,natural
44,non_afforded,explicit,0.6575023531913757,9,ViT-L-14-336,natural
45,non_afforded,explicit,3.727626540772633e-10,10,ViT-L-14-336,natural
46,non_afforded,explicit,2.6371380773548836e-11,11,ViT-L-14-336,natural
47,non_afforded,explicit,7.200987602118403e-05,12,ViT-L-14-336,natural
48,non_afforded,explicit,1.0,13,ViT-L-14-336,natural
49,non_afforded,explicit,2.907445117994456e-10,14,ViT-L-14-336,natural
50,non_afforded,explicit,2.0324133487292784e-09,15,ViT-L-14-336,natural
51,non_afforded,explicit,0.9988263249397278,16,ViT-L-14-336,natural
52,non_afforded,explicit,0.003212061244994402,17,ViT-L-14-336,natural
53,non_afforded,explicit,0.01858653500676155,18,ViT-L-14-336,natural
54,non_afforded,implicit,0.9998637437820435,19,ViT-L-14-336,natural
55,non_afforded,implicit,0.000599527033045888,20,ViT-L-14-336,natural
56,non_afforded,implicit,0.3455919027328491,21,ViT-L-14-336,natural
57,non_afforded,implicit,3.351628734748688e-14,22,ViT-L-14-336,natural
58,non_afforded,implicit,0.05042918026447296,23,ViT-L-14-336,natural
59,non_afforded,implicit,0.9977722764015198,24,ViT-L-14-336,natural
60,non_afforded,implicit,0.9999196529388428,25,ViT-L-14-336,natural
61,non_afforded,implicit,0.0007928587147034705,26,ViT-L-14-336,natural
62,non_afforded,implicit,0.7442607879638672,27,ViT-L-14-336,natural
63,non_afforded,implicit,3.470414898854089e-15,28,ViT-L-14-336,natural
64,non_afforded,implicit,2.645926255873121e-10,29,ViT-L-14-336,natural
65,non_afforded,implicit,3.407542635613936e-06,30,ViT-L-14-336,natural
66,non_afforded,implicit,1.0,31,ViT-L-14-336,natural
67,non_afforded,implicit,4.293355448936609e-09,32,ViT-L-14-336,natural
68,non_afforded,implicit,1.4898162703502749e-08,33,ViT-L-14-336,natural
69,non_afforded,implicit,0.00017206383927259594,34,ViT-L-14-336,natural
70,non_afforded,implicit,0.045086756348609924,35,ViT-L-14-336,natural
71,non_afforded,implicit,0.3875282406806946,36,ViT-L-14-336,natural
