,relationships,prompt_type,probability,group_id,model,dataset
0,afforded,explicit,0.0027119710575789213,1,imagebind,natural
1,afforded,explicit,0.009720182977616787,2,imagebind,natural
2,afforded,explicit,0.9990684390068054,3,imagebind,natural
3,afforded,explicit,0.9990763664245605,4,imagebind,natural
4,afforded,explicit,0.008986668661236763,5,imagebind,natural
5,afforded,explicit,0.9150285124778748,6,imagebind,natural
6,afforded,explicit,3.110419856966473e-05,7,imagebind,natural
7,afforded,explicit,0.2192261666059494,8,imagebind,natural
8,afforded,explicit,0.05774084851145744,9,imagebind,natural
9,afforded,explicit,0.9999847412109375,10,imagebind,natural
10,afforded,explicit,0.9999126195907593,11,imagebind,natural
11,afforded,explicit,0.0037544004153460264,12,imagebind,natural
12,afforded,explicit,0.12186183780431747,13,imagebind,natural
13,afforded,explicit,0.9286457300186157,14,imagebind,natural
14,afforded,explicit,0.8635914921760559,15,imagebind,natural
15,afforded,explicit,0.031211668625473976,16,imagebind,natural
16,afforded,explicit,0.06670335680246353,17,imagebind,natural
17,afforded,explicit,0.027928175404667854,18,imagebind,natural
18,afforded,implicit,0.0014756922610104084,19,imagebind,natural
19,afforded,implicit,0.0026226055342704058,20,imagebind,natural
20,afforded,implicit,0.9984943866729736,21,imagebind,natural
21,afforded,implicit,0.9990311861038208,22,imagebind,natural
22,afforded,implicit,0.006175757851451635,23,imagebind,natural
23,afforded,implicit,0.931757390499115,24,imagebind,natural
24,afforded,implicit,0.00010984952677972615,25,imagebind,natural
25,afforded,implicit,0.8275713920593262,26,imagebind,natural
26,afforded,implicit,0.018789244815707207,27,imagebind,natural
27,afforded,implicit,0.9999934434890747,28,imagebind,natural
28,afforded,implicit,0.9998811483383179,29,imagebind,natural
29,afforded,implicit,0.003532442031428218,30,imagebind,natural
30,afforded,implicit,0.013522553257644176,31,imagebind,natural
31,afforded,implicit,0.9689397811889648,32,imagebind,natural
32,afforded,implicit,0.9752634763717651,33,imagebind,natural
33,afforded,implicit,0.06620225310325623,34,imagebind,natural
34,afforded,implicit,0.16448211669921875,35,imagebind,natural
35,afforded,implicit,0.027587901800870895,36,imagebind,natural
36,non_afforded,explicit,0.9972879886627197,1,imagebind,natural
37,non_afforded,explicit,0.9902798533439636,2,imagebind,natural
38,non_afforded,explicit,0.0009315436473116279,3,imagebind,natural
39,non_afforded,explicit,0.0009236279875040054,4,imagebind,natural
40,non_afforded,explicit,0.9910133481025696,5,imagebind,natural
41,non_afforded,explicit,0.08497145771980286,6,imagebind,natural
42,non_afforded,explicit,0.9999688863754272,7,imagebind,natural
43,non_afforded,explicit,0.7807738780975342,8,imagebind,natural
44,non_afforded,explicit,0.9422591328620911,9,imagebind,natural
45,non_afforded,explicit,1.5299749065889046e-05,10,imagebind,natural
46,non_afforded,explicit,8.74003380886279e-05,11,imagebind,natural
47,non_afforded,explicit,0.9962455630302429,12,imagebind,natural
48,non_afforded,explicit,0.8781381845474243,13,imagebind,natural
49,non_afforded,explicit,0.07135434448719025,14,imagebind,natural
50,non_afforded,explicit,0.13640858232975006,15,imagebind,natural
51,non_afforded,explicit,0.9687882661819458,16,imagebind,natural
52,non_afforded,explicit,0.9332966208457947,17,imagebind,natural
53,non_afforded,explicit,0.9720718860626221,18,imagebind,natural
54,non_afforded,implicit,0.9985243678092957,19,imagebind,natural
55,non_afforded,implicit,0.9973773956298828,20,imagebind,natural
56,non_afforded,implicit,0.0015055987751111388,21,imagebind,natural
57,non_afforded,implicit,0.0009688197169452906,22,imagebind,natural
58,non_afforded,implicit,0.9938242435455322,23,imagebind,natural
59,non_afforded,implicit,0.0682426169514656,24,imagebind,natural
60,non_afforded,implicit,0.9998900890350342,25,imagebind,natural
61,non_afforded,implicit,0.17242863774299622,26,imagebind,natural
62,non_afforded,implicit,0.9812107086181641,27,imagebind,natural
63,non_afforded,implicit,6.605805992876412e-06,28,imagebind,natural
64,non_afforded,implicit,0.00011882966646226123,29,imagebind,natural
65,non_afforded,implicit,0.9964675903320312,30,imagebind,natural
66,non_afforded,implicit,0.9864774942398071,31,imagebind,natural
67,non_afforded,implicit,0.031060149893164635,32,imagebind,natural
68,non_afforded,implicit,0.024736493825912476,33,imagebind,natural
69,non_afforded,implicit,0.9337977766990662,34,imagebind,natural
70,non_afforded,implicit,0.8355178833007812,35,imagebind,natural
71,non_afforded,implicit,0.9724120497703552,36,imagebind,natural
