,relationships,prompt_type,probability,group_id,model,dataset
0,related,explicit,0.46397101879119873,1,imagebind,natural
1,related,explicit,0.9898579716682434,2,imagebind,natural
2,related,explicit,0.9695939421653748,3,imagebind,natural
3,related,explicit,0.9999986886978149,4,imagebind,natural
4,related,explicit,0.11216510832309723,5,imagebind,natural
5,related,explicit,0.0021759942173957825,6,imagebind,natural
6,related,explicit,0.022473828867077827,7,imagebind,natural
7,related,explicit,0.0010592722101137042,8,imagebind,natural
8,related,explicit,0.9640922546386719,9,imagebind,natural
9,related,explicit,1.0,10,imagebind,natural
10,related,explicit,0.9991459846496582,11,imagebind,natural
11,related,explicit,0.2356676161289215,12,imagebind,natural
12,related,explicit,0.0029509093146771193,13,imagebind,natural
13,related,explicit,0.9998867511749268,14,imagebind,natural
14,related,explicit,0.9999980926513672,15,imagebind,natural
15,related,explicit,0.0372600182890892,16,imagebind,natural
16,related,explicit,0.9986761212348938,17,imagebind,natural
17,related,explicit,0.15976715087890625,18,imagebind,natural
18,related,implicit,0.9841929078102112,19,imagebind,natural
19,related,implicit,0.9956433773040771,20,imagebind,natural
20,related,implicit,0.9744600057601929,21,imagebind,natural
21,related,implicit,0.9999995231628418,22,imagebind,natural
22,related,implicit,0.7611570358276367,23,imagebind,natural
23,related,implicit,0.003944113850593567,24,imagebind,natural
24,related,implicit,0.17055386304855347,25,imagebind,natural
25,related,implicit,0.002078533172607422,26,imagebind,natural
26,related,implicit,0.7658537030220032,27,imagebind,natural
27,related,implicit,1.0,28,imagebind,natural
28,related,implicit,0.9993759989738464,29,imagebind,natural
29,related,implicit,0.8148126602172852,30,imagebind,natural
30,related,implicit,0.00030118986614979804,31,imagebind,natural
31,related,implicit,0.999977707862854,32,imagebind,natural
32,related,implicit,0.9999922513961792,33,imagebind,natural
33,related,implicit,0.020590929314494133,34,imagebind,natural
34,related,implicit,0.9996778964996338,35,imagebind,natural
35,related,implicit,0.5126540660858154,36,imagebind,natural
36,non_afforded,explicit,0.536029040813446,1,imagebind,natural
37,non_afforded,explicit,0.010141950100660324,2,imagebind,natural
38,non_afforded,explicit,0.030406057834625244,3,imagebind,natural
39,non_afforded,explicit,1.278501713386504e-06,4,imagebind,natural
40,non_afforded,explicit,0.887834906578064,5,imagebind,natural
41,non_afforded,explicit,0.9978240728378296,6,imagebind,natural
42,non_afforded,explicit,0.9775261878967285,7,imagebind,natural
43,non_afforded,explicit,0.9989407658576965,8,imagebind,natural
44,non_afforded,explicit,0.0359078086912632,9,imagebind,natural
45,non_afforded,explicit,8.893181302482844e-09,10,imagebind,natural
46,non_afforded,explicit,0.0008540367125533521,11,imagebind,natural
47,non_afforded,explicit,0.7643324136734009,12,imagebind,natural
48,non_afforded,explicit,0.9970491528511047,13,imagebind,natural
49,non_afforded,explicit,0.00011322746286168694,14,imagebind,natural
50,non_afforded,explicit,1.9563051409932086e-06,15,imagebind,natural
51,non_afforded,explicit,0.9627400040626526,16,imagebind,natural
52,non_afforded,explicit,0.0013238884275779128,17,imagebind,natural
53,non_afforded,explicit,0.8402329087257385,18,imagebind,natural
54,non_afforded,implicit,0.015807051211595535,19,imagebind,natural
55,non_afforded,implicit,0.004356659483164549,20,imagebind,natural
56,non_afforded,implicit,0.025540020316839218,21,imagebind,natural
57,non_afforded,implicit,5.044085469307902e-07,22,imagebind,natural
58,non_afforded,implicit,0.23884297907352448,23,imagebind,natural
59,non_afforded,implicit,0.9960558414459229,24,imagebind,natural
60,non_afforded,implicit,0.8294460773468018,25,imagebind,natural
61,non_afforded,implicit,0.9979215264320374,26,imagebind,natural
62,non_afforded,implicit,0.23414623737335205,27,imagebind,natural
63,non_afforded,implicit,2.2343802363877785e-09,28,imagebind,natural
64,non_afforded,implicit,0.0006240729126147926,29,imagebind,natural
65,non_afforded,implicit,0.18518733978271484,30,imagebind,natural
66,non_afforded,implicit,0.9996988773345947,31,imagebind,natural
67,non_afforded,implicit,2.2349422579281963e-05,32,imagebind,natural
68,non_afforded,implicit,7.766426278976724e-06,33,imagebind,natural
69,non_afforded,implicit,0.9794090390205383,34,imagebind,natural
70,non_afforded,implicit,0.00032214372185990214,35,imagebind,natural
71,non_afforded,implicit,0.4873458743095398,36,imagebind,natural
