,relationships,prompt_type,probability,group_id,model,dataset
0,afforded,explicit,0.873824417591095,1,ViT-B-32,synthetic
1,afforded,explicit,0.930252730846405,2,ViT-B-32,synthetic
2,afforded,explicit,0.6748490929603577,3,ViT-B-32,synthetic
3,afforded,explicit,0.9956899285316467,4,ViT-B-32,synthetic
4,afforded,explicit,0.9591817855834961,5,ViT-B-32,synthetic
5,afforded,explicit,0.026753421872854233,6,ViT-B-32,synthetic
6,afforded,explicit,0.007824013009667397,7,ViT-B-32,synthetic
7,afforded,explicit,0.9803865551948547,8,ViT-B-32,synthetic
8,afforded,explicit,0.12085343152284622,9,ViT-B-32,synthetic
9,afforded,explicit,0.8583900928497314,10,ViT-B-32,synthetic
10,afforded,explicit,0.9954982995986938,11,ViT-B-32,synthetic
11,afforded,explicit,0.0030420436523854733,12,ViT-B-32,synthetic
12,afforded,explicit,0.7426077127456665,13,ViT-B-32,synthetic
13,afforded,explicit,0.21887148916721344,14,ViT-B-32,synthetic
14,afforded,explicit,0.8863740563392639,15,ViT-B-32,synthetic
15,afforded,explicit,0.9326582551002502,16,ViT-B-32,synthetic
16,afforded,explicit,0.086330845952034,17,ViT-B-32,synthetic
17,afforded,explicit,0.42712345719337463,18,ViT-B-32,synthetic
18,afforded,implicit,0.8192225694656372,19,ViT-B-32,synthetic
19,afforded,implicit,0.9248037338256836,20,ViT-B-32,synthetic
20,afforded,implicit,0.6425350308418274,21,ViT-B-32,synthetic
21,afforded,implicit,0.9928338527679443,22,ViT-B-32,synthetic
22,afforded,implicit,0.9380620718002319,23,ViT-B-32,synthetic
23,afforded,implicit,0.024228928610682487,24,ViT-B-32,synthetic
24,afforded,implicit,0.00034679504460655153,25,ViT-B-32,synthetic
25,afforded,implicit,0.9773570895195007,26,ViT-B-32,synthetic
26,afforded,implicit,0.04422426223754883,27,ViT-B-32,synthetic
27,afforded,implicit,0.9906003475189209,28,ViT-B-32,synthetic
28,afforded,implicit,0.9954957962036133,29,ViT-B-32,synthetic
29,afforded,implicit,0.02725531905889511,30,ViT-B-32,synthetic
30,afforded,implicit,0.9000778794288635,31,ViT-B-32,synthetic
31,afforded,implicit,0.22439318895339966,32,ViT-B-32,synthetic
32,afforded,implicit,0.9095041751861572,33,ViT-B-32,synthetic
33,afforded,implicit,0.6160389184951782,34,ViT-B-32,synthetic
34,afforded,implicit,0.11775272339582443,35,ViT-B-32,synthetic
35,afforded,implicit,0.3492697775363922,36,ViT-B-32,synthetic
36,non_afforded,explicit,0.12617552280426025,1,ViT-B-32,synthetic
37,non_afforded,explicit,0.06974726170301437,2,ViT-B-32,synthetic
38,non_afforded,explicit,0.32515087723731995,3,ViT-B-32,synthetic
39,non_afforded,explicit,0.0043100155889987946,4,ViT-B-32,synthetic
40,non_afforded,explicit,0.0408182293176651,5,ViT-B-32,synthetic
41,non_afforded,explicit,0.9732465744018555,6,ViT-B-32,synthetic
42,non_afforded,explicit,0.9921759963035583,7,ViT-B-32,synthetic
43,non_afforded,explicit,0.0196134801954031,8,ViT-B-32,synthetic
44,non_afforded,explicit,0.8791465759277344,9,ViT-B-32,synthetic
45,non_afforded,explicit,0.14160984754562378,10,ViT-B-32,synthetic
46,non_afforded,explicit,0.004501785151660442,11,ViT-B-32,synthetic
47,non_afforded,explicit,0.9969580173492432,12,ViT-B-32,synthetic
48,non_afforded,explicit,0.2573923170566559,13,ViT-B-32,synthetic
49,non_afforded,explicit,0.7811285257339478,14,ViT-B-32,synthetic
50,non_afforded,explicit,0.11362586915493011,15,ViT-B-32,synthetic
51,non_afforded,explicit,0.06734173744916916,16,ViT-B-32,synthetic
52,non_afforded,explicit,0.9136691093444824,17,ViT-B-32,synthetic
53,non_afforded,explicit,0.5728765726089478,18,ViT-B-32,synthetic
54,non_afforded,implicit,0.1807774007320404,19,ViT-B-32,synthetic
55,non_afforded,implicit,0.0751962959766388,20,ViT-B-32,synthetic
56,non_afforded,implicit,0.3574650287628174,21,ViT-B-32,synthetic
57,non_afforded,implicit,0.0071661327965557575,22,ViT-B-32,synthetic
58,non_afforded,implicit,0.06193789839744568,23,ViT-B-32,synthetic
59,non_afforded,implicit,0.9757710099220276,24,ViT-B-32,synthetic
60,non_afforded,implicit,0.9996532201766968,25,ViT-B-32,synthetic
61,non_afforded,implicit,0.022642916068434715,26,ViT-B-32,synthetic
62,non_afforded,implicit,0.955775797367096,27,ViT-B-32,synthetic
63,non_afforded,implicit,0.00939964223653078,28,ViT-B-32,synthetic
64,non_afforded,implicit,0.0045041958801448345,29,ViT-B-32,synthetic
65,non_afforded,implicit,0.9727447032928467,30,ViT-B-32,synthetic
66,non_afforded,implicit,0.09992208331823349,31,ViT-B-32,synthetic
67,non_afforded,implicit,0.7756068110466003,32,ViT-B-32,synthetic
68,non_afforded,implicit,0.09049579501152039,33,ViT-B-32,synthetic
69,non_afforded,implicit,0.38396114110946655,34,ViT-B-32,synthetic
70,non_afforded,implicit,0.882247269153595,35,ViT-B-32,synthetic
71,non_afforded,implicit,0.6507302522659302,36,ViT-B-32,synthetic
