,relationships,prompt_type,probability,group_id,model,dataset
0,afforded,explicit,0.8738282322883606,1,ViT-B-32,synthetic
1,afforded,explicit,0.9478591084480286,2,ViT-B-32,synthetic
2,afforded,explicit,0.67484050989151,3,ViT-B-32,synthetic
3,afforded,explicit,0.9956899285316467,4,ViT-B-32,synthetic
4,afforded,explicit,0.9555413722991943,5,ViT-B-32,synthetic
5,afforded,explicit,0.015208661556243896,6,ViT-B-32,synthetic
6,afforded,explicit,0.04529266431927681,7,ViT-B-32,synthetic
7,afforded,explicit,0.9809876680374146,8,ViT-B-32,synthetic
8,afforded,explicit,0.12085586786270142,9,ViT-B-32,synthetic
9,afforded,explicit,0.8583918809890747,10,ViT-B-32,synthetic
10,afforded,explicit,0.9963741898536682,11,ViT-B-32,synthetic
11,afforded,explicit,0.003042095573619008,12,ViT-B-32,synthetic
12,afforded,explicit,0.7426146268844604,13,ViT-B-32,synthetic
13,afforded,explicit,0.07741732895374298,14,ViT-B-32,synthetic
14,afforded,explicit,0.8865149021148682,15,ViT-B-32,synthetic
15,afforded,explicit,0.8133779764175415,16,ViT-B-32,synthetic
16,afforded,explicit,0.08633505553007126,17,ViT-B-32,synthetic
17,afforded,explicit,0.3982967436313629,18,ViT-B-32,synthetic
18,afforded,implicit,0.4871072769165039,1,ViT-B-32,synthetic
19,afforded,implicit,0.9644879698753357,2,ViT-B-32,synthetic
20,afforded,implicit,0.6425238251686096,3,ViT-B-32,synthetic
21,afforded,implicit,0.9928337335586548,4,ViT-B-32,synthetic
22,afforded,implicit,0.9032778739929199,5,ViT-B-32,synthetic
23,afforded,implicit,0.025796940550208092,6,ViT-B-32,synthetic
24,afforded,implicit,0.0013997089117765427,7,ViT-B-32,synthetic
25,afforded,implicit,0.993370532989502,8,ViT-B-32,synthetic
26,afforded,implicit,0.044225871562957764,9,ViT-B-32,synthetic
27,afforded,implicit,0.9906005859375,10,ViT-B-32,synthetic
28,afforded,implicit,0.9975897073745728,11,ViT-B-32,synthetic
29,afforded,implicit,0.02725592441856861,12,ViT-B-32,synthetic
30,afforded,implicit,0.9000800251960754,13,ViT-B-32,synthetic
31,afforded,implicit,0.10752850025892258,14,ViT-B-32,synthetic
32,afforded,implicit,0.8752229809761047,15,ViT-B-32,synthetic
33,afforded,implicit,0.33281421661376953,16,ViT-B-32,synthetic
34,afforded,implicit,0.11775708943605423,17,ViT-B-32,synthetic
35,afforded,implicit,0.29394376277923584,18,ViT-B-32,synthetic
36,non_afforded,explicit,0.1261717528104782,1,ViT-B-32,synthetic
37,non_afforded,explicit,0.05214085057377815,2,ViT-B-32,synthetic
38,non_afforded,explicit,0.3251594603061676,3,ViT-B-32,synthetic
39,non_afforded,explicit,0.004310035612434149,4,ViT-B-32,synthetic
40,non_afforded,explicit,0.04445856437087059,5,ViT-B-32,synthetic
41,non_afforded,explicit,0.9847913384437561,6,ViT-B-32,synthetic
42,non_afforded,explicit,0.9547073841094971,7,ViT-B-32,synthetic
43,non_afforded,explicit,0.019012371078133583,8,ViT-B-32,synthetic
44,non_afforded,explicit,0.8791441321372986,9,ViT-B-32,synthetic
45,non_afforded,explicit,0.1416081190109253,10,ViT-B-32,synthetic
46,non_afforded,explicit,0.0036258245818316936,11,ViT-B-32,synthetic
47,non_afforded,explicit,0.9969578981399536,12,ViT-B-32,synthetic
48,non_afforded,explicit,0.25738537311553955,13,ViT-B-32,synthetic
49,non_afforded,explicit,0.9225826859474182,14,ViT-B-32,synthetic
50,non_afforded,explicit,0.11348515748977661,15,ViT-B-32,synthetic
51,non_afforded,explicit,0.1866220086812973,16,ViT-B-32,synthetic
52,non_afforded,explicit,0.9136649370193481,17,ViT-B-32,synthetic
53,non_afforded,explicit,0.6017032861709595,18,ViT-B-32,synthetic
54,non_afforded,implicit,0.5128927230834961,1,ViT-B-32,synthetic
55,non_afforded,implicit,0.0355120450258255,2,ViT-B-32,synthetic
56,non_afforded,implicit,0.3574761748313904,3,ViT-B-32,synthetic
57,non_afforded,implicit,0.007166254799813032,4,ViT-B-32,synthetic
58,non_afforded,implicit,0.09672212600708008,5,ViT-B-32,synthetic
59,non_afforded,implicit,0.9742030501365662,6,ViT-B-32,synthetic
60,non_afforded,implicit,0.9986003041267395,7,ViT-B-32,synthetic
61,non_afforded,implicit,0.006629433017224073,8,ViT-B-32,synthetic
62,non_afforded,implicit,0.9557741284370422,9,ViT-B-32,synthetic
63,non_afforded,implicit,0.009399429894983768,10,ViT-B-32,synthetic
64,non_afforded,implicit,0.0024103596806526184,11,ViT-B-32,synthetic
65,non_afforded,implicit,0.9727440476417542,12,ViT-B-32,synthetic
66,non_afforded,implicit,0.09991994500160217,13,ViT-B-32,synthetic
67,non_afforded,implicit,0.8924714922904968,14,ViT-B-32,synthetic
68,non_afforded,implicit,0.12477701902389526,15,ViT-B-32,synthetic
69,non_afforded,implicit,0.6671857833862305,16,ViT-B-32,synthetic
70,non_afforded,implicit,0.8822429180145264,17,ViT-B-32,synthetic
71,non_afforded,implicit,0.7060562968254089,18,ViT-B-32,synthetic
