,relationships,prompt_type,probability,group_id,model,dataset
0,related,explicit,0.8535416126251221,1,ViT-B-32,synthetic
1,related,explicit,0.9582955837249756,2,ViT-B-32,synthetic
2,related,explicit,0.9876153469085693,3,ViT-B-32,synthetic
3,related,explicit,0.9976511597633362,4,ViT-B-32,synthetic
4,related,explicit,0.8995350003242493,5,ViT-B-32,synthetic
5,related,explicit,0.014801392331719398,6,ViT-B-32,synthetic
6,related,explicit,0.6014349460601807,7,ViT-B-32,synthetic
7,related,explicit,0.961654007434845,8,ViT-B-32,synthetic
8,related,explicit,0.16459958255290985,9,ViT-B-32,synthetic
9,related,explicit,0.9989847540855408,10,ViT-B-32,synthetic
10,related,explicit,0.9548527002334595,11,ViT-B-32,synthetic
11,related,explicit,0.34808486700057983,12,ViT-B-32,synthetic
12,related,explicit,0.2666589319705963,13,ViT-B-32,synthetic
13,related,explicit,0.8413583040237427,14,ViT-B-32,synthetic
14,related,explicit,0.9900932908058167,15,ViT-B-32,synthetic
15,related,explicit,0.9688683152198792,16,ViT-B-32,synthetic
16,related,explicit,0.32190489768981934,17,ViT-B-32,synthetic
17,related,explicit,0.6803404688835144,18,ViT-B-32,synthetic
18,related,implicit,0.9973912239074707,19,ViT-B-32,synthetic
19,related,implicit,0.898210883140564,20,ViT-B-32,synthetic
20,related,implicit,0.9896341562271118,21,ViT-B-32,synthetic
21,related,implicit,0.9990134239196777,22,ViT-B-32,synthetic
22,related,implicit,0.8914154171943665,23,ViT-B-32,synthetic
23,related,implicit,0.012438548728823662,24,ViT-B-32,synthetic
24,related,implicit,0.27208614349365234,25,ViT-B-32,synthetic
25,related,implicit,0.9966577291488647,26,ViT-B-32,synthetic
26,related,implicit,0.036129746586084366,27,ViT-B-32,synthetic
27,related,implicit,0.9999785423278809,28,ViT-B-32,synthetic
28,related,implicit,0.9431529641151428,29,ViT-B-32,synthetic
29,related,implicit,0.9858582615852356,30,ViT-B-32,synthetic
30,related,implicit,0.560347318649292,31,ViT-B-32,synthetic
31,related,implicit,0.877342164516449,32,ViT-B-32,synthetic
32,related,implicit,0.9982364177703857,33,ViT-B-32,synthetic
33,related,implicit,0.950184166431427,34,ViT-B-32,synthetic
34,related,implicit,0.36788392066955566,35,ViT-B-32,synthetic
35,related,implicit,0.5701586008071899,36,ViT-B-32,synthetic
36,non_afforded,explicit,0.14645832777023315,1,ViT-B-32,synthetic
37,non_afforded,explicit,0.04170438274741173,2,ViT-B-32,synthetic
38,non_afforded,explicit,0.012384659610688686,3,ViT-B-32,synthetic
39,non_afforded,explicit,0.002348888898268342,4,ViT-B-32,synthetic
40,non_afforded,explicit,0.10046504437923431,5,ViT-B-32,synthetic
41,non_afforded,explicit,0.9851986765861511,6,ViT-B-32,synthetic
42,non_afforded,explicit,0.3985650837421417,7,ViT-B-32,synthetic
43,non_afforded,explicit,0.03834602236747742,8,ViT-B-32,synthetic
44,non_afforded,explicit,0.835400402545929,9,ViT-B-32,synthetic
45,non_afforded,explicit,0.0010151795577257872,10,ViT-B-32,synthetic
46,non_afforded,explicit,0.04514731839299202,11,ViT-B-32,synthetic
47,non_afforded,explicit,0.6519151329994202,12,ViT-B-32,synthetic
48,non_afforded,explicit,0.7333410978317261,13,ViT-B-32,synthetic
49,non_afforded,explicit,0.15864171087741852,14,ViT-B-32,synthetic
50,non_afforded,explicit,0.009906740859150887,15,ViT-B-32,synthetic
51,non_afforded,explicit,0.03113165870308876,16,ViT-B-32,synthetic
52,non_afforded,explicit,0.6780951023101807,17,ViT-B-32,synthetic
53,non_afforded,explicit,0.319659560918808,18,ViT-B-32,synthetic
54,non_afforded,implicit,0.0026086904108524323,19,ViT-B-32,synthetic
55,non_afforded,implicit,0.10178911685943604,20,ViT-B-32,synthetic
56,non_afforded,implicit,0.010365837253630161,21,ViT-B-32,synthetic
57,non_afforded,implicit,0.000986566417850554,22,ViT-B-32,synthetic
58,non_afforded,implicit,0.10858450084924698,23,ViT-B-32,synthetic
59,non_afforded,implicit,0.9875614643096924,24,ViT-B-32,synthetic
60,non_afforded,implicit,0.7279139161109924,25,ViT-B-32,synthetic
61,non_afforded,implicit,0.003342319279909134,26,ViT-B-32,synthetic
62,non_afforded,implicit,0.9638702273368835,27,ViT-B-32,synthetic
63,non_afforded,implicit,2.1477102563949302e-05,28,ViT-B-32,synthetic
64,non_afforded,implicit,0.05684702843427658,29,ViT-B-32,synthetic
65,non_afforded,implicit,0.014141672290861607,30,ViT-B-32,synthetic
66,non_afforded,implicit,0.4396526515483856,31,ViT-B-32,synthetic
67,non_afforded,implicit,0.12265779078006744,32,ViT-B-32,synthetic
68,non_afforded,implicit,0.0017636208795011044,33,ViT-B-32,synthetic
69,non_afforded,implicit,0.049815770238637924,34,ViT-B-32,synthetic
70,non_afforded,implicit,0.6321160793304443,35,ViT-B-32,synthetic
71,non_afforded,implicit,0.42984136939048767,36,ViT-B-32,synthetic
