,relationships,prompt_type,probability,group_id,model,dataset
0,related,explicit,0.99671870470047,1,ViT-L-14-336,synthetic
1,related,explicit,1.0,2,ViT-L-14-336,synthetic
2,related,explicit,0.9215133786201477,3,ViT-L-14-336,synthetic
3,related,explicit,0.990086019039154,4,ViT-L-14-336,synthetic
4,related,explicit,0.9253522753715515,5,ViT-L-14-336,synthetic
5,related,explicit,1.4098161527087427e-09,6,ViT-L-14-336,synthetic
6,related,explicit,0.024237364530563354,7,ViT-L-14-336,synthetic
7,related,explicit,0.0026591403875499964,8,ViT-L-14-336,synthetic
8,related,explicit,0.9068421125411987,9,ViT-L-14-336,synthetic
9,related,explicit,0.9999998807907104,10,ViT-L-14-336,synthetic
10,related,explicit,1.0,11,ViT-L-14-336,synthetic
11,related,explicit,0.9673482775688171,12,ViT-L-14-336,synthetic
12,related,explicit,7.811088835296687e-06,13,ViT-L-14-336,synthetic
13,related,explicit,0.9999998807907104,14,ViT-L-14-336,synthetic
14,related,explicit,1.0,15,ViT-L-14-336,synthetic
15,related,explicit,0.47831183671951294,16,ViT-L-14-336,synthetic
16,related,explicit,1.0,17,ViT-L-14-336,synthetic
17,related,explicit,0.00013428485544864088,18,ViT-L-14-336,synthetic
18,related,implicit,0.9846885204315186,1,ViT-L-14-336,synthetic
19,related,implicit,0.9999991655349731,2,ViT-L-14-336,synthetic
20,related,implicit,0.9722991585731506,3,ViT-L-14-336,synthetic
21,related,implicit,0.9966790676116943,4,ViT-L-14-336,synthetic
22,related,implicit,0.239254891872406,5,ViT-L-14-336,synthetic
23,related,implicit,1.1840464964052444e-07,6,ViT-L-14-336,synthetic
24,related,implicit,4.3596704927040264e-05,7,ViT-L-14-336,synthetic
25,related,implicit,0.5853585600852966,8,ViT-L-14-336,synthetic
26,related,implicit,0.9780938029289246,9,ViT-L-14-336,synthetic
27,related,implicit,1.0,10,ViT-L-14-336,synthetic
28,related,implicit,1.0,11,ViT-L-14-336,synthetic
29,related,implicit,0.9999858140945435,12,ViT-L-14-336,synthetic
30,related,implicit,8.957481622928753e-05,13,ViT-L-14-336,synthetic
31,related,implicit,0.9999997615814209,14,ViT-L-14-336,synthetic
32,related,implicit,1.0,15,ViT-L-14-336,synthetic
33,related,implicit,0.9999958276748657,16,ViT-L-14-336,synthetic
34,related,implicit,0.9999995231628418,17,ViT-L-14-336,synthetic
35,related,implicit,0.00013501181092578918,18,ViT-L-14-336,synthetic
36,non_afforded,explicit,0.003281226148828864,1,ViT-L-14-336,synthetic
37,non_afforded,explicit,4.463142744270954e-08,2,ViT-L-14-336,synthetic
38,non_afforded,explicit,0.07848663628101349,3,ViT-L-14-336,synthetic
39,non_afforded,explicit,0.009913907386362553,4,ViT-L-14-336,synthetic
40,non_afforded,explicit,0.0746476873755455,5,ViT-L-14-336,synthetic
41,non_afforded,explicit,1.0,6,ViT-L-14-336,synthetic
42,non_afforded,explicit,0.975762665271759,7,ViT-L-14-336,synthetic
43,non_afforded,explicit,0.9973408579826355,8,ViT-L-14-336,synthetic
44,non_afforded,explicit,0.09315785765647888,9,ViT-L-14-336,synthetic
45,non_afforded,explicit,1.3592260472705675e-07,10,ViT-L-14-336,synthetic
46,non_afforded,explicit,3.9636244508756135e-08,11,ViT-L-14-336,synthetic
47,non_afforded,explicit,0.032651737332344055,12,ViT-L-14-336,synthetic
48,non_afforded,explicit,0.9999921321868896,13,ViT-L-14-336,synthetic
49,non_afforded,explicit,8.730728495720541e-08,14,ViT-L-14-336,synthetic
50,non_afforded,explicit,2.041264401952958e-08,15,ViT-L-14-336,synthetic
51,non_afforded,explicit,0.5216882228851318,16,ViT-L-14-336,synthetic
52,non_afforded,explicit,1.0868982158740437e-08,17,ViT-L-14-336,synthetic
53,non_afforded,explicit,0.9998656511306763,18,ViT-L-14-336,synthetic
54,non_afforded,implicit,0.015311472117900848,1,ViT-L-14-336,synthetic
55,non_afforded,implicit,8.309002055284509e-07,2,ViT-L-14-336,synthetic
56,non_afforded,implicit,0.027700865641236305,3,ViT-L-14-336,synthetic
57,non_afforded,implicit,0.003320956602692604,4,ViT-L-14-336,synthetic
58,non_afforded,implicit,0.7607450485229492,5,ViT-L-14-336,synthetic
59,non_afforded,implicit,0.9999998807907104,6,ViT-L-14-336,synthetic
60,non_afforded,implicit,0.9999563694000244,7,ViT-L-14-336,synthetic
61,non_afforded,implicit,0.414641410112381,8,ViT-L-14-336,synthetic
62,non_afforded,implicit,0.021906161680817604,9,ViT-L-14-336,synthetic
63,non_afforded,implicit,4.226001215634767e-10,10,ViT-L-14-336,synthetic
64,non_afforded,implicit,3.0460963529321816e-08,11,ViT-L-14-336,synthetic
65,non_afforded,implicit,1.4186302905727644e-05,12,ViT-L-14-336,synthetic
66,non_afforded,implicit,0.9999104738235474,13,ViT-L-14-336,synthetic
67,non_afforded,implicit,2.404528061106248e-07,14,ViT-L-14-336,synthetic
68,non_afforded,implicit,4.855093038713676e-08,15,ViT-L-14-336,synthetic
69,non_afforded,implicit,4.210512088320684e-06,16,ViT-L-14-336,synthetic
70,non_afforded,implicit,4.6027457756281365e-07,17,ViT-L-14-336,synthetic
71,non_afforded,implicit,0.999864935874939,18,ViT-L-14-336,synthetic
