,relationships,prompt_type,probability,group_id,model,dataset
0,related,explicit,0.9556394815444946,1,imagebind,synthetic
1,related,explicit,0.6613451838493347,2,imagebind,synthetic
2,related,explicit,0.951429545879364,3,imagebind,synthetic
3,related,explicit,0.9755887985229492,4,imagebind,synthetic
4,related,explicit,0.5443851351737976,5,imagebind,synthetic
5,related,explicit,3.0647383937321138e-06,6,imagebind,synthetic
6,related,explicit,0.3452865481376648,7,imagebind,synthetic
7,related,explicit,7.746845767542254e-06,8,imagebind,synthetic
8,related,explicit,0.5858215689659119,9,imagebind,synthetic
9,related,explicit,0.999998927116394,10,imagebind,synthetic
10,related,explicit,0.9950567483901978,11,imagebind,synthetic
11,related,explicit,0.1687183380126953,12,imagebind,synthetic
12,related,explicit,0.183802992105484,13,imagebind,synthetic
13,related,explicit,0.9989381432533264,14,imagebind,synthetic
14,related,explicit,0.9999991655349731,15,imagebind,synthetic
15,related,explicit,6.37720077065751e-05,16,imagebind,synthetic
16,related,explicit,0.9994812607765198,17,imagebind,synthetic
17,related,explicit,0.1927967071533203,18,imagebind,synthetic
18,related,implicit,0.9773094058036804,1,imagebind,synthetic
19,related,implicit,0.9449631571769714,2,imagebind,synthetic
20,related,implicit,0.976655125617981,3,imagebind,synthetic
21,related,implicit,0.9881677031517029,4,imagebind,synthetic
22,related,implicit,0.6286736130714417,5,imagebind,synthetic
23,related,implicit,5.897784831176978e-06,6,imagebind,synthetic
24,related,implicit,0.34931811690330505,7,imagebind,synthetic
25,related,implicit,0.000676809111610055,8,imagebind,synthetic
26,related,implicit,0.26076680421829224,9,imagebind,synthetic
27,related,implicit,0.9999979734420776,10,imagebind,synthetic
28,related,implicit,0.9925152659416199,11,imagebind,synthetic
29,related,implicit,0.683031439781189,12,imagebind,synthetic
30,related,implicit,0.014300446957349777,13,imagebind,synthetic
31,related,implicit,0.9978112578392029,14,imagebind,synthetic
32,related,implicit,0.9999595880508423,15,imagebind,synthetic
33,related,implicit,0.0014952217461541295,16,imagebind,synthetic
34,related,implicit,0.9994829893112183,17,imagebind,synthetic
35,related,implicit,0.7445041537284851,18,imagebind,synthetic
36,non_afforded,explicit,0.044360507279634476,1,imagebind,synthetic
37,non_afforded,explicit,0.33865487575531006,2,imagebind,synthetic
38,non_afforded,explicit,0.04857037961483002,3,imagebind,synthetic
39,non_afforded,explicit,0.024411197751760483,4,imagebind,synthetic
40,non_afforded,explicit,0.4556148946285248,5,imagebind,synthetic
41,non_afforded,explicit,0.9999969005584717,6,imagebind,synthetic
42,non_afforded,explicit,0.6547134518623352,7,imagebind,synthetic
43,non_afforded,explicit,0.9999922513961792,8,imagebind,synthetic
44,non_afforded,explicit,0.41417843103408813,9,imagebind,synthetic
45,non_afforded,explicit,1.073428506970231e-06,10,imagebind,synthetic
46,non_afforded,explicit,0.004943304695188999,11,imagebind,synthetic
47,non_afforded,explicit,0.8312816619873047,12,imagebind,synthetic
48,non_afforded,explicit,0.8161970376968384,13,imagebind,synthetic
49,non_afforded,explicit,0.0010618267115205526,14,imagebind,synthetic
50,non_afforded,explicit,8.802777529126615e-07,15,imagebind,synthetic
51,non_afforded,explicit,0.9999362230300903,16,imagebind,synthetic
52,non_afforded,explicit,0.0005188215291127563,17,imagebind,synthetic
53,non_afforded,explicit,0.8072032332420349,18,imagebind,synthetic
54,non_afforded,implicit,0.02269064076244831,1,imagebind,synthetic
55,non_afforded,implicit,0.05503679811954498,2,imagebind,synthetic
56,non_afforded,implicit,0.023344876244664192,3,imagebind,synthetic
57,non_afforded,implicit,0.011832267045974731,4,imagebind,synthetic
58,non_afforded,implicit,0.37132641673088074,5,imagebind,synthetic
59,non_afforded,implicit,0.999994158744812,6,imagebind,synthetic
60,non_afforded,implicit,0.6506819128990173,7,imagebind,synthetic
61,non_afforded,implicit,0.9993232488632202,8,imagebind,synthetic
62,non_afforded,implicit,0.7392332553863525,9,imagebind,synthetic
63,non_afforded,implicit,2.0291799955884926e-06,10,imagebind,synthetic
64,non_afforded,implicit,0.00748468516394496,11,imagebind,synthetic
65,non_afforded,implicit,0.31696856021881104,12,imagebind,synthetic
66,non_afforded,implicit,0.9856995940208435,13,imagebind,synthetic
67,non_afforded,implicit,0.0021888078190386295,14,imagebind,synthetic
68,non_afforded,implicit,4.046077810926363e-05,15,imagebind,synthetic
69,non_afforded,implicit,0.9985047578811646,16,imagebind,synthetic
70,non_afforded,implicit,0.0005170038202777505,17,imagebind,synthetic
71,non_afforded,implicit,0.2554958164691925,18,imagebind,synthetic
