,sentence,match,probability,model,dataset
0,a,match,0.37542960047721863,ViT-B-32,connell2007
1,a,match,0.3557302951812744,ViT-B-32,connell2007
2,a,match,0.9668547511100769,ViT-B-32,connell2007
3,a,match,0.6116284728050232,ViT-B-32,connell2007
4,a,match,0.7409263253211975,ViT-B-32,connell2007
5,a,match,0.3517049551010132,ViT-B-32,connell2007
6,a,match,0.457692414522171,ViT-B-32,connell2007
7,a,match,0.32546404004096985,ViT-B-32,connell2007
8,a,match,0.8271018862724304,ViT-B-32,connell2007
9,a,match,0.3887499272823334,ViT-B-32,connell2007
10,a,match,0.790468692779541,ViT-B-32,connell2007
11,a,match,0.9055019617080688,ViT-B-32,connell2007
12,a,mismatch,0.6245704293251038,ViT-B-32,connell2007
13,a,mismatch,0.6442697048187256,ViT-B-32,connell2007
14,a,mismatch,0.03314528241753578,ViT-B-32,connell2007
15,a,mismatch,0.3883715271949768,ViT-B-32,connell2007
16,a,mismatch,0.2590736448764801,ViT-B-32,connell2007
17,a,mismatch,0.648294985294342,ViT-B-32,connell2007
18,a,mismatch,0.5423074960708618,ViT-B-32,connell2007
19,a,mismatch,0.6745359897613525,ViT-B-32,connell2007
20,a,mismatch,0.1728980839252472,ViT-B-32,connell2007
21,a,mismatch,0.611250102519989,ViT-B-32,connell2007
22,a,mismatch,0.2095312774181366,ViT-B-32,connell2007
23,a,mismatch,0.09449801594018936,ViT-B-32,connell2007
24,b,match,0.8364160656929016,ViT-B-32,connell2007
25,b,match,0.6694043278694153,ViT-B-32,connell2007
26,b,match,0.028227996081113815,ViT-B-32,connell2007
27,b,match,0.9897689819335938,ViT-B-32,connell2007
28,b,match,0.18906331062316895,ViT-B-32,connell2007
29,b,match,0.8908959627151489,ViT-B-32,connell2007
30,b,match,0.5858209729194641,ViT-B-32,connell2007
31,b,match,0.6657493114471436,ViT-B-32,connell2007
32,b,match,0.13224400579929352,ViT-B-32,connell2007
33,b,match,0.5843267440795898,ViT-B-32,connell2007
34,b,match,0.32345229387283325,ViT-B-32,connell2007
35,b,match,0.2567446529865265,ViT-B-32,connell2007
36,b,mismatch,0.16358397901058197,ViT-B-32,connell2007
37,b,mismatch,0.3305957019329071,ViT-B-32,connell2007
38,b,mismatch,0.9717720150947571,ViT-B-32,connell2007
39,b,mismatch,0.010230951942503452,ViT-B-32,connell2007
40,b,mismatch,0.810936689376831,ViT-B-32,connell2007
41,b,mismatch,0.10910401493310928,ViT-B-32,connell2007
42,b,mismatch,0.4141790270805359,ViT-B-32,connell2007
43,b,mismatch,0.33425062894821167,ViT-B-32,connell2007
44,b,mismatch,0.8677560091018677,ViT-B-32,connell2007
45,b,mismatch,0.4156731963157654,ViT-B-32,connell2007
46,b,mismatch,0.676547646522522,ViT-B-32,connell2007
47,b,mismatch,0.7432554364204407,ViT-B-32,connell2007
