,sentence,match,probability,model,dataset
0,a,match,0.9533470273017883,ViT-H-14,connell2007
1,a,match,0.9999992847442627,ViT-H-14,connell2007
2,a,match,0.9058741331100464,ViT-H-14,connell2007
3,a,match,0.9702271223068237,ViT-H-14,connell2007
4,a,match,0.0027241730131208897,ViT-H-14,connell2007
5,a,match,0.9989919066429138,ViT-H-14,connell2007
6,a,match,0.9707428216934204,ViT-H-14,connell2007
7,a,match,0.12163601815700531,ViT-H-14,connell2007
8,a,match,0.9964548349380493,ViT-H-14,connell2007
9,a,match,0.9825438857078552,ViT-H-14,connell2007
10,a,match,0.008042735047638416,ViT-H-14,connell2007
11,a,match,0.999996542930603,ViT-H-14,connell2007
12,a,mismatch,0.04665296897292137,ViT-H-14,connell2007
13,a,mismatch,7.037623959149641e-07,ViT-H-14,connell2007
14,a,mismatch,0.0941259115934372,ViT-H-14,connell2007
15,a,mismatch,0.02977287396788597,ViT-H-14,connell2007
16,a,mismatch,0.9972758889198303,ViT-H-14,connell2007
17,a,mismatch,0.0010080899810418487,ViT-H-14,connell2007
18,a,mismatch,0.029257141053676605,ViT-H-14,connell2007
19,a,mismatch,0.8783639669418335,ViT-H-14,connell2007
20,a,mismatch,0.00354516739025712,ViT-H-14,connell2007
21,a,mismatch,0.017456088215112686,ViT-H-14,connell2007
22,a,mismatch,0.9919573068618774,ViT-H-14,connell2007
23,a,mismatch,3.400803052500123e-06,ViT-H-14,connell2007
24,b,match,0.9392554759979248,ViT-H-14,connell2007
25,b,match,2.3199011138785863e-06,ViT-H-14,connell2007
26,b,match,0.0776732861995697,ViT-H-14,connell2007
27,b,match,1.0,ViT-H-14,connell2007
28,b,match,0.9997760653495789,ViT-H-14,connell2007
29,b,match,0.9988821148872375,ViT-H-14,connell2007
30,b,match,0.3198993504047394,ViT-H-14,connell2007
31,b,match,0.9759476780891418,ViT-H-14,connell2007
32,b,match,0.007479706779122353,ViT-H-14,connell2007
33,b,match,0.035978738218545914,ViT-H-14,connell2007
34,b,match,0.999992847442627,ViT-H-14,connell2007
35,b,match,0.11008338630199432,ViT-H-14,connell2007
36,b,mismatch,0.0607445053756237,ViT-H-14,connell2007
37,b,mismatch,0.9999977350234985,ViT-H-14,connell2007
38,b,mismatch,0.9223267436027527,ViT-H-14,connell2007
39,b,mismatch,2.820961505385927e-17,ViT-H-14,connell2007
40,b,mismatch,0.0002239298919448629,ViT-H-14,connell2007
41,b,mismatch,0.0011179210850968957,ViT-H-14,connell2007
42,b,mismatch,0.6801006197929382,ViT-H-14,connell2007
43,b,mismatch,0.024052297696471214,ViT-H-14,connell2007
44,b,mismatch,0.9925203323364258,ViT-H-14,connell2007
45,b,mismatch,0.9640212059020996,ViT-H-14,connell2007
46,b,mismatch,7.1906083576323e-06,ViT-H-14,connell2007
47,b,mismatch,0.8899165391921997,ViT-H-14,connell2007
