,sentence,match,probability,model,dataset
0,a,match,4.295813038623919e-09,ViT-bigG-14,connell2007
1,a,match,3.449241576566904e-17,ViT-bigG-14,connell2007
2,a,match,1.0,ViT-bigG-14,connell2007
3,a,match,1.0,ViT-bigG-14,connell2007
4,a,match,1.1768331026741716e-14,ViT-bigG-14,connell2007
5,a,match,1.0,ViT-bigG-14,connell2007
6,a,match,3.059469236177392e-05,ViT-bigG-14,connell2007
7,a,match,1.0,ViT-bigG-14,connell2007
8,a,match,0.13496820628643036,ViT-bigG-14,connell2007
9,a,match,1.0,ViT-bigG-14,connell2007
10,a,match,1.0,ViT-bigG-14,connell2007
11,a,match,1.0,ViT-bigG-14,connell2007
12,a,mismatch,1.0,ViT-bigG-14,connell2007
13,a,mismatch,1.0,ViT-bigG-14,connell2007
14,a,mismatch,3.980768246937659e-20,ViT-bigG-14,connell2007
15,a,mismatch,1.269726893159843e-19,ViT-bigG-14,connell2007
16,a,mismatch,1.0,ViT-bigG-14,connell2007
17,a,mismatch,9.031178471730072e-09,ViT-bigG-14,connell2007
18,a,mismatch,0.9999693632125854,ViT-bigG-14,connell2007
19,a,mismatch,3.94326304942183e-09,ViT-bigG-14,connell2007
20,a,mismatch,0.8650318384170532,ViT-bigG-14,connell2007
21,a,mismatch,1.4007541116458326e-20,ViT-bigG-14,connell2007
22,a,mismatch,3.506560489519088e-36,ViT-bigG-14,connell2007
23,a,mismatch,1.2317927780090734e-20,ViT-bigG-14,connell2007
24,b,match,1.0,ViT-bigG-14,connell2007
25,b,match,1.0,ViT-bigG-14,connell2007
26,b,match,1.5751400698903205e-18,ViT-bigG-14,connell2007
27,b,match,1.0,ViT-bigG-14,connell2007
28,b,match,1.0,ViT-bigG-14,connell2007
29,b,match,1.0,ViT-bigG-14,connell2007
30,b,match,0.9999998807907104,ViT-bigG-14,connell2007
31,b,match,1.8228019094124193e-10,ViT-bigG-14,connell2007
32,b,match,0.20919691026210785,ViT-bigG-14,connell2007
33,b,match,2.8508178037744466e-18,ViT-bigG-14,connell2007
34,b,match,1.5632999539803862e-25,ViT-bigG-14,connell2007
35,b,match,0.7446678876876831,ViT-bigG-14,connell2007
36,b,mismatch,1.5344632879057355e-15,ViT-bigG-14,connell2007
37,b,mismatch,1.0841200102896208e-15,ViT-bigG-14,connell2007
38,b,mismatch,1.0,ViT-bigG-14,connell2007
39,b,mismatch,0.0,ViT-bigG-14,connell2007
40,b,mismatch,1.71822681083178e-10,ViT-bigG-14,connell2007
41,b,mismatch,1.089843495795502e-20,ViT-bigG-14,connell2007
42,b,mismatch,1.1814837819201784e-07,ViT-bigG-14,connell2007
43,b,mismatch,1.0,ViT-bigG-14,connell2007
44,b,mismatch,0.790803074836731,ViT-bigG-14,connell2007
45,b,mismatch,1.0,ViT-bigG-14,connell2007
46,b,mismatch,1.0,ViT-bigG-14,connell2007
47,b,mismatch,0.2553320527076721,ViT-bigG-14,connell2007
