,sentence,match,probability,model,dataset
0,a,match,0.0005208476213738322,ViT-g-14,connell2007
1,a,match,0.00551511300727725,ViT-g-14,connell2007
2,a,match,1.0,ViT-g-14,connell2007
3,a,match,0.9999996423721313,ViT-g-14,connell2007
4,a,match,0.0002411097812000662,ViT-g-14,connell2007
5,a,match,1.0,ViT-g-14,connell2007
6,a,match,0.0004870003613177687,ViT-g-14,connell2007
7,a,match,0.9999984502792358,ViT-g-14,connell2007
8,a,match,0.001318697351962328,ViT-g-14,connell2007
9,a,match,6.101775215938687e-05,ViT-g-14,connell2007
10,a,match,0.9999393224716187,ViT-g-14,connell2007
11,a,match,0.9999996423721313,ViT-g-14,connell2007
12,a,mismatch,0.9994792342185974,ViT-g-14,connell2007
13,a,mismatch,0.9944848418235779,ViT-g-14,connell2007
14,a,mismatch,1.4138339388125587e-09,ViT-g-14,connell2007
15,a,mismatch,3.7521979834309604e-07,ViT-g-14,connell2007
16,a,mismatch,0.9997588992118835,ViT-g-14,connell2007
17,a,mismatch,5.9231783922086834e-08,ViT-g-14,connell2007
18,a,mismatch,0.9995130300521851,ViT-g-14,connell2007
19,a,mismatch,1.5454827462235698e-06,ViT-g-14,connell2007
20,a,mismatch,0.9986812472343445,ViT-g-14,connell2007
21,a,mismatch,0.99993896484375,ViT-g-14,connell2007
22,a,mismatch,6.061965541448444e-05,ViT-g-14,connell2007
23,a,mismatch,3.6783606560675253e-07,ViT-g-14,connell2007
24,b,match,0.9998143315315247,ViT-g-14,connell2007
25,b,match,0.9993521571159363,ViT-g-14,connell2007
26,b,match,7.88555176711725e-09,ViT-g-14,connell2007
27,b,match,1.0,ViT-g-14,connell2007
28,b,match,0.9999978542327881,ViT-g-14,connell2007
29,b,match,0.005007332656532526,ViT-g-14,connell2007
30,b,match,0.9999990463256836,ViT-g-14,connell2007
31,b,match,4.009737494925503e-06,ViT-g-14,connell2007
32,b,match,0.9954368472099304,ViT-g-14,connell2007
33,b,match,0.9999897480010986,ViT-g-14,connell2007
34,b,match,0.9961948394775391,ViT-g-14,connell2007
35,b,match,0.036180660128593445,ViT-g-14,connell2007
36,b,mismatch,0.00018572801491245627,ViT-g-14,connell2007
37,b,mismatch,0.0006477941060438752,ViT-g-14,connell2007
38,b,mismatch,1.0,ViT-g-14,connell2007
39,b,mismatch,4.2554648396942754e-30,ViT-g-14,connell2007
40,b,mismatch,2.1375194592110347e-06,ViT-g-14,connell2007
41,b,mismatch,0.9949926733970642,ViT-g-14,connell2007
42,b,mismatch,9.755650580700603e-07,ViT-g-14,connell2007
43,b,mismatch,0.9999959468841553,ViT-g-14,connell2007
44,b,mismatch,0.004563177935779095,ViT-g-14,connell2007
45,b,mismatch,1.0306170224794187e-05,ViT-g-14,connell2007
46,b,mismatch,0.0038051737938076258,ViT-g-14,connell2007
47,b,mismatch,0.9638193249702454,ViT-g-14,connell2007
