,sentence,match,probability,model,dataset
0,a,match,0.9533470273017883,clip,connell2007
1,a,match,0.9999992847442627,clip,connell2007
2,a,match,0.9058741331100464,clip,connell2007
3,a,match,0.9702271223068237,clip,connell2007
4,a,match,0.0027241730131208897,clip,connell2007
5,a,match,0.9989919066429138,clip,connell2007
6,a,match,0.9707428216934204,clip,connell2007
7,a,match,0.12163601815700531,clip,connell2007
8,a,match,0.9964548349380493,clip,connell2007
9,a,match,0.9825438857078552,clip,connell2007
10,a,match,0.008042735047638416,clip,connell2007
11,a,match,0.999996542930603,clip,connell2007
12,a,mismatch,0.04665296897292137,clip,connell2007
13,a,mismatch,7.037623959149641e-07,clip,connell2007
14,a,mismatch,0.0941259115934372,clip,connell2007
15,a,mismatch,0.02977287396788597,clip,connell2007
16,a,mismatch,0.9972758889198303,clip,connell2007
17,a,mismatch,0.0010080899810418487,clip,connell2007
18,a,mismatch,0.029257141053676605,clip,connell2007
19,a,mismatch,0.8783639669418335,clip,connell2007
20,a,mismatch,0.00354516739025712,clip,connell2007
21,a,mismatch,0.017456088215112686,clip,connell2007
22,a,mismatch,0.9919573068618774,clip,connell2007
23,a,mismatch,3.400803052500123e-06,clip,connell2007
24,b,match,0.9392554759979248,clip,connell2007
25,b,match,2.3199011138785863e-06,clip,connell2007
26,b,match,0.0776732861995697,clip,connell2007
27,b,match,1.0,clip,connell2007
28,b,match,0.9997760653495789,clip,connell2007
29,b,match,0.9988821148872375,clip,connell2007
30,b,match,0.3198993504047394,clip,connell2007
31,b,match,0.9759476780891418,clip,connell2007
32,b,match,0.007479706779122353,clip,connell2007
33,b,match,0.035978738218545914,clip,connell2007
34,b,match,0.999992847442627,clip,connell2007
35,b,match,0.11008338630199432,clip,connell2007
36,b,mismatch,0.0607445053756237,clip,connell2007
37,b,mismatch,0.9999977350234985,clip,connell2007
38,b,mismatch,0.9223267436027527,clip,connell2007
39,b,mismatch,2.820961505385927e-17,clip,connell2007
40,b,mismatch,0.0002239298919448629,clip,connell2007
41,b,mismatch,0.0011179210850968957,clip,connell2007
42,b,mismatch,0.6801006197929382,clip,connell2007
43,b,mismatch,0.024052297696471214,clip,connell2007
44,b,mismatch,0.9925203323364258,clip,connell2007
45,b,mismatch,0.9640212059020996,clip,connell2007
46,b,mismatch,7.1906083576323e-06,clip,connell2007
47,b,mismatch,0.8899165391921997,clip,connell2007
