,sentence,match,probability,model,dataset
0,a,match,0.8086327910423279,imagebind,connell2007
1,a,match,0.9890733361244202,imagebind,connell2007
2,a,match,0.7703429460525513,imagebind,connell2007
3,a,match,0.7417829036712646,imagebind,connell2007
4,a,match,0.10776475816965103,imagebind,connell2007
5,a,match,0.849998950958252,imagebind,connell2007
6,a,match,0.7604804635047913,imagebind,connell2007
7,a,match,0.21873585879802704,imagebind,connell2007
8,a,match,0.701504647731781,imagebind,connell2007
9,a,match,0.7797407507896423,imagebind,connell2007
10,a,match,0.37450602650642395,imagebind,connell2007
11,a,match,0.9737066030502319,imagebind,connell2007
12,a,mismatch,0.1913672387599945,imagebind,connell2007
13,a,mismatch,0.010926629416644573,imagebind,connell2007
14,a,mismatch,0.22965699434280396,imagebind,connell2007
15,a,mismatch,0.25821709632873535,imagebind,connell2007
16,a,mismatch,0.8922352194786072,imagebind,connell2007
17,a,mismatch,0.15000110864639282,imagebind,connell2007
18,a,mismatch,0.23951955139636993,imagebind,connell2007
19,a,mismatch,0.7812641263008118,imagebind,connell2007
20,a,mismatch,0.2984953820705414,imagebind,connell2007
21,a,mismatch,0.22025921940803528,imagebind,connell2007
22,a,mismatch,0.6254939436912537,imagebind,connell2007
23,a,mismatch,0.02629336155951023,imagebind,connell2007
24,b,match,0.5850294232368469,imagebind,connell2007
25,b,match,0.016816304996609688,imagebind,connell2007
26,b,match,0.2231934815645218,imagebind,connell2007
27,b,match,0.9999769926071167,imagebind,connell2007
28,b,match,0.9446316957473755,imagebind,connell2007
29,b,match,0.9089497327804565,imagebind,connell2007
30,b,match,0.4292120933532715,imagebind,connell2007
31,b,match,0.8573612570762634,imagebind,connell2007
32,b,match,0.3533309996128082,imagebind,connell2007
33,b,match,0.253851979970932,imagebind,connell2007
34,b,match,0.915570080280304,imagebind,connell2007
35,b,match,0.4786292314529419,imagebind,connell2007
36,b,mismatch,0.41497063636779785,imagebind,connell2007
37,b,mismatch,0.983183741569519,imagebind,connell2007
38,b,mismatch,0.7768065333366394,imagebind,connell2007
39,b,mismatch,2.2953910956857726e-05,imagebind,connell2007
40,b,mismatch,0.05536828562617302,imagebind,connell2007
41,b,mismatch,0.09105022996664047,imagebind,connell2007
42,b,mismatch,0.5707879662513733,imagebind,connell2007
43,b,mismatch,0.1426386535167694,imagebind,connell2007
44,b,mismatch,0.6466689705848694,imagebind,connell2007
45,b,mismatch,0.7461480498313904,imagebind,connell2007
46,b,mismatch,0.08442992717027664,imagebind,connell2007
47,b,mismatch,0.5213707089424133,imagebind,connell2007
