,sentence,match,probability,model,dataset
0,a,match,0.013119319453835487,ViT-B-32,muraki2021
1,a,match,0.8131271004676819,ViT-B-32,muraki2021
2,a,match,0.0890103429555893,ViT-B-32,muraki2021
3,a,match,0.07047208398580551,ViT-B-32,muraki2021
4,a,match,0.9880384206771851,ViT-B-32,muraki2021
5,a,match,0.38093841075897217,ViT-B-32,muraki2021
6,a,match,0.3691120743751526,ViT-B-32,muraki2021
7,a,match,0.38762059807777405,ViT-B-32,muraki2021
8,a,match,0.9042511582374573,ViT-B-32,muraki2021
9,a,match,0.4517214298248291,ViT-B-32,muraki2021
10,a,match,0.40200096368789673,ViT-B-32,muraki2021
11,a,match,0.0029614714439958334,ViT-B-32,muraki2021
12,a,match,0.42372116446495056,ViT-B-32,muraki2021
13,a,match,0.9987616539001465,ViT-B-32,muraki2021
14,a,match,0.773772120475769,ViT-B-32,muraki2021
15,a,match,0.32413384318351746,ViT-B-32,muraki2021
16,a,match,0.9679733514785767,ViT-B-32,muraki2021
17,a,match,0.5412260293960571,ViT-B-32,muraki2021
18,a,match,0.8503897786140442,ViT-B-32,muraki2021
19,a,match,0.9968438148498535,ViT-B-32,muraki2021
20,a,match,0.5748423337936401,ViT-B-32,muraki2021
21,a,match,0.2086326777935028,ViT-B-32,muraki2021
22,a,match,0.07044760137796402,ViT-B-32,muraki2021
23,a,match,0.2899509370326996,ViT-B-32,muraki2021
24,a,mismatch,0.9868806600570679,ViT-B-32,muraki2021
25,a,mismatch,0.18687285482883453,ViT-B-32,muraki2021
26,a,mismatch,0.9109897017478943,ViT-B-32,muraki2021
27,a,mismatch,0.9295278787612915,ViT-B-32,muraki2021
28,a,mismatch,0.011961663141846657,ViT-B-32,muraki2021
29,a,mismatch,0.6190615892410278,ViT-B-32,muraki2021
30,a,mismatch,0.6308879256248474,ViT-B-32,muraki2021
31,a,mismatch,0.6123793721199036,ViT-B-32,muraki2021
32,a,mismatch,0.09574885666370392,ViT-B-32,muraki2021
33,a,mismatch,0.5482786297798157,ViT-B-32,muraki2021
34,a,mismatch,0.597999095916748,ViT-B-32,muraki2021
35,a,mismatch,0.9970386028289795,ViT-B-32,muraki2021
36,a,mismatch,0.5762788653373718,ViT-B-32,muraki2021
37,a,mismatch,0.0012383649591356516,ViT-B-32,muraki2021
38,a,mismatch,0.22622790932655334,ViT-B-32,muraki2021
39,a,mismatch,0.6758661270141602,ViT-B-32,muraki2021
40,a,mismatch,0.03202671557664871,ViT-B-32,muraki2021
41,a,mismatch,0.4587739408016205,ViT-B-32,muraki2021
42,a,mismatch,0.149610236287117,ViT-B-32,muraki2021
43,a,mismatch,0.003156227758154273,ViT-B-32,muraki2021
44,a,mismatch,0.42515766620635986,ViT-B-32,muraki2021
45,a,mismatch,0.7913673520088196,ViT-B-32,muraki2021
46,a,mismatch,0.9295523762702942,ViT-B-32,muraki2021
47,a,mismatch,0.710049033164978,ViT-B-32,muraki2021
48,b,match,0.9838733077049255,ViT-B-32,muraki2021
49,b,match,0.32879793643951416,ViT-B-32,muraki2021
50,b,match,0.9764063954353333,ViT-B-32,muraki2021
51,b,match,0.75909423828125,ViT-B-32,muraki2021
52,b,match,0.016875723376870155,ViT-B-32,muraki2021
53,b,match,0.5525986552238464,ViT-B-32,muraki2021
54,b,match,0.6721547842025757,ViT-B-32,muraki2021
