,sentence,match,probability,model,dataset
0,a,match,0.00046812923392280936,ViT-H-14,muraki2021
1,a,match,0.9214920997619629,ViT-H-14,muraki2021
2,a,match,0.9999741315841675,ViT-H-14,muraki2021
3,a,match,1.1688867118664348e-07,ViT-H-14,muraki2021
4,a,match,1.0,ViT-H-14,muraki2021
5,a,match,0.7405204772949219,ViT-H-14,muraki2021
6,a,match,1.6843521734699607e-05,ViT-H-14,muraki2021
7,a,match,1.5197790617094142e-06,ViT-H-14,muraki2021
8,a,match,0.9500787258148193,ViT-H-14,muraki2021
9,a,match,0.05834751948714256,ViT-H-14,muraki2021
10,a,match,0.7930132746696472,ViT-H-14,muraki2021
11,a,match,0.9999103546142578,ViT-H-14,muraki2021
12,a,match,0.9941509366035461,ViT-H-14,muraki2021
13,a,match,0.9999997615814209,ViT-H-14,muraki2021
14,a,match,0.10626741498708725,ViT-H-14,muraki2021
15,a,match,0.9602717757225037,ViT-H-14,muraki2021
16,a,match,0.9999785423278809,ViT-H-14,muraki2021
17,a,match,0.005651053972542286,ViT-H-14,muraki2021
18,a,match,0.9999666213989258,ViT-H-14,muraki2021
19,a,match,1.0,ViT-H-14,muraki2021
20,a,match,1.5621331783677306e-08,ViT-H-14,muraki2021
21,a,match,0.9249566197395325,ViT-H-14,muraki2021
22,a,match,0.011537260375916958,ViT-H-14,muraki2021
23,a,match,0.7668827176094055,ViT-H-14,muraki2021
24,a,mismatch,0.9995318651199341,ViT-H-14,muraki2021
25,a,mismatch,0.07850787788629532,ViT-H-14,muraki2021
26,a,mismatch,2.5819519578362815e-05,ViT-H-14,muraki2021
27,a,mismatch,0.9999998807907104,ViT-H-14,muraki2021
28,a,mismatch,2.5705432227240976e-10,ViT-H-14,muraki2021
29,a,mismatch,0.2594795227050781,ViT-H-14,muraki2021
30,a,mismatch,0.9999831914901733,ViT-H-14,muraki2021
31,a,mismatch,0.9999984502792358,ViT-H-14,muraki2021
32,a,mismatch,0.04992124065756798,ViT-H-14,muraki2021
33,a,mismatch,0.9416525363922119,ViT-H-14,muraki2021
34,a,mismatch,0.2069867104291916,ViT-H-14,muraki2021
35,a,mismatch,8.968592737801373e-05,ViT-H-14,muraki2021
36,a,mismatch,0.005848989821970463,ViT-H-14,muraki2021
37,a,mismatch,2.3614049382558733e-07,ViT-H-14,muraki2021
38,a,mismatch,0.8937326073646545,ViT-H-14,muraki2021
39,a,mismatch,0.03972824290394783,ViT-H-14,muraki2021
40,a,mismatch,2.1494251996045932e-05,ViT-H-14,muraki2021
41,a,mismatch,0.99434894323349,ViT-H-14,muraki2021
42,a,mismatch,3.3355889172526076e-05,ViT-H-14,muraki2021
43,a,mismatch,9.025532040897411e-16,ViT-H-14,muraki2021
44,a,mismatch,1.0,ViT-H-14,muraki2021
45,a,mismatch,0.07504336535930634,ViT-H-14,muraki2021
46,a,mismatch,0.9884627461433411,ViT-H-14,muraki2021
47,a,mismatch,0.23311729729175568,ViT-H-14,muraki2021
48,b,match,0.999932050704956,ViT-H-14,muraki2021
49,b,match,0.6682953238487244,ViT-H-14,muraki2021
50,b,match,0.0010742637095972896,ViT-H-14,muraki2021
51,b,match,0.9999589920043945,ViT-H-14,muraki2021
52,b,match,3.262142556081926e-08,ViT-H-14,muraki2021
53,b,match,0.34315767884254456,ViT-H-14,muraki2021
54,b,match,0.9999995231628418,ViT-H-14,muraki2021
55,b,match,0.9440228939056396,ViT-H-14,muraki2021
56,b,match,0.590934157371521,ViT-H-14,muraki2021
57,b,match,0.16440428793430328,ViT-H-14,muraki2021
58,b,match,0.9994105100631714,ViT-H-14,muraki2021
59,b,match,0.00017978562391363084,ViT-H-14,muraki2021
60,b,match,0.012286975979804993,ViT-H-14,muraki2021
61,b,match,0.77695631980896,ViT-H-14,muraki2021
62,b,match,0.9586966037750244,ViT-H-14,muraki2021
63,b,match,0.1237175464630127,ViT-H-14,muraki2021
64,b,match,0.006493656896054745,ViT-H-14,muraki2021
65,b,match,0.9976861476898193,ViT-H-14,muraki2021
66,b,match,0.12152601778507233,ViT-H-14,muraki2021
67,b,match,1.6710023587052092e-08,ViT-H-14,muraki2021
68,b,match,0.9999998807907104,ViT-H-14,muraki2021
69,b,match,0.03321104869246483,ViT-H-14,muraki2021
70,b,match,0.9870168566703796,ViT-H-14,muraki2021
71,b,match,0.21660128235816956,ViT-H-14,muraki2021
72,b,mismatch,6.798152026021853e-05,ViT-H-14,muraki2021
73,b,mismatch,0.33170464634895325,ViT-H-14,muraki2021
74,b,mismatch,0.9989257454872131,ViT-H-14,muraki2021
75,b,mismatch,4.103345418116078e-05,ViT-H-14,muraki2021
76,b,mismatch,1.0,ViT-H-14,muraki2021
77,b,mismatch,0.6568422913551331,ViT-H-14,muraki2021
78,b,mismatch,4.793461698682222e-07,ViT-H-14,muraki2021
79,b,mismatch,0.05597715452313423,ViT-H-14,muraki2021
80,b,mismatch,0.4090659022331238,ViT-H-14,muraki2021
81,b,mismatch,0.8355957269668579,ViT-H-14,muraki2021
82,b,mismatch,0.0005894910427741706,ViT-H-14,muraki2021
83,b,mismatch,0.9998202919960022,ViT-H-14,muraki2021
84,b,mismatch,0.9877129793167114,ViT-H-14,muraki2021
85,b,mismatch,0.22304370999336243,ViT-H-14,muraki2021
86,b,mismatch,0.041303377598524094,ViT-H-14,muraki2021
87,b,mismatch,0.8762824535369873,ViT-H-14,muraki2021
88,b,mismatch,0.9935063123703003,ViT-H-14,muraki2021
89,b,mismatch,0.0023138003889471292,ViT-H-14,muraki2021
90,b,mismatch,0.8784739971160889,ViT-H-14,muraki2021
91,b,mismatch,1.0,ViT-H-14,muraki2021
92,b,mismatch,7.885825681341885e-08,ViT-H-14,muraki2021
93,b,mismatch,0.9667889475822449,ViT-H-14,muraki2021
94,b,mismatch,0.012983138673007488,ViT-H-14,muraki2021
95,b,mismatch,0.7833986878395081,ViT-H-14,muraki2021
