,sentence,match,probability,model,dataset
0,a,match,1.6521576329253662e-09,ViT-g-14,muraki2021
1,a,match,1.0,ViT-g-14,muraki2021
2,a,match,0.09618455171585083,ViT-g-14,muraki2021
3,a,match,0.7911499738693237,ViT-g-14,muraki2021
4,a,match,1.0,ViT-g-14,muraki2021
5,a,match,2.7418730263670255e-13,ViT-g-14,muraki2021
6,a,match,0.009409246034920216,ViT-g-14,muraki2021
7,a,match,1.787416113074869e-05,ViT-g-14,muraki2021
8,a,match,0.07900328934192657,ViT-g-14,muraki2021
9,a,match,1.0,ViT-g-14,muraki2021
10,a,match,7.535623325338747e-08,ViT-g-14,muraki2021
11,a,match,0.16170047223567963,ViT-g-14,muraki2021
12,a,match,0.09845655411481857,ViT-g-14,muraki2021
13,a,match,0.9993723034858704,ViT-g-14,muraki2021
14,a,match,3.299346280982718e-05,ViT-g-14,muraki2021
15,a,match,0.5374397039413452,ViT-g-14,muraki2021
16,a,match,1.0,ViT-g-14,muraki2021
17,a,match,4.054775217809947e-06,ViT-g-14,muraki2021
18,a,match,0.7345607876777649,ViT-g-14,muraki2021
19,a,match,1.0,ViT-g-14,muraki2021
20,a,match,1.4624609047660392e-35,ViT-g-14,muraki2021
21,a,match,1.5791616192473157e-07,ViT-g-14,muraki2021
22,a,match,5.535525360755855e-06,ViT-g-14,muraki2021
23,a,match,0.9999971389770508,ViT-g-14,muraki2021
24,a,mismatch,1.0,ViT-g-14,muraki2021
25,a,mismatch,2.7974747518477727e-11,ViT-g-14,muraki2021
26,a,mismatch,0.903815507888794,ViT-g-14,muraki2021
27,a,mismatch,0.20885005593299866,ViT-g-14,muraki2021
28,a,mismatch,4.16597398938956e-12,ViT-g-14,muraki2021
29,a,mismatch,1.0,ViT-g-14,muraki2021
30,a,mismatch,0.9905907511711121,ViT-g-14,muraki2021
31,a,mismatch,0.9999821186065674,ViT-g-14,muraki2021
32,a,mismatch,0.9209966659545898,ViT-g-14,muraki2021
33,a,mismatch,1.377213447451009e-12,ViT-g-14,muraki2021
34,a,mismatch,0.9999998807907104,ViT-g-14,muraki2021
35,a,mismatch,0.838299572467804,ViT-g-14,muraki2021
36,a,mismatch,0.901543378829956,ViT-g-14,muraki2021
37,a,mismatch,0.0006277397624216974,ViT-g-14,muraki2021
38,a,mismatch,0.9999669790267944,ViT-g-14,muraki2021
39,a,mismatch,0.4625602960586548,ViT-g-14,muraki2021
40,a,mismatch,4.250020474438898e-12,ViT-g-14,muraki2021
41,a,mismatch,0.9999959468841553,ViT-g-14,muraki2021
42,a,mismatch,0.26543915271759033,ViT-g-14,muraki2021
43,a,mismatch,3.8875193363792466e-18,ViT-g-14,muraki2021
44,a,mismatch,1.0,ViT-g-14,muraki2021
45,a,mismatch,0.9999998807907104,ViT-g-14,muraki2021
46,a,mismatch,0.9999945163726807,ViT-g-14,muraki2021
47,a,mismatch,2.8932697659911355e-06,ViT-g-14,muraki2021
48,b,match,0.9999998807907104,ViT-g-14,muraki2021
49,b,match,4.7971905587473884e-05,ViT-g-14,muraki2021
50,b,match,0.9945653676986694,ViT-g-14,muraki2021
51,b,match,0.0015639717457816005,ViT-g-14,muraki2021
52,b,match,3.2474462572165685e-13,ViT-g-14,muraki2021
53,b,match,1.0,ViT-g-14,muraki2021
54,b,match,0.9999953508377075,ViT-g-14,muraki2021
55,b,match,0.4428623616695404,ViT-g-14,muraki2021
56,b,match,0.9999890327453613,ViT-g-14,muraki2021
57,b,match,4.654549277302827e-16,ViT-g-14,muraki2021
58,b,match,1.0,ViT-g-14,muraki2021
59,b,match,0.9879878759384155,ViT-g-14,muraki2021
60,b,match,0.054966039955616,ViT-g-14,muraki2021
61,b,match,0.9999998807907104,ViT-g-14,muraki2021
62,b,match,0.9999758005142212,ViT-g-14,muraki2021
63,b,match,0.980158805847168,ViT-g-14,muraki2021
64,b,match,9.61712398606096e-09,ViT-g-14,muraki2021
