,sentence,match,probability,model,dataset
0,a,match,0.495595782995224,clip,muraki2021
1,a,match,0.5019782185554504,clip,muraki2021
2,a,match,0.5082867741584778,clip,muraki2021
3,a,match,0.4912879765033722,clip,muraki2021
4,a,match,0.5153754949569702,clip,muraki2021
5,a,match,0.5001463890075684,clip,muraki2021
6,a,match,0.49149253964424133,clip,muraki2021
7,a,match,0.4894408881664276,clip,muraki2021
8,a,match,0.5032114386558533,clip,muraki2021
9,a,match,0.4945324957370758,clip,muraki2021
10,a,match,0.503681480884552,clip,muraki2021
11,a,match,0.5081743597984314,clip,muraki2021
12,a,match,0.5035117268562317,clip,muraki2021
13,a,match,0.5101620554924011,clip,muraki2021
14,a,match,0.4931231141090393,clip,muraki2021
15,a,match,0.5017840266227722,clip,muraki2021
16,a,match,0.5066375732421875,clip,muraki2021
17,a,match,0.49690452218055725,clip,muraki2021
18,a,match,0.508825957775116,clip,muraki2021
19,a,match,0.5246818661689758,clip,muraki2021
20,a,match,0.48616325855255127,clip,muraki2021
21,a,match,0.5023102760314941,clip,muraki2021
22,a,match,0.4976215362548828,clip,muraki2021
23,a,match,0.5002912878990173,clip,muraki2021
24,a,mismatch,0.5044041872024536,clip,muraki2021
25,a,mismatch,0.4980217516422272,clip,muraki2021
26,a,mismatch,0.49171319603919983,clip,muraki2021
27,a,mismatch,0.5087119936943054,clip,muraki2021
28,a,mismatch,0.4846245050430298,clip,muraki2021
29,a,mismatch,0.49985358119010925,clip,muraki2021
30,a,mismatch,0.508507490158081,clip,muraki2021
31,a,mismatch,0.51055908203125,clip,muraki2021
32,a,mismatch,0.4967885911464691,clip,muraki2021
33,a,mismatch,0.5054675340652466,clip,muraki2021
34,a,mismatch,0.496318519115448,clip,muraki2021
35,a,mismatch,0.4918256402015686,clip,muraki2021
36,a,mismatch,0.4964882731437683,clip,muraki2021
37,a,mismatch,0.48983797430992126,clip,muraki2021
38,a,mismatch,0.5068768262863159,clip,muraki2021
39,a,mismatch,0.4982159733772278,clip,muraki2021
40,a,mismatch,0.4933624565601349,clip,muraki2021
41,a,mismatch,0.5030955672264099,clip,muraki2021
42,a,mismatch,0.49117404222488403,clip,muraki2021
43,a,mismatch,0.47531819343566895,clip,muraki2021
44,a,mismatch,0.5138367414474487,clip,muraki2021
45,a,mismatch,0.49768975377082825,clip,muraki2021
46,a,mismatch,0.5023784041404724,clip,muraki2021
47,a,mismatch,0.49970871210098267,clip,muraki2021
48,b,match,0.5057515501976013,clip,muraki2021
49,b,match,0.5004628896713257,clip,muraki2021
50,b,match,0.49476301670074463,clip,muraki2021
51,b,match,0.5039661526679993,clip,muraki2021
52,b,match,0.48896118998527527,clip,muraki2021
53,b,match,0.5002865791320801,clip,muraki2021
54,b,match,0.5111659169197083,clip,muraki2021
55,b,match,0.5020516514778137,clip,muraki2021
56,b,match,0.49921929836273193,clip,muraki2021
57,b,match,0.5017800331115723,clip,muraki2021
58,b,match,0.5023864507675171,clip,muraki2021
59,b,match,0.49238577485084534,clip,muraki2021
60,b,match,0.4969905912876129,clip,muraki2021
61,b,match,0.5022516846656799,clip,muraki2021
62,b,match,0.50776606798172,clip,muraki2021
63,b,match,0.499079167842865,clip,muraki2021
64,b,match,0.4971860647201538,clip,muraki2021
65,b,match,0.5039761662483215,clip,muraki2021
66,b,match,0.49820777773857117,clip,muraki2021
67,b,match,0.48922544717788696,clip,muraki2021
68,b,match,0.5128782391548157,clip,muraki2021
69,b,match,0.49712496995925903,clip,muraki2021
70,b,match,0.5023638010025024,clip,muraki2021
71,b,match,0.49994853138923645,clip,muraki2021
72,b,mismatch,0.49424847960472107,clip,muraki2021
73,b,mismatch,0.4995371401309967,clip,muraki2021
74,b,mismatch,0.5052370429039001,clip,muraki2021
75,b,mismatch,0.4960339069366455,clip,muraki2021
76,b,mismatch,0.5110388994216919,clip,muraki2021
77,b,mismatch,0.4997134506702423,clip,muraki2021
78,b,mismatch,0.48883408308029175,clip,muraki2021
79,b,mismatch,0.4979483187198639,clip,muraki2021
80,b,mismatch,0.5007806420326233,clip,muraki2021
81,b,mismatch,0.49821990728378296,clip,muraki2021
82,b,mismatch,0.49761348962783813,clip,muraki2021
83,b,mismatch,0.507614254951477,clip,muraki2021
84,b,mismatch,0.5030094385147095,clip,muraki2021
85,b,mismatch,0.4977482855319977,clip,muraki2021
86,b,mismatch,0.49223393201828003,clip,muraki2021
87,b,mismatch,0.500920832157135,clip,muraki2021
88,b,mismatch,0.5028139352798462,clip,muraki2021
89,b,mismatch,0.4960237741470337,clip,muraki2021
90,b,mismatch,0.5017921924591064,clip,muraki2021
91,b,mismatch,0.510774552822113,clip,muraki2021
92,b,mismatch,0.4871217608451843,clip,muraki2021
93,b,mismatch,0.502875030040741,clip,muraki2021
94,b,mismatch,0.49763619899749756,clip,muraki2021
95,b,mismatch,0.5000514388084412,clip,muraki2021
