,sentence,match,probability,model,dataset
0,a,match,1.0,clip,pecher2006
1,a,match,0.9956106543540955,clip,pecher2006
2,a,match,1.0,clip,pecher2006
3,a,match,1.0,clip,pecher2006
4,a,match,0.9986035227775574,clip,pecher2006
5,a,match,1.0,clip,pecher2006
6,a,match,2.352941060442199e-17,clip,pecher2006
7,a,match,8.595237659392296e-07,clip,pecher2006
8,a,match,0.8517833948135376,clip,pecher2006
9,a,match,0.00563297001644969,clip,pecher2006
10,a,match,1.0,clip,pecher2006
11,a,match,1.0,clip,pecher2006
12,a,match,1.4771491407827853e-07,clip,pecher2006
13,a,match,0.9999797344207764,clip,pecher2006
14,a,match,1.0,clip,pecher2006
15,a,match,1.3160551134205889e-05,clip,pecher2006
16,a,match,0.2931767702102661,clip,pecher2006
17,a,match,1.0,clip,pecher2006
18,a,match,0.6767408847808838,clip,pecher2006
19,a,match,1.0,clip,pecher2006
20,a,match,1.0,clip,pecher2006
21,a,match,0.9098005890846252,clip,pecher2006
22,a,match,0.9841256141662598,clip,pecher2006
23,a,match,1.0,clip,pecher2006
24,a,match,2.627523087994632e-07,clip,pecher2006
25,a,match,2.3013380996417254e-06,clip,pecher2006
26,a,match,1.8867862827676163e-10,clip,pecher2006
27,a,match,2.1936474415736838e-20,clip,pecher2006
28,a,match,0.9985176920890808,clip,pecher2006
29,a,match,1.0,clip,pecher2006
30,a,match,0.9999997615814209,clip,pecher2006
31,a,match,1.0,clip,pecher2006
32,a,match,2.882979826761427e-19,clip,pecher2006
33,a,match,0.2941840589046478,clip,pecher2006
34,a,match,9.518218746507046e-08,clip,pecher2006
35,a,match,1.0,clip,pecher2006
36,a,match,1.0,clip,pecher2006
37,a,match,0.0016005253419280052,clip,pecher2006
38,a,match,3.9983197658404184e-18,clip,pecher2006
39,a,match,0.05347124859690666,clip,pecher2006
40,a,match,0.9999998807907104,clip,pecher2006
41,a,match,1.0,clip,pecher2006
42,a,match,0.9999998807907104,clip,pecher2006
