,sentence,match,probability,model,dataset
0,a,match,0.9852100014686584,imagebind,pecher2006
1,a,match,0.8615968823432922,imagebind,pecher2006
2,a,match,0.9974529147148132,imagebind,pecher2006
3,a,match,0.9985622763633728,imagebind,pecher2006
4,a,match,0.856400191783905,imagebind,pecher2006
5,a,match,0.999963641166687,imagebind,pecher2006
6,a,match,3.6679710319731385e-05,imagebind,pecher2006
7,a,match,0.013400046154856682,imagebind,pecher2006
8,a,match,0.660201907157898,imagebind,pecher2006
9,a,match,0.20007920265197754,imagebind,pecher2006
10,a,match,0.9999910593032837,imagebind,pecher2006
11,a,match,0.9999983310699463,imagebind,pecher2006
12,a,match,0.017997903749346733,imagebind,pecher2006
13,a,match,0.9327406883239746,imagebind,pecher2006
14,a,match,0.9990031123161316,imagebind,pecher2006
15,a,match,0.033230528235435486,imagebind,pecher2006
16,a,match,0.30638355016708374,imagebind,pecher2006
17,a,match,0.9998884201049805,imagebind,pecher2006
18,a,match,0.7892876267433167,imagebind,pecher2006
19,a,match,0.9989513158798218,imagebind,pecher2006
20,a,match,0.9999988079071045,imagebind,pecher2006
21,a,match,0.627440869808197,imagebind,pecher2006
22,a,match,0.29343414306640625,imagebind,pecher2006
23,a,match,0.99772709608078,imagebind,pecher2006
24,a,match,0.011679704301059246,imagebind,pecher2006
25,a,match,0.05706657096743584,imagebind,pecher2006
26,a,match,0.0008507731254212558,imagebind,pecher2006
27,a,match,3.1477949960390106e-05,imagebind,pecher2006
28,a,match,0.8950386047363281,imagebind,pecher2006
29,a,match,0.9999107122421265,imagebind,pecher2006
30,a,match,0.8966584205627441,imagebind,pecher2006
31,a,match,0.9999998807907104,imagebind,pecher2006
32,a,match,1.2400942978274543e-05,imagebind,pecher2006
33,a,match,0.8481963276863098,imagebind,pecher2006
34,a,match,0.019144156947731972,imagebind,pecher2006
35,a,match,0.9996739625930786,imagebind,pecher2006
36,a,match,0.9774125218391418,imagebind,pecher2006
37,a,match,0.6014413237571716,imagebind,pecher2006
38,a,match,3.0474606319330633e-05,imagebind,pecher2006
39,a,match,0.759026288986206,imagebind,pecher2006
40,a,match,0.9561535716056824,imagebind,pecher2006
41,a,match,0.9999988079071045,imagebind,pecher2006
42,a,match,0.7643921971321106,imagebind,pecher2006
43,a,match,1.0,imagebind,pecher2006
44,a,match,0.015498384833335876,imagebind,pecher2006
45,a,match,0.9909182786941528,imagebind,pecher2006
46,a,match,0.1541500687599182,imagebind,pecher2006
47,a,match,0.9984644651412964,imagebind,pecher2006
48,a,match,0.7657400965690613,imagebind,pecher2006
49,a,match,0.999915361404419,imagebind,pecher2006
50,a,match,0.9378411173820496,imagebind,pecher2006
51,a,match,0.9711208343505859,imagebind,pecher2006
52,a,match,0.9996601343154907,imagebind,pecher2006
53,a,match,0.02330264262855053,imagebind,pecher2006
54,a,match,1.0,imagebind,pecher2006
55,a,match,0.9767002463340759,imagebind,pecher2006
56,a,match,0.9611207246780396,imagebind,pecher2006
57,a,match,0.9809494614601135,imagebind,pecher2006
58,a,match,0.01766636222600937,imagebind,pecher2006
59,a,match,6.145208317320794e-05,imagebind,pecher2006
60,a,mismatch,0.014789992943406105,imagebind,pecher2006
61,a,mismatch,0.13840310275554657,imagebind,pecher2006
62,a,mismatch,0.002547032665461302,imagebind,pecher2006
63,a,mismatch,0.001437686150893569,imagebind,pecher2006
64,a,mismatch,0.14359980821609497,imagebind,pecher2006
65,a,mismatch,3.636537803686224e-05,imagebind,pecher2006
66,a,mismatch,0.9999632835388184,imagebind,pecher2006
67,a,mismatch,0.9865999817848206,imagebind,pecher2006
68,a,mismatch,0.33979809284210205,imagebind,pecher2006
69,a,mismatch,0.7999207973480225,imagebind,pecher2006
70,a,mismatch,8.901022738427855e-06,imagebind,pecher2006
71,a,mismatch,1.6960503899099422e-06,imagebind,pecher2006
72,a,mismatch,0.9820021390914917,imagebind,pecher2006
73,a,mismatch,0.0672593042254448,imagebind,pecher2006
74,a,mismatch,0.0009969363454729319,imagebind,pecher2006
75,a,mismatch,0.9667693972587585,imagebind,pecher2006
76,a,mismatch,0.6936164498329163,imagebind,pecher2006
77,a,mismatch,0.00011162264127051458,imagebind,pecher2006
78,a,mismatch,0.21071238815784454,imagebind,pecher2006
79,a,mismatch,0.0010486809769645333,imagebind,pecher2006
80,a,mismatch,1.1966966440013493e-06,imagebind,pecher2006
81,a,mismatch,0.37255915999412537,imagebind,pecher2006
82,a,mismatch,0.7065658569335938,imagebind,pecher2006
83,a,mismatch,0.0022729351185262203,imagebind,pecher2006
84,a,mismatch,0.9883203506469727,imagebind,pecher2006
85,a,mismatch,0.9429333806037903,imagebind,pecher2006
86,a,mismatch,0.9991492033004761,imagebind,pecher2006
87,a,mismatch,0.9999685287475586,imagebind,pecher2006
88,a,mismatch,0.10496138781309128,imagebind,pecher2006
89,a,mismatch,8.928707393351942e-05,imagebind,pecher2006
