,sentence,match,probability,model,dataset
0,a,match,0.005444286856800318,ViT-L-14,connell2007
1,a,match,0.9967883825302124,ViT-L-14,connell2007
2,a,match,0.9996668100357056,ViT-L-14,connell2007
3,a,match,0.9979161620140076,ViT-L-14,connell2007
4,a,match,0.6766199469566345,ViT-L-14,connell2007
5,a,match,0.9996733665466309,ViT-L-14,connell2007
6,a,match,0.007800905033946037,ViT-L-14,connell2007
7,a,match,0.7380036115646362,ViT-L-14,connell2007
8,a,match,0.9963950514793396,ViT-L-14,connell2007
9,a,match,0.48921942710876465,ViT-L-14,connell2007
10,a,match,0.2989005148410797,ViT-L-14,connell2007
11,a,match,0.9999462366104126,ViT-L-14,connell2007
12,a,mismatch,0.9945557117462158,ViT-L-14,connell2007
13,a,mismatch,0.0032116768416017294,ViT-L-14,connell2007
14,a,mismatch,0.0003332136548124254,ViT-L-14,connell2007
15,a,mismatch,0.0020837795455008745,ViT-L-14,connell2007
16,a,mismatch,0.32338011264801025,ViT-L-14,connell2007
17,a,mismatch,0.0003266400017309934,ViT-L-14,connell2007
18,a,mismatch,0.9921991229057312,ViT-L-14,connell2007
19,a,mismatch,0.26199644804000854,ViT-L-14,connell2007
20,a,mismatch,0.0036049853079020977,ViT-L-14,connell2007
21,a,mismatch,0.5107805728912354,ViT-L-14,connell2007
22,a,mismatch,0.7010995149612427,ViT-L-14,connell2007
23,a,mismatch,5.377939305617474e-05,ViT-L-14,connell2007
24,b,match,0.9978229999542236,ViT-L-14,connell2007
25,b,match,0.01512765884399414,ViT-L-14,connell2007
26,b,match,0.0005067284218966961,ViT-L-14,connell2007
27,b,match,1.0,ViT-L-14,connell2007
28,b,match,0.6384989619255066,ViT-L-14,connell2007
29,b,match,0.4590780436992645,ViT-L-14,connell2007
30,b,match,0.9956080317497253,ViT-L-14,connell2007
31,b,match,0.3201882839202881,ViT-L-14,connell2007
32,b,match,0.002739554038271308,ViT-L-14,connell2007
33,b,match,0.17127442359924316,ViT-L-14,connell2007
34,b,match,0.9971644282341003,ViT-L-14,connell2007
35,b,match,0.03141406923532486,ViT-L-14,connell2007
36,b,mismatch,0.0021769911982119083,ViT-L-14,connell2007
37,b,mismatch,0.9848723411560059,ViT-L-14,connell2007
38,b,mismatch,0.9994932413101196,ViT-L-14,connell2007
39,b,mismatch,2.088131473287902e-10,ViT-L-14,connell2007
40,b,mismatch,0.361501008272171,ViT-L-14,connell2007
41,b,mismatch,0.5409219861030579,ViT-L-14,connell2007
42,b,mismatch,0.00439200084656477,ViT-L-14,connell2007
43,b,mismatch,0.6798117756843567,ViT-L-14,connell2007
44,b,mismatch,0.9972604513168335,ViT-L-14,connell2007
45,b,mismatch,0.8287255764007568,ViT-L-14,connell2007
46,b,mismatch,0.002835499355569482,ViT-L-14,connell2007
47,b,mismatch,0.9685859084129333,ViT-L-14,connell2007
