,sentence,match,probability,model,dataset
0,a,match,0.6699321269989014,ViT-L-14-336,muraki2021
1,a,match,0.9987280964851379,ViT-L-14-336,muraki2021
2,a,match,0.9929437041282654,ViT-L-14-336,muraki2021
3,a,match,0.5075973272323608,ViT-L-14-336,muraki2021
4,a,match,1.0,ViT-L-14-336,muraki2021
5,a,match,1.2008381268524548e-11,ViT-L-14-336,muraki2021
6,a,match,0.16065041720867157,ViT-L-14-336,muraki2021
7,a,match,0.7611562609672546,ViT-L-14-336,muraki2021
8,a,match,0.0023630934301763773,ViT-L-14-336,muraki2021
9,a,match,0.949039876461029,ViT-L-14-336,muraki2021
10,a,match,0.006985231768339872,ViT-L-14-336,muraki2021
11,a,match,0.3518015444278717,ViT-L-14-336,muraki2021
12,a,match,0.013112284243106842,ViT-L-14-336,muraki2021
13,a,match,0.999541163444519,ViT-L-14-336,muraki2021
14,a,match,5.09079109178856e-06,ViT-L-14-336,muraki2021
15,a,match,0.8212794065475464,ViT-L-14-336,muraki2021
16,a,match,0.9278775453567505,ViT-L-14-336,muraki2021
17,a,match,0.9991451501846313,ViT-L-14-336,muraki2021
18,a,match,0.988149106502533,ViT-L-14-336,muraki2021
19,a,match,0.999907374382019,ViT-L-14-336,muraki2021
20,a,match,2.1694915631087497e-05,ViT-L-14-336,muraki2021
21,a,match,0.13443554937839508,ViT-L-14-336,muraki2021
22,a,match,0.9559907913208008,ViT-L-14-336,muraki2021
23,a,match,0.9923466444015503,ViT-L-14-336,muraki2021
24,a,mismatch,0.33006787300109863,ViT-L-14-336,muraki2021
25,a,mismatch,0.001271905959583819,ViT-L-14-336,muraki2021
26,a,mismatch,0.007056290749460459,ViT-L-14-336,muraki2021
27,a,mismatch,0.4924026429653168,ViT-L-14-336,muraki2021
28,a,mismatch,3.59061651522552e-08,ViT-L-14-336,muraki2021
29,a,mismatch,1.0,ViT-L-14-336,muraki2021
30,a,mismatch,0.8393495678901672,ViT-L-14-336,muraki2021
31,a,mismatch,0.23884376883506775,ViT-L-14-336,muraki2021
32,a,mismatch,0.9976369142532349,ViT-L-14-336,muraki2021
33,a,mismatch,0.05096009373664856,ViT-L-14-336,muraki2021
34,a,mismatch,0.9930146932601929,ViT-L-14-336,muraki2021
35,a,mismatch,0.6481984853744507,ViT-L-14-336,muraki2021
36,a,mismatch,0.9868877530097961,ViT-L-14-336,muraki2021
37,a,mismatch,0.00045887945452705026,ViT-L-14-336,muraki2021
38,a,mismatch,0.9999948740005493,ViT-L-14-336,muraki2021
39,a,mismatch,0.1787206083536148,ViT-L-14-336,muraki2021
40,a,mismatch,0.07212241739034653,ViT-L-14-336,muraki2021
41,a,mismatch,0.000854834564961493,ViT-L-14-336,muraki2021
42,a,mismatch,0.011850970797240734,ViT-L-14-336,muraki2021
43,a,mismatch,9.266257256967947e-05,ViT-L-14-336,muraki2021
44,a,mismatch,0.9999783039093018,ViT-L-14-336,muraki2021
45,a,mismatch,0.8655645251274109,ViT-L-14-336,muraki2021
46,a,mismatch,0.04400917887687683,ViT-L-14-336,muraki2021
47,a,mismatch,0.007653377950191498,ViT-L-14-336,muraki2021
48,b,match,0.32941025495529175,ViT-L-14-336,muraki2021
49,b,match,0.0004529740253929049,ViT-L-14-336,muraki2021
50,b,match,0.08638186752796173,ViT-L-14-336,muraki2021
51,b,match,0.7866964340209961,ViT-L-14-336,muraki2021
52,b,match,1.0113276882606215e-09,ViT-L-14-336,muraki2021
53,b,match,1.0,ViT-L-14-336,muraki2021
54,b,match,0.8301642537117004,ViT-L-14-336,muraki2021
55,b,match,0.2663125693798065,ViT-L-14-336,muraki2021
