,sentence,match,probability,model,dataset
0,a,match,0.13467250764369965,imagebind,muraki2021
1,a,match,0.6599575281143188,imagebind,muraki2021
2,a,match,0.9616332054138184,imagebind,muraki2021
3,a,match,0.027740832418203354,imagebind,muraki2021
4,a,match,0.9978603720664978,imagebind,muraki2021
5,a,match,0.464743047952652,imagebind,muraki2021
6,a,match,0.03217967599630356,imagebind,muraki2021
7,a,match,0.013713655062019825,imagebind,muraki2021
8,a,match,0.7747138738632202,imagebind,muraki2021
9,a,match,0.10908769071102142,imagebind,muraki2021
10,a,match,0.8144047856330872,imagebind,muraki2021
11,a,match,0.963736355304718,imagebind,muraki2021
12,a,match,0.8068063855171204,imagebind,muraki2021
13,a,match,0.985348641872406,imagebind,muraki2021
14,a,match,0.060877732932567596,imagebind,muraki2021
15,a,match,0.6751524806022644,imagebind,muraki2021
16,a,match,0.9325270056724548,imagebind,muraki2021
17,a,match,0.2242564707994461,imagebind,muraki2021
18,a,match,0.9711366891860962,imagebind,muraki2021
19,a,match,0.9999498128890991,imagebind,muraki2021
20,a,match,0.0038208086043596268,imagebind,muraki2021
21,a,match,0.7105950117111206,imagebind,muraki2021
22,a,match,0.28249454498291016,imagebind,muraki2021
23,a,match,0.5373119115829468,imagebind,muraki2021
24,a,mismatch,0.8653274178504944,imagebind,muraki2021
25,a,mismatch,0.34004247188568115,imagebind,muraki2021
26,a,mismatch,0.03836684674024582,imagebind,muraki2021
27,a,mismatch,0.9722591042518616,imagebind,muraki2021
28,a,mismatch,0.002139620017260313,imagebind,muraki2021
29,a,mismatch,0.5352568626403809,imagebind,muraki2021
30,a,mismatch,0.9678203463554382,imagebind,muraki2021
31,a,mismatch,0.9862863421440125,imagebind,muraki2021
32,a,mismatch,0.2252860814332962,imagebind,muraki2021
33,a,mismatch,0.8909122347831726,imagebind,muraki2021
34,a,mismatch,0.18559521436691284,imagebind,muraki2021
35,a,mismatch,0.03626369312405586,imagebind,muraki2021
36,a,mismatch,0.19319359958171844,imagebind,muraki2021
37,a,mismatch,0.014651313424110413,imagebind,muraki2021
38,a,mismatch,0.9391222596168518,imagebind,muraki2021
39,a,mismatch,0.3248475193977356,imagebind,muraki2021
40,a,mismatch,0.06747296452522278,imagebind,muraki2021
41,a,mismatch,0.7757435441017151,imagebind,muraki2021
42,a,mismatch,0.028863314539194107,imagebind,muraki2021
43,a,mismatch,5.013927511754446e-05,imagebind,muraki2021
44,a,mismatch,0.9961792230606079,imagebind,muraki2021
45,a,mismatch,0.28940504789352417,imagebind,muraki2021
46,a,mismatch,0.7175054550170898,imagebind,muraki2021
47,a,mismatch,0.46268805861473083,imagebind,muraki2021
48,b,match,0.914315402507782,imagebind,muraki2021
49,b,match,0.5768436789512634,imagebind,muraki2021
50,b,match,0.12113500386476517,imagebind,muraki2021
51,b,match,0.8285161852836609,imagebind,muraki2021
52,b,match,0.01180998794734478,imagebind,muraki2021
53,b,match,0.5788936614990234,imagebind,muraki2021
54,b,match,0.988702654838562,imagebind,muraki2021
55,b,match,0.7053643465042114,imagebind,muraki2021
56,b,match,0.4350612163543701,imagebind,muraki2021
57,b,match,0.6583917737007141,imagebind,muraki2021
58,b,match,0.7260812520980835,imagebind,muraki2021
59,b,match,0.04935206472873688,imagebind,muraki2021
60,b,match,0.22702234983444214,imagebind,muraki2021
61,b,match,0.6842058897018433,imagebind,muraki2021
62,b,match,0.9484556913375854,imagebind,muraki2021
63,b,match,0.3981863260269165,imagebind,muraki2021
64,b,match,0.2515377998352051,imagebind,muraki2021
65,b,match,0.8250612616539001,imagebind,muraki2021
66,b,match,0.34611794352531433,imagebind,muraki2021
67,b,match,0.010270739905536175,imagebind,muraki2021
68,b,match,0.9940872192382812,imagebind,muraki2021
69,b,match,0.23838981986045837,imagebind,muraki2021
70,b,match,0.7193736433982849,imagebind,muraki2021
71,b,match,0.48557206988334656,imagebind,muraki2021
72,b,mismatch,0.08568461984395981,imagebind,muraki2021
73,b,mismatch,0.4231562912464142,imagebind,muraki2021
74,b,mismatch,0.8788650035858154,imagebind,muraki2021
75,b,mismatch,0.17148378491401672,imagebind,muraki2021
76,b,mismatch,0.9881900548934937,imagebind,muraki2021
77,b,mismatch,0.4211063086986542,imagebind,muraki2021
78,b,mismatch,0.011297316290438175,imagebind,muraki2021
79,b,mismatch,0.29463568329811096,imagebind,muraki2021
80,b,mismatch,0.5649387240409851,imagebind,muraki2021
81,b,mismatch,0.3416082262992859,imagebind,muraki2021
82,b,mismatch,0.27391868829727173,imagebind,muraki2021
83,b,mismatch,0.9506479501724243,imagebind,muraki2021
84,b,mismatch,0.7729775905609131,imagebind,muraki2021
85,b,mismatch,0.31579405069351196,imagebind,muraki2021
86,b,mismatch,0.05154429376125336,imagebind,muraki2021
87,b,mismatch,0.6018136143684387,imagebind,muraki2021
88,b,mismatch,0.7484622001647949,imagebind,muraki2021
89,b,mismatch,0.17493878304958344,imagebind,muraki2021
90,b,mismatch,0.6538820862770081,imagebind,muraki2021
91,b,mismatch,0.9897292852401733,imagebind,muraki2021
92,b,mismatch,0.005912750028073788,imagebind,muraki2021
93,b,mismatch,0.761610209941864,imagebind,muraki2021
94,b,mismatch,0.2806263864040375,imagebind,muraki2021
95,b,mismatch,0.5144279599189758,imagebind,muraki2021
