,text,match,probability,item_id,model,dataset
0,aa,match,0.9998849630355835,1,ViT-B-32,natural
1,aa,match,0.9942143559455872,2,ViT-B-32,natural
2,aa,match,0.9306578040122986,3,ViT-B-32,natural
3,aa,match,0.9999992847442627,4,ViT-B-32,natural
4,aa,match,0.999826967716217,5,ViT-B-32,natural
5,aa,match,0.8376970887184143,6,ViT-B-32,natural
6,aa,match,0.9652140736579895,7,ViT-B-32,natural
7,aa,match,0.9999253749847412,8,ViT-B-32,natural
8,aa,match,0.9999710321426392,9,ViT-B-32,natural
9,aa,match,0.9984986782073975,10,ViT-B-32,natural
10,aa,match,0.9995312690734863,11,ViT-B-32,natural
11,aa,match,0.8647305965423584,12,ViT-B-32,natural
12,aa,match,0.9521300196647644,13,ViT-B-32,natural
13,aa,match,0.9999486207962036,14,ViT-B-32,natural
14,aa,match,0.9495756030082703,15,ViT-B-32,natural
15,aa,match,0.9989331364631653,16,ViT-B-32,natural
16,aa,match,0.21573993563652039,17,ViT-B-32,natural
17,aa,match,0.9978235960006714,18,ViT-B-32,natural
18,ab,mismatch,3.431647928664461e-05,1,ViT-B-32,natural
19,ab,mismatch,0.005701353773474693,2,ViT-B-32,natural
20,ab,mismatch,0.01485124696046114,3,ViT-B-32,natural
21,ab,mismatch,5.062814167899887e-08,4,ViT-B-32,natural
22,ab,mismatch,2.638952537381556e-06,5,ViT-B-32,natural
23,ab,mismatch,0.0003462211461737752,6,ViT-B-32,natural
24,ab,mismatch,0.030751265585422516,7,ViT-B-32,natural
25,ab,mismatch,6.975159294597688e-07,8,ViT-B-32,natural
26,ab,mismatch,2.7755904739024118e-05,9,ViT-B-32,natural
27,ab,mismatch,0.0015002517029643059,10,ViT-B-32,natural
28,ab,mismatch,0.00046869003563188016,11,ViT-B-32,natural
29,ab,mismatch,0.0029600842390209436,12,ViT-B-32,natural
30,ab,mismatch,0.012765901163220406,13,ViT-B-32,natural
31,ab,mismatch,5.041674376116134e-05,14,ViT-B-32,natural
32,ab,mismatch,0.050358500331640244,15,ViT-B-32,natural
33,ab,mismatch,0.001064814394339919,16,ViT-B-32,natural
34,ab,mismatch,0.10894116759300232,17,ViT-B-32,natural
35,ab,mismatch,0.0007106983684934676,18,ViT-B-32,natural
36,ac,mismatch,8.066529699135572e-05,1,ViT-B-32,natural
37,ac,mismatch,8.429373701801524e-05,2,ViT-B-32,natural
38,ac,mismatch,0.05449088662862778,3,ViT-B-32,natural
39,ac,mismatch,6.566421575371351e-07,4,ViT-B-32,natural
40,ac,mismatch,0.0001704786845948547,5,ViT-B-32,natural
41,ac,mismatch,0.16195668280124664,6,ViT-B-32,natural
42,ac,mismatch,0.0040346113964915276,7,ViT-B-32,natural
43,ac,mismatch,7.396113505819812e-05,8,ViT-B-32,natural
44,ac,mismatch,1.146070985669212e-06,9,ViT-B-32,natural
45,ac,mismatch,1.051877347890695e-06,10,ViT-B-32,natural
46,ac,mismatch,5.564398009028082e-08,11,ViT-B-32,natural
47,ac,mismatch,0.13230931758880615,12,ViT-B-32,natural
48,ac,mismatch,0.035104069858789444,13,ViT-B-32,natural
49,ac,mismatch,9.215322052114061e-07,14,ViT-B-32,natural
50,ac,mismatch,6.583843060070649e-05,15,ViT-B-32,natural
51,ac,mismatch,2.0586476239259355e-06,16,ViT-B-32,natural
52,ac,mismatch,0.6753188967704773,17,ViT-B-32,natural
53,ac,mismatch,0.0014657372375950217,18,ViT-B-32,natural
54,bb,match,0.9999401569366455,1,ViT-B-32,natural
55,bb,match,0.9999186992645264,2,ViT-B-32,natural
56,bb,match,0.9999533891677856,3,ViT-B-32,natural
57,bb,match,0.9993901252746582,4,ViT-B-32,natural
58,bb,match,0.9996919631958008,5,ViT-B-32,natural
59,bb,match,0.9994226694107056,6,ViT-B-32,natural
60,bb,match,0.9999977350234985,7,ViT-B-32,natural
61,bb,match,0.9999853372573853,8,ViT-B-32,natural
62,bb,match,0.9999947547912598,9,ViT-B-32,natural
63,bb,match,0.9950199127197266,10,ViT-B-32,natural
64,bb,match,0.994421660900116,11,ViT-B-32,natural
65,bb,match,0.9993410706520081,12,ViT-B-32,natural
66,bb,match,0.9999769926071167,13,ViT-B-32,natural
