,text,match,probability,model,dataset
0,aa,match,1.0,ViT-H-14,natural
1,aa,match,1.0,ViT-H-14,natural
2,aa,match,1.0,ViT-H-14,natural
3,aa,match,1.0,ViT-H-14,natural
4,aa,match,1.0,ViT-H-14,natural
5,aa,match,1.0,ViT-H-14,natural
6,aa,match,1.0,ViT-H-14,natural
7,aa,match,1.0,ViT-H-14,natural
8,aa,match,1.0,ViT-H-14,natural
9,aa,match,1.0,ViT-H-14,natural
10,aa,match,1.0,ViT-H-14,natural
11,aa,match,1.0,ViT-H-14,natural
12,aa,match,1.0,ViT-H-14,natural
13,aa,match,1.0,ViT-H-14,natural
14,aa,match,1.0,ViT-H-14,natural
15,aa,match,1.0,ViT-H-14,natural
16,aa,match,0.9522585868835449,ViT-H-14,natural
17,aa,match,1.0,ViT-H-14,natural
18,ab,mismatch,1.860220384148121e-34,ViT-H-14,natural
19,ab,mismatch,1.6707843998599282e-17,ViT-H-14,natural
20,ab,mismatch,2.6720108365745013e-20,ViT-H-14,natural
21,ab,mismatch,0.0,ViT-H-14,natural
22,ab,mismatch,0.0,ViT-H-14,natural
23,ab,mismatch,9.641213694247606e-40,ViT-H-14,natural
24,ab,mismatch,1.399812471733553e-22,ViT-H-14,natural
25,ab,mismatch,1.4793113120799957e-34,ViT-H-14,natural
26,ab,mismatch,5.605193857299268e-45,ViT-H-14,natural
27,ab,mismatch,8.323712878089413e-43,ViT-H-14,natural
28,ab,mismatch,1.0483132872486662e-18,ViT-H-14,natural
29,ab,mismatch,5.423595477337202e-35,ViT-H-14,natural
30,ab,mismatch,1.1722209725421695e-17,ViT-H-14,natural
31,ab,mismatch,6.87165726851572e-32,ViT-H-14,natural
32,ab,mismatch,1.899791205846794e-20,ViT-H-14,natural
33,ab,mismatch,1.2682001804839279e-22,ViT-H-14,natural
34,ab,mismatch,1.362166858598357e-05,ViT-H-14,natural
35,ab,mismatch,1.4721344828496189e-33,ViT-H-14,natural
36,ac,mismatch,7.713296391166145e-23,ViT-H-14,natural
37,ac,mismatch,2.545102751356827e-20,ViT-H-14,natural
38,ac,mismatch,1.8741396235857627e-25,ViT-H-14,natural
39,ac,mismatch,2.486738649596963e-39,ViT-H-14,natural
40,ac,mismatch,0.0,ViT-H-14,natural
41,ac,mismatch,9.87012614961723e-30,ViT-H-14,natural
42,ac,mismatch,4.0349927330757356e-22,ViT-H-14,natural
43,ac,mismatch,3.613976272492916e-31,ViT-H-14,natural
44,ac,mismatch,9.635608500390307e-41,ViT-H-14,natural
45,ac,mismatch,0.0,ViT-H-14,natural
46,ac,mismatch,6.370654082418775e-33,ViT-H-14,natural
