,text,match,probability,model,dataset
0,a,match,1.0,ViT-L-14-336,natural
1,a,match,1.0,ViT-L-14-336,natural
2,a,match,1.0,ViT-L-14-336,natural
3,a,match,1.0,ViT-L-14-336,natural
4,a,match,1.0,ViT-L-14-336,natural
5,a,match,1.0,ViT-L-14-336,natural
6,a,match,1.0,ViT-L-14-336,natural
7,a,match,1.0,ViT-L-14-336,natural
8,a,match,1.0,ViT-L-14-336,natural
9,a,match,1.0,ViT-L-14-336,natural
10,a,match,1.0,ViT-L-14-336,natural
11,a,match,1.0,ViT-L-14-336,natural
12,a,match,1.0,ViT-L-14-336,natural
13,a,match,1.0,ViT-L-14-336,natural
14,a,match,1.0,ViT-L-14-336,natural
15,a,match,1.0,ViT-L-14-336,natural
16,a,match,1.0,ViT-L-14-336,natural
17,a,match,1.0,ViT-L-14-336,natural
18,a,match,1.0,ViT-L-14-336,natural
19,a,match,1.0,ViT-L-14-336,natural
20,a,match,0.9997603297233582,ViT-L-14-336,natural
21,a,match,1.0,ViT-L-14-336,natural
22,a,match,1.0,ViT-L-14-336,natural
23,a,match,1.0,ViT-L-14-336,natural
24,a,match,1.0,ViT-L-14-336,natural
25,a,match,1.0,ViT-L-14-336,natural
26,a,match,1.0,ViT-L-14-336,natural
27,a,match,1.0,ViT-L-14-336,natural
28,a,match,1.0,ViT-L-14-336,natural
29,a,match,1.0,ViT-L-14-336,natural
30,a,match,1.0,ViT-L-14-336,natural
31,a,match,1.0,ViT-L-14-336,natural
32,a,match,1.0,ViT-L-14-336,natural
33,a,match,1.0,ViT-L-14-336,natural
34,a,match,1.0,ViT-L-14-336,natural
35,a,match,1.0,ViT-L-14-336,natural
36,a,match,1.0,ViT-L-14-336,natural
37,a,match,1.0,ViT-L-14-336,natural
38,a,match,1.0,ViT-L-14-336,natural
39,a,match,1.0,ViT-L-14-336,natural
40,a,match,1.0,ViT-L-14-336,natural
41,a,match,1.0,ViT-L-14-336,natural
42,a,match,1.0,ViT-L-14-336,natural
43,a,match,1.0,ViT-L-14-336,natural
44,a,match,1.0,ViT-L-14-336,natural
45,a,match,1.0,ViT-L-14-336,natural
46,a,match,1.0,ViT-L-14-336,natural
47,a,match,1.0,ViT-L-14-336,natural
48,a,match,1.0,ViT-L-14-336,natural
49,a,match,1.0,ViT-L-14-336,natural
50,a,match,1.0,ViT-L-14-336,natural
51,a,match,1.0,ViT-L-14-336,natural
52,a,match,1.0,ViT-L-14-336,natural
53,a,match,1.0,ViT-L-14-336,natural
54,a,mismatch,4.3200314853164556e-11,ViT-L-14-336,natural
55,a,mismatch,2.0597310091044873e-24,ViT-L-14-336,natural
56,a,mismatch,1.2972524654158873e-18,ViT-L-14-336,natural
57,a,mismatch,1.415887801005145e-20,ViT-L-14-336,natural
58,a,mismatch,1.0286958784799793e-11,ViT-L-14-336,natural
59,a,mismatch,1.1464741378475196e-09,ViT-L-14-336,natural
60,a,mismatch,3.136196380718048e-12,ViT-L-14-336,natural
61,a,mismatch,2.1913709657094514e-14,ViT-L-14-336,natural
62,a,mismatch,9.625584779436194e-20,ViT-L-14-336,natural
63,a,mismatch,3.0405384191085933e-21,ViT-L-14-336,natural
64,a,mismatch,5.909674426738124e-18,ViT-L-14-336,natural
65,a,mismatch,2.065912978882478e-12,ViT-L-14-336,natural
66,a,mismatch,9.54768072355343e-22,ViT-L-14-336,natural
67,a,mismatch,9.966268939677961e-14,ViT-L-14-336,natural
68,a,mismatch,9.137112400026126e-09,ViT-L-14-336,natural
69,a,mismatch,1.1779509320546631e-15,ViT-L-14-336,natural
70,a,mismatch,2.7065688455913967e-15,ViT-L-14-336,natural
71,a,mismatch,1.3120935331711606e-18,ViT-L-14-336,natural
72,a,mismatch,1.7533843300887586e-12,ViT-L-14-336,natural
73,a,mismatch,1.872705932985472e-22,ViT-L-14-336,natural
74,a,mismatch,0.00023966767184901983,ViT-L-14-336,natural
75,a,mismatch,9.800381775359286e-22,ViT-L-14-336,natural
76,a,mismatch,9.833796479373448e-20,ViT-L-14-336,natural
77,a,mismatch,1.4695229157030718e-29,ViT-L-14-336,natural
78,a,mismatch,3.3331978973569422e-18,ViT-L-14-336,natural
79,a,mismatch,1.866309899253038e-21,ViT-L-14-336,natural
80,a,mismatch,8.180670467566481e-19,ViT-L-14-336,natural
81,a,mismatch,1.9926742547693443e-12,ViT-L-14-336,natural
82,a,mismatch,5.116605805710606e-09,ViT-L-14-336,natural
83,a,mismatch,1.8080171376410482e-17,ViT-L-14-336,natural
84,a,mismatch,2.2712677283005506e-17,ViT-L-14-336,natural
85,a,mismatch,3.288492127058126e-16,ViT-L-14-336,natural
86,a,mismatch,8.818451341392786e-21,ViT-L-14-336,natural
87,a,mismatch,4.92969763181976e-19,ViT-L-14-336,natural
88,a,mismatch,1.0741901768745096e-16,ViT-L-14-336,natural
89,a,mismatch,1.7086755187828429e-12,ViT-L-14-336,natural
90,a,mismatch,2.373485574747036e-10,ViT-L-14-336,natural
91,a,mismatch,3.082561447970339e-19,ViT-L-14-336,natural
92,a,mismatch,3.4007083224597964e-15,ViT-L-14-336,natural
93,a,mismatch,1.118749884398973e-10,ViT-L-14-336,natural
94,a,mismatch,1.7714734827010926e-15,ViT-L-14-336,natural
95,a,mismatch,2.4133511961304914e-14,ViT-L-14-336,natural
96,a,mismatch,2.6932520053529014e-15,ViT-L-14-336,natural
97,a,mismatch,2.9687375009505354e-26,ViT-L-14-336,natural
98,a,mismatch,1.417218842281187e-10,ViT-L-14-336,natural
99,a,mismatch,1.385834972257901e-20,ViT-L-14-336,natural
100,a,mismatch,1.4143567556072645e-17,ViT-L-14-336,natural
101,a,mismatch,2.643656830010288e-17,ViT-L-14-336,natural
102,a,mismatch,1.8782788316357027e-15,ViT-L-14-336,natural
103,a,mismatch,1.9183859689429942e-25,ViT-L-14-336,natural
104,a,mismatch,3.480064245249651e-16,ViT-L-14-336,natural
105,a,mismatch,1.0732901011359115e-14,ViT-L-14-336,natural
106,a,mismatch,7.30580040908535e-11,ViT-L-14-336,natural
107,a,mismatch,9.91308701792093e-11,ViT-L-14-336,natural
108,b,match,1.0,ViT-L-14-336,natural
109,b,match,1.0,ViT-L-14-336,natural
110,b,match,1.0,ViT-L-14-336,natural
111,b,match,1.0,ViT-L-14-336,natural
112,b,match,1.0,ViT-L-14-336,natural
113,b,match,1.0,ViT-L-14-336,natural
114,b,match,1.0,ViT-L-14-336,natural
115,b,match,1.0,ViT-L-14-336,natural
116,b,match,1.0,ViT-L-14-336,natural
117,b,match,1.0,ViT-L-14-336,natural
118,b,match,1.0,ViT-L-14-336,natural
119,b,match,1.0,ViT-L-14-336,natural
120,b,match,1.0,ViT-L-14-336,natural
121,b,match,1.0,ViT-L-14-336,natural
122,b,match,1.0,ViT-L-14-336,natural
123,b,match,1.0,ViT-L-14-336,natural
124,b,match,1.0,ViT-L-14-336,natural
125,b,match,1.0,ViT-L-14-336,natural
126,b,match,1.0,ViT-L-14-336,natural
127,b,match,0.9999940395355225,ViT-L-14-336,natural
128,b,match,1.0,ViT-L-14-336,natural
129,b,match,1.0,ViT-L-14-336,natural
130,b,match,1.0,ViT-L-14-336,natural
131,b,match,1.0,ViT-L-14-336,natural
132,b,match,1.0,ViT-L-14-336,natural
133,b,match,1.0,ViT-L-14-336,natural
134,b,match,1.0,ViT-L-14-336,natural
135,b,match,1.0,ViT-L-14-336,natural
136,b,match,1.0,ViT-L-14-336,natural
137,b,match,1.0,ViT-L-14-336,natural
138,b,match,1.0,ViT-L-14-336,natural
139,b,match,1.0,ViT-L-14-336,natural
140,b,match,1.0,ViT-L-14-336,natural
141,b,match,1.0,ViT-L-14-336,natural
142,b,match,1.0,ViT-L-14-336,natural
143,b,match,1.0,ViT-L-14-336,natural
144,b,match,1.0,ViT-L-14-336,natural
145,b,match,1.0,ViT-L-14-336,natural
146,b,match,1.0,ViT-L-14-336,natural
147,b,match,1.0,ViT-L-14-336,natural
148,b,match,1.0,ViT-L-14-336,natural
149,b,match,1.0,ViT-L-14-336,natural
150,b,match,1.0,ViT-L-14-336,natural
151,b,match,1.0,ViT-L-14-336,natural
152,b,match,1.0,ViT-L-14-336,natural
153,b,match,1.0,ViT-L-14-336,natural
154,b,match,1.0,ViT-L-14-336,natural
155,b,match,1.0,ViT-L-14-336,natural
156,b,match,1.0,ViT-L-14-336,natural
157,b,match,1.0,ViT-L-14-336,natural
158,b,match,1.0,ViT-L-14-336,natural
159,b,match,1.0,ViT-L-14-336,natural
160,b,match,1.0,ViT-L-14-336,natural
161,b,match,1.0,ViT-L-14-336,natural
162,b,mismatch,1.5628288940749968e-10,ViT-L-14-336,natural
163,b,mismatch,2.3564173696845142e-17,ViT-L-14-336,natural
164,b,mismatch,6.1681943218164664e-27,ViT-L-14-336,natural
165,b,mismatch,3.700226791636396e-10,ViT-L-14-336,natural
166,b,mismatch,2.6895531117339154e-17,ViT-L-14-336,natural
167,b,mismatch,3.9570848300761084e-22,ViT-L-14-336,natural
168,b,mismatch,1.8534143813011222e-18,ViT-L-14-336,natural
169,b,mismatch,2.380516980369715e-14,ViT-L-14-336,natural
170,b,mismatch,7.193684764522803e-19,ViT-L-14-336,natural
171,b,mismatch,2.0293088328415196e-22,ViT-L-14-336,natural
172,b,mismatch,2.12561647469332e-24,ViT-L-14-336,natural
173,b,mismatch,2.5643148237070593e-17,ViT-L-14-336,natural
174,b,mismatch,1.215123054260081e-11,ViT-L-14-336,natural
175,b,mismatch,1.88274651514408e-24,ViT-L-14-336,natural
176,b,mismatch,7.724528482133675e-12,ViT-L-14-336,natural
177,b,mismatch,9.149418148026583e-14,ViT-L-14-336,natural
178,b,mismatch,5.91141646910816e-16,ViT-L-14-336,natural
179,b,mismatch,7.308332758415581e-12,ViT-L-14-336,natural
180,b,mismatch,1.2529362386717942e-24,ViT-L-14-336,natural
181,b,mismatch,6.016516636009328e-06,ViT-L-14-336,natural
182,b,mismatch,1.1032880353486775e-27,ViT-L-14-336,natural
183,b,mismatch,1.12434676962503e-16,ViT-L-14-336,natural
184,b,mismatch,8.000889323520436e-28,ViT-L-14-336,natural
185,b,mismatch,7.620200222819795e-17,ViT-L-14-336,natural
186,b,mismatch,7.250352787152277e-27,ViT-L-14-336,natural
187,b,mismatch,5.1889461965496514e-14,ViT-L-14-336,natural
188,b,mismatch,5.958589338671141e-19,ViT-L-14-336,natural
189,b,mismatch,1.1198754055162519e-13,ViT-L-14-336,natural
190,b,mismatch,1.622118273036932e-10,ViT-L-14-336,natural
191,b,mismatch,1.3104448844553649e-15,ViT-L-14-336,natural
192,b,mismatch,3.8245489714777285e-18,ViT-L-14-336,natural
193,b,mismatch,1.0016836933683985e-15,ViT-L-14-336,natural
194,b,mismatch,1.481669312490151e-15,ViT-L-14-336,natural
195,b,mismatch,7.422527941300198e-24,ViT-L-14-336,natural
196,b,mismatch,6.622683304535748e-12,ViT-L-14-336,natural
197,b,mismatch,8.345595325920385e-09,ViT-L-14-336,natural
198,b,mismatch,8.224349153096444e-12,ViT-L-14-336,natural
199,b,mismatch,1.0675883510558037e-09,ViT-L-14-336,natural
200,b,mismatch,6.479657203861417e-15,ViT-L-14-336,natural
201,b,mismatch,1.873816506766407e-19,ViT-L-14-336,natural
202,b,mismatch,6.357571883484152e-17,ViT-L-14-336,natural
203,b,mismatch,4.751901799214607e-21,ViT-L-14-336,natural
204,b,mismatch,1.4791795650208155e-14,ViT-L-14-336,natural
205,b,mismatch,8.350737094008076e-13,ViT-L-14-336,natural
206,b,mismatch,2.4885772155639997e-18,ViT-L-14-336,natural
207,b,mismatch,2.150901262654159e-10,ViT-L-14-336,natural
208,b,mismatch,6.2058022405308e-16,ViT-L-14-336,natural
209,b,mismatch,8.069787073544232e-15,ViT-L-14-336,natural
210,b,mismatch,2.441345771273893e-19,ViT-L-14-336,natural
211,b,mismatch,2.9569545376568465e-15,ViT-L-14-336,natural
212,b,mismatch,5.962788720897602e-14,ViT-L-14-336,natural
213,b,mismatch,1.3636950646150167e-26,ViT-L-14-336,natural
214,b,mismatch,5.765737390092261e-17,ViT-L-14-336,natural
215,b,mismatch,4.800156716555648e-09,ViT-L-14-336,natural
