,text,match,probability,model,dataset
0,a,match,1.0,ViT-H-14,synthetic
1,a,match,1.0,ViT-H-14,synthetic
2,a,match,1.0,ViT-H-14,synthetic
3,a,match,1.0,ViT-H-14,synthetic
4,a,match,0.9999949932098389,ViT-H-14,synthetic
5,a,match,1.0,ViT-H-14,synthetic
6,a,match,1.0,ViT-H-14,synthetic
7,a,match,1.0,ViT-H-14,synthetic
8,a,match,1.0,ViT-H-14,synthetic
9,a,match,1.0,ViT-H-14,synthetic
10,a,match,1.0,ViT-H-14,synthetic
11,a,match,1.0,ViT-H-14,synthetic
12,a,match,1.0,ViT-H-14,synthetic
13,a,match,1.0,ViT-H-14,synthetic
14,a,match,1.0,ViT-H-14,synthetic
15,a,match,1.0,ViT-H-14,synthetic
16,a,match,1.0,ViT-H-14,synthetic
17,a,match,1.0,ViT-H-14,synthetic
18,a,match,1.0,ViT-H-14,synthetic
19,a,match,0.9999995231628418,ViT-H-14,synthetic
20,a,match,0.9999998807907104,ViT-H-14,synthetic
21,a,match,1.0,ViT-H-14,synthetic
22,a,match,1.0,ViT-H-14,synthetic
23,a,match,1.0,ViT-H-14,synthetic
24,a,match,1.0,ViT-H-14,synthetic
25,a,match,1.0,ViT-H-14,synthetic
26,a,match,1.0,ViT-H-14,synthetic
27,a,match,1.0,ViT-H-14,synthetic
28,a,match,1.0,ViT-H-14,synthetic
29,a,match,1.0,ViT-H-14,synthetic
30,a,match,1.0,ViT-H-14,synthetic
31,a,match,1.0,ViT-H-14,synthetic
32,a,match,1.0,ViT-H-14,synthetic
33,a,match,1.0,ViT-H-14,synthetic
34,a,match,1.0,ViT-H-14,synthetic
35,a,match,1.0,ViT-H-14,synthetic
36,a,match,1.0,ViT-H-14,synthetic
37,a,match,1.0,ViT-H-14,synthetic
38,a,match,1.0,ViT-H-14,synthetic
39,a,match,1.0,ViT-H-14,synthetic
40,a,match,1.0,ViT-H-14,synthetic
41,a,match,1.0,ViT-H-14,synthetic
42,a,match,1.0,ViT-H-14,synthetic
43,a,match,1.0,ViT-H-14,synthetic
44,a,match,1.0,ViT-H-14,synthetic
45,a,match,1.0,ViT-H-14,synthetic
46,a,match,1.0,ViT-H-14,synthetic
47,a,match,1.0,ViT-H-14,synthetic
48,a,match,1.0,ViT-H-14,synthetic
49,a,match,1.0,ViT-H-14,synthetic
50,a,match,1.0,ViT-H-14,synthetic
51,a,match,1.0,ViT-H-14,synthetic
52,a,match,1.0,ViT-H-14,synthetic
53,a,match,1.0,ViT-H-14,synthetic
54,a,mismatch,0.0,ViT-H-14,synthetic
55,a,mismatch,1.401298464324817e-44,ViT-H-14,synthetic
56,a,mismatch,0.0,ViT-H-14,synthetic
57,a,mismatch,2.937950527794862e-24,ViT-H-14,synthetic
58,a,mismatch,4.948905825585825e-06,ViT-H-14,synthetic
59,a,mismatch,1.6041323824822484e-09,ViT-H-14,synthetic
60,a,mismatch,0.0,ViT-H-14,synthetic
61,a,mismatch,1.3868937382043365e-26,ViT-H-14,synthetic
62,a,mismatch,4.484155085839415e-44,ViT-H-14,synthetic
63,a,mismatch,4.740924532287208e-38,ViT-H-14,synthetic
64,a,mismatch,1.0147396943439825e-32,ViT-H-14,synthetic
65,a,mismatch,3.8104331356707023e-28,ViT-H-14,synthetic
66,a,mismatch,1.334030283460061e-29,ViT-H-14,synthetic
67,a,mismatch,5.3272967635763045e-30,ViT-H-14,synthetic
68,a,mismatch,8.101097504827469e-29,ViT-H-14,synthetic
69,a,mismatch,0.0,ViT-H-14,synthetic
70,a,mismatch,3.566484015558678e-29,ViT-H-14,synthetic
71,a,mismatch,8.538175246437258e-21,ViT-H-14,synthetic
72,a,mismatch,3.8986516687723045e-21,ViT-H-14,synthetic
73,a,mismatch,5.343945304048248e-07,ViT-H-14,synthetic
74,a,mismatch,1.5652057072657044e-07,ViT-H-14,synthetic
75,a,mismatch,6.302400939913909e-38,ViT-H-14,synthetic
76,a,mismatch,0.0,ViT-H-14,synthetic
77,a,mismatch,0.0,ViT-H-14,synthetic
78,a,mismatch,0.0,ViT-H-14,synthetic
79,a,mismatch,2.2574918260272803e-42,ViT-H-14,synthetic
80,a,mismatch,2.238128303642339e-25,ViT-H-14,synthetic
81,a,mismatch,8.297633592629557e-38,ViT-H-14,synthetic
82,a,mismatch,2.1068789818815597e-17,ViT-H-14,synthetic
83,a,mismatch,4.203895392974451e-45,ViT-H-14,synthetic
84,a,mismatch,1.401298464324817e-45,ViT-H-14,synthetic
85,a,mismatch,8.407790785948902e-45,ViT-H-14,synthetic
86,a,mismatch,7.855278651923361e-34,ViT-H-14,synthetic
87,a,mismatch,8.272599798431649e-31,ViT-H-14,synthetic
88,a,mismatch,6.950780618318231e-38,ViT-H-14,synthetic
89,a,mismatch,8.429380413306449e-19,ViT-H-14,synthetic
90,a,mismatch,1.6502087240091723e-12,ViT-H-14,synthetic
91,a,mismatch,2.251326112784251e-41,ViT-H-14,synthetic
92,a,mismatch,4.272607298309286e-16,ViT-H-14,synthetic
93,a,mismatch,1.1806648594989838e-13,ViT-H-14,synthetic
94,a,mismatch,1.9162502140623872e-10,ViT-H-14,synthetic
95,a,mismatch,8.462449659253294e-31,ViT-H-14,synthetic
96,a,mismatch,1.0818618136759772e-12,ViT-H-14,synthetic
97,a,mismatch,0.0,ViT-H-14,synthetic
98,a,mismatch,2.364228507047265e-28,ViT-H-14,synthetic
99,a,mismatch,1.1474443319254292e-26,ViT-H-14,synthetic
100,a,mismatch,6.947357526429578e-41,ViT-H-14,synthetic
101,a,mismatch,2.1428747736711817e-33,ViT-H-14,synthetic
102,a,mismatch,6.392272267063959e-10,ViT-H-14,synthetic
103,a,mismatch,2.659559046414375e-16,ViT-H-14,synthetic
104,a,mismatch,2.6499302814281626e-37,ViT-H-14,synthetic
105,a,mismatch,4.126614383378342e-23,ViT-H-14,synthetic
106,a,mismatch,6.640594122295545e-27,ViT-H-14,synthetic
107,a,mismatch,5.929708863504396e-24,ViT-H-14,synthetic
108,b,match,1.0,ViT-H-14,synthetic
109,b,match,1.0,ViT-H-14,synthetic
110,b,match,1.0,ViT-H-14,synthetic
111,b,match,1.0,ViT-H-14,synthetic
112,b,match,1.0,ViT-H-14,synthetic
113,b,match,1.0,ViT-H-14,synthetic
114,b,match,0.9999991655349731,ViT-H-14,synthetic
115,b,match,1.0,ViT-H-14,synthetic
116,b,match,1.0,ViT-H-14,synthetic
117,b,match,1.0,ViT-H-14,synthetic
118,b,match,1.0,ViT-H-14,synthetic
119,b,match,1.0,ViT-H-14,synthetic
120,b,match,1.0,ViT-H-14,synthetic
121,b,match,1.0,ViT-H-14,synthetic
122,b,match,1.0,ViT-H-14,synthetic
123,b,match,1.0,ViT-H-14,synthetic
124,b,match,1.0,ViT-H-14,synthetic
125,b,match,1.0,ViT-H-14,synthetic
126,b,match,1.0,ViT-H-14,synthetic
127,b,match,1.0,ViT-H-14,synthetic
128,b,match,0.9999903440475464,ViT-H-14,synthetic
129,b,match,1.0,ViT-H-14,synthetic
130,b,match,1.0,ViT-H-14,synthetic
131,b,match,1.0,ViT-H-14,synthetic
132,b,match,1.0,ViT-H-14,synthetic
133,b,match,1.0,ViT-H-14,synthetic
134,b,match,1.0,ViT-H-14,synthetic
135,b,match,1.0,ViT-H-14,synthetic
136,b,match,1.0,ViT-H-14,synthetic
137,b,match,1.0,ViT-H-14,synthetic
138,b,match,1.0,ViT-H-14,synthetic
139,b,match,1.0,ViT-H-14,synthetic
140,b,match,1.0,ViT-H-14,synthetic
141,b,match,1.0,ViT-H-14,synthetic
142,b,match,1.0,ViT-H-14,synthetic
143,b,match,1.0,ViT-H-14,synthetic
144,b,match,1.0,ViT-H-14,synthetic
145,b,match,0.9999992847442627,ViT-H-14,synthetic
146,b,match,1.0,ViT-H-14,synthetic
147,b,match,1.0,ViT-H-14,synthetic
148,b,match,1.0,ViT-H-14,synthetic
149,b,match,1.0,ViT-H-14,synthetic
150,b,match,1.0,ViT-H-14,synthetic
151,b,match,1.0,ViT-H-14,synthetic
152,b,match,1.0,ViT-H-14,synthetic
153,b,match,1.0,ViT-H-14,synthetic
154,b,match,1.0,ViT-H-14,synthetic
155,b,match,1.0,ViT-H-14,synthetic
156,b,match,1.0,ViT-H-14,synthetic
157,b,match,1.0,ViT-H-14,synthetic
158,b,match,1.0,ViT-H-14,synthetic
159,b,match,1.0,ViT-H-14,synthetic
160,b,match,1.0,ViT-H-14,synthetic
161,b,match,1.0,ViT-H-14,synthetic
162,b,mismatch,2.863527888835661e-17,ViT-H-14,synthetic
163,b,mismatch,0.0,ViT-H-14,synthetic
164,b,mismatch,0.0,ViT-H-14,synthetic
165,b,mismatch,6.379090430000273e-26,ViT-H-14,synthetic
166,b,mismatch,3.086358893606489e-21,ViT-H-14,synthetic
167,b,mismatch,8.145068143170994e-14,ViT-H-14,synthetic
168,b,mismatch,8.792709422777989e-07,ViT-H-14,synthetic
169,b,mismatch,4.2110011418279814e-26,ViT-H-14,synthetic
170,b,mismatch,3.299815178590923e-38,ViT-H-14,synthetic
171,b,mismatch,0.0,ViT-H-14,synthetic
172,b,mismatch,5.3033947945287804e-36,ViT-H-14,synthetic
173,b,mismatch,2.767728593248268e-25,ViT-H-14,synthetic
174,b,mismatch,3.6589494778576447e-38,ViT-H-14,synthetic
175,b,mismatch,6.375230605187472e-31,ViT-H-14,synthetic
176,b,mismatch,1.641676354492954e-34,ViT-H-14,synthetic
177,b,mismatch,1.6903157194437846e-27,ViT-H-14,synthetic
178,b,mismatch,0.0,ViT-H-14,synthetic
179,b,mismatch,1.1776336497303885e-27,ViT-H-14,synthetic
180,b,mismatch,6.171581625561068e-20,ViT-H-14,synthetic
181,b,mismatch,3.2572076873995164e-22,ViT-H-14,synthetic
182,b,mismatch,9.648500963521656e-06,ViT-H-14,synthetic
183,b,mismatch,2.5575987725248717e-13,ViT-H-14,synthetic
184,b,mismatch,1.8216880036222622e-44,ViT-H-14,synthetic
185,b,mismatch,0.0,ViT-H-14,synthetic
186,b,mismatch,0.0,ViT-H-14,synthetic
187,b,mismatch,3.699427945817517e-43,ViT-H-14,synthetic
188,b,mismatch,4.203895392974451e-45,ViT-H-14,synthetic
189,b,mismatch,2.5306802951526425e-18,ViT-H-14,synthetic
190,b,mismatch,2.9847657290118604e-43,ViT-H-14,synthetic
191,b,mismatch,1.3022350963785223e-26,ViT-H-14,synthetic
192,b,mismatch,7.023782943375389e-39,ViT-H-14,synthetic
193,b,mismatch,8.764139146859368e-25,ViT-H-14,synthetic
194,b,mismatch,4.863010138654272e-37,ViT-H-14,synthetic
195,b,mismatch,1.2997407594213403e-38,ViT-H-14,synthetic
196,b,mismatch,5.39276548188374e-23,ViT-H-14,synthetic
197,b,mismatch,5.359588339860198e-21,ViT-H-14,synthetic
198,b,mismatch,5.2990788064690477e-39,ViT-H-14,synthetic
199,b,mismatch,7.320372219510318e-07,ViT-H-14,synthetic
200,b,mismatch,2.802596928649634e-45,ViT-H-14,synthetic
201,b,mismatch,3.2741959314441473e-17,ViT-H-14,synthetic
202,b,mismatch,2.758502263139724e-20,ViT-H-14,synthetic
203,b,mismatch,1.2576079500697945e-12,ViT-H-14,synthetic
204,b,mismatch,3.199321312435044e-27,ViT-H-14,synthetic
205,b,mismatch,2.8897410506156795e-11,ViT-H-14,synthetic
206,b,mismatch,6.710299865219749e-40,ViT-H-14,synthetic
207,b,mismatch,5.187768076181723e-33,ViT-H-14,synthetic
208,b,mismatch,1.6382089331439537e-36,ViT-H-14,synthetic
209,b,mismatch,7.855082798378508e-38,ViT-H-14,synthetic
210,b,mismatch,1.57229174124179e-29,ViT-H-14,synthetic
211,b,mismatch,2.2348276562667024e-09,ViT-H-14,synthetic
212,b,mismatch,5.075570896906356e-08,ViT-H-14,synthetic
213,b,mismatch,0.0,ViT-H-14,synthetic
214,b,mismatch,4.6644782151429575e-34,ViT-H-14,synthetic
215,b,mismatch,5.529662261157316e-34,ViT-H-14,synthetic
