,text,match,probability,model,dataset
0,aa,match,1.0,ViT-L-14-336,synthetic
1,aa,match,1.0,ViT-L-14-336,synthetic
2,aa,match,1.0,ViT-L-14-336,synthetic
3,aa,match,1.0,ViT-L-14-336,synthetic
4,aa,match,1.0,ViT-L-14-336,synthetic
5,aa,match,1.0,ViT-L-14-336,synthetic
6,aa,match,0.9725039601325989,ViT-L-14-336,synthetic
7,aa,match,1.0,ViT-L-14-336,synthetic
8,aa,match,1.0,ViT-L-14-336,synthetic
9,aa,match,1.0,ViT-L-14-336,synthetic
10,aa,match,1.0,ViT-L-14-336,synthetic
11,aa,match,1.0,ViT-L-14-336,synthetic
12,aa,match,0.9999871253967285,ViT-L-14-336,synthetic
13,aa,match,0.9999997615814209,ViT-L-14-336,synthetic
14,aa,match,1.0,ViT-L-14-336,synthetic
15,aa,match,1.0,ViT-L-14-336,synthetic
16,aa,match,1.0,ViT-L-14-336,synthetic
17,aa,match,1.0,ViT-L-14-336,synthetic
18,ab,mismatch,7.737721412039898e-17,ViT-L-14-336,synthetic
19,ab,mismatch,1.1458055552503296e-16,ViT-L-14-336,synthetic
20,ab,mismatch,2.1995124092292345e-13,ViT-L-14-336,synthetic
21,ab,mismatch,9.417170006038172e-15,ViT-L-14-336,synthetic
22,ab,mismatch,1.0998375197775537e-13,ViT-L-14-336,synthetic
23,ab,mismatch,4.1059270713419823e-19,ViT-L-14-336,synthetic
24,ab,mismatch,0.02749609388411045,ViT-L-14-336,synthetic
25,ab,mismatch,1.0682121712056955e-23,ViT-L-14-336,synthetic
26,ab,mismatch,4.474616715295556e-15,ViT-L-14-336,synthetic
27,ab,mismatch,5.818781220745528e-12,ViT-L-14-336,synthetic
28,ab,mismatch,9.455543139647634e-15,ViT-L-14-336,synthetic
29,ab,mismatch,1.3260376130475038e-09,ViT-L-14-336,synthetic
30,ab,mismatch,9.207301445712801e-06,ViT-L-14-336,synthetic
31,ab,mismatch,2.0158371683010046e-07,ViT-L-14-336,synthetic
32,ab,mismatch,4.8679536963913694e-12,ViT-L-14-336,synthetic
33,ab,mismatch,4.2227890157084574e-20,ViT-L-14-336,synthetic
34,ab,mismatch,7.156027160341173e-18,ViT-L-14-336,synthetic
35,ab,mismatch,8.128147643610053e-15,ViT-L-14-336,synthetic
36,ac,mismatch,3.5060610098898654e-16,ViT-L-14-336,synthetic
37,ac,mismatch,3.8539346402868573e-22,ViT-L-14-336,synthetic
38,ac,mismatch,9.160935031393702e-12,ViT-L-14-336,synthetic
39,ac,mismatch,1.0724661159144944e-09,ViT-L-14-336,synthetic
40,ac,mismatch,2.9871063955688726e-11,ViT-L-14-336,synthetic
41,ac,mismatch,2.4155905140738065e-13,ViT-L-14-336,synthetic
42,ac,mismatch,8.713730258180785e-12,ViT-L-14-336,synthetic
43,ac,mismatch,4.2845119271016363e-13,ViT-L-14-336,synthetic
44,ac,mismatch,9.268306506657071e-15,ViT-L-14-336,synthetic
