,text,match,probability,item_id,model,dataset
0,aa,match,1.0,1,ViT-g-14,synthetic
1,aa,match,1.0,2,ViT-g-14,synthetic
2,aa,match,1.0,3,ViT-g-14,synthetic
3,aa,match,1.0,4,ViT-g-14,synthetic
4,aa,match,1.0,5,ViT-g-14,synthetic
5,aa,match,1.0,6,ViT-g-14,synthetic
6,aa,match,1.0,7,ViT-g-14,synthetic
7,aa,match,1.0,8,ViT-g-14,synthetic
8,aa,match,1.0,9,ViT-g-14,synthetic
9,aa,match,1.0,10,ViT-g-14,synthetic
10,aa,match,1.0,11,ViT-g-14,synthetic
11,aa,match,1.0,12,ViT-g-14,synthetic
12,aa,match,1.0,13,ViT-g-14,synthetic
13,aa,match,1.0,14,ViT-g-14,synthetic
14,aa,match,1.0,15,ViT-g-14,synthetic
15,aa,match,1.0,16,ViT-g-14,synthetic
16,aa,match,1.0,17,ViT-g-14,synthetic
17,aa,match,1.0,18,ViT-g-14,synthetic
18,ab,mismatch,0.0,1,ViT-g-14,synthetic
19,ab,mismatch,6.264331629370345e-25,2,ViT-g-14,synthetic
20,ab,mismatch,9.120862595669778e-21,3,ViT-g-14,synthetic
21,ab,mismatch,6.967907512356963e-37,4,ViT-g-14,synthetic
22,ab,mismatch,0.0,5,ViT-g-14,synthetic
23,ab,mismatch,0.0,6,ViT-g-14,synthetic
24,ab,mismatch,3.278620355104571e-17,7,ViT-g-14,synthetic
25,ab,mismatch,0.0,8,ViT-g-14,synthetic
26,ab,mismatch,0.0,9,ViT-g-14,synthetic
27,ab,mismatch,0.0,10,ViT-g-14,synthetic
28,ab,mismatch,0.0,11,ViT-g-14,synthetic
29,ab,mismatch,7.651089615213501e-43,12,ViT-g-14,synthetic
30,ab,mismatch,1.2024721342527551e-30,13,ViT-g-14,synthetic
31,ab,mismatch,1.464644300431227e-27,14,ViT-g-14,synthetic
32,ab,mismatch,3.978162189638112e-25,15,ViT-g-14,synthetic
33,ab,mismatch,5.324934164434305e-44,16,ViT-g-14,synthetic
34,ab,mismatch,5.894369078241853e-24,17,ViT-g-14,synthetic
35,ab,mismatch,0.0,18,ViT-g-14,synthetic
36,ac,mismatch,0.0,1,ViT-g-14,synthetic
37,ac,mismatch,5.0782134994185325e-27,2,ViT-g-14,synthetic
38,ac,mismatch,8.519894663094888e-42,3,ViT-g-14,synthetic
39,ac,mismatch,2.4747567957162414e-32,4,ViT-g-14,synthetic
40,ac,mismatch,0.0,5,ViT-g-14,synthetic
41,ac,mismatch,0.0,6,ViT-g-14,synthetic
42,ac,mismatch,1.949038663773103e-21,7,ViT-g-14,synthetic
43,ac,mismatch,0.0,8,ViT-g-14,synthetic
44,ac,mismatch,0.0,9,ViT-g-14,synthetic
45,ac,mismatch,0.0,10,ViT-g-14,synthetic
46,ac,mismatch,0.0,11,ViT-g-14,synthetic
47,ac,mismatch,0.0,12,ViT-g-14,synthetic
48,ac,mismatch,1.8325060277668498e-40,13,ViT-g-14,synthetic
49,ac,mismatch,4.999869935658045e-25,14,ViT-g-14,synthetic
50,ac,mismatch,9.88313985084445e-27,15,ViT-g-14,synthetic
51,ac,mismatch,0.0,16,ViT-g-14,synthetic
52,ac,mismatch,3.531979223240926e-33,17,ViT-g-14,synthetic
53,ac,mismatch,0.0,18,ViT-g-14,synthetic
54,bb,match,1.0,1,ViT-g-14,synthetic
55,bb,match,1.0,2,ViT-g-14,synthetic
56,bb,match,1.0,3,ViT-g-14,synthetic
57,bb,match,1.0,4,ViT-g-14,synthetic
58,bb,match,1.0,5,ViT-g-14,synthetic
59,bb,match,1.0,6,ViT-g-14,synthetic
60,bb,match,0.999997615814209,7,ViT-g-14,synthetic
61,bb,match,1.0,8,ViT-g-14,synthetic
62,bb,match,1.0,9,ViT-g-14,synthetic
63,bb,match,1.0,10,ViT-g-14,synthetic
64,bb,match,1.0,11,ViT-g-14,synthetic
65,bb,match,1.0,12,ViT-g-14,synthetic
66,bb,match,1.0,13,ViT-g-14,synthetic
67,bb,match,1.0,14,ViT-g-14,synthetic
