,text,match,probability,item_id,model,dataset
0,aa,match,1.0,1,ViT-L-14-336,natural
1,aa,match,1.0,2,ViT-L-14-336,natural
2,aa,match,1.0,3,ViT-L-14-336,natural
3,aa,match,1.0,4,ViT-L-14-336,natural
4,aa,match,1.0,5,ViT-L-14-336,natural
5,aa,match,1.0,6,ViT-L-14-336,natural
6,aa,match,0.9999940395355225,7,ViT-L-14-336,natural
7,aa,match,1.0,8,ViT-L-14-336,natural
8,aa,match,1.0,9,ViT-L-14-336,natural
9,aa,match,1.0,10,ViT-L-14-336,natural
10,aa,match,1.0,11,ViT-L-14-336,natural
11,aa,match,1.0,12,ViT-L-14-336,natural
12,aa,match,0.9999998807907104,13,ViT-L-14-336,natural
13,aa,match,1.0,14,ViT-L-14-336,natural
14,aa,match,1.0,15,ViT-L-14-336,natural
15,aa,match,1.0,16,ViT-L-14-336,natural
16,aa,match,1.0,17,ViT-L-14-336,natural
17,aa,match,1.0,18,ViT-L-14-336,natural
18,ab,mismatch,2.356453269323099e-17,1,ViT-L-14-336,natural
19,ab,mismatch,2.6895736258131067e-17,2,ViT-L-14-336,natural
20,ab,mismatch,2.380535276281376e-14,3,ViT-L-14-336,natural
21,ab,mismatch,2.125600303044763e-24,4,ViT-L-14-336,natural
22,ab,mismatch,1.8828685913691628e-24,5,ViT-L-14-336,natural
23,ab,mismatch,5.911461467733483e-16,6,ViT-L-14-336,natural
24,ab,mismatch,6.016333372826921e-06,7,ViT-L-14-336,natural
25,ab,mismatch,8.001041953468528e-28,8,ViT-L-14-336,natural
26,ab,mismatch,5.1889661865272066e-14,9,ViT-L-14-336,natural
27,ab,mismatch,1.6221368692725946e-10,10,ViT-L-14-336,natural
28,ab,mismatch,1.0017333506749312e-15,11,ViT-L-14-336,natural
29,ab,mismatch,6.622809939349494e-12,12,ViT-L-14-336,natural
30,ab,mismatch,1.0676167727652341e-09,13,ViT-L-14-336,natural
31,ab,mismatch,6.357474607044116e-17,14,ViT-L-14-336,natural
32,ab,mismatch,8.350609700252809e-13,15,ViT-L-14-336,natural
33,ab,mismatch,6.205826063332442e-16,16,ViT-L-14-336,natural
34,ab,mismatch,2.956886775021066e-15,17,ViT-L-14-336,natural
35,ab,mismatch,5.76556136605791e-17,18,ViT-L-14-336,natural
36,ac,mismatch,6.03573972994141e-16,1,ViT-L-14-336,natural
37,ac,mismatch,8.651545842383905e-22,2,ViT-L-14-336,natural
38,ac,mismatch,8.032426807025317e-11,3,ViT-L-14-336,natural
39,ac,mismatch,9.365097978971973e-19,4,ViT-L-14-336,natural
40,ac,mismatch,3.233505107655074e-19,5,ViT-L-14-336,natural
41,ac,mismatch,3.004994308941633e-10,6,ViT-L-14-336,natural
42,ac,mismatch,1.0295228753710861e-13,7,ViT-L-14-336,natural
43,ac,mismatch,5.150548328399398e-22,8,ViT-L-14-336,natural
44,ac,mismatch,3.562472853605586e-14,9,ViT-L-14-336,natural
45,ac,mismatch,9.603839881342794e-19,10,ViT-L-14-336,natural
46,ac,mismatch,3.6758653836956804e-22,11,ViT-L-14-336,natural
47,ac,mismatch,7.779205231372988e-12,12,ViT-L-14-336,natural
48,ac,mismatch,1.2221542533552565e-07,13,ViT-L-14-336,natural
49,ac,mismatch,7.550590358476329e-22,14,ViT-L-14-336,natural
50,ac,mismatch,6.1588707919014e-16,15,ViT-L-14-336,natural
51,ac,mismatch,4.203738119862473e-15,16,ViT-L-14-336,natural
