,text,match,probability,item_id,model,dataset
0,aa,match,0.9999090433120728,1,ViT-B-32,synthetic
1,aa,match,0.9918924570083618,2,ViT-B-32,synthetic
2,aa,match,0.9964034557342529,3,ViT-B-32,synthetic
3,aa,match,0.9964056015014648,4,ViT-B-32,synthetic
4,aa,match,0.9978846907615662,5,ViT-B-32,synthetic
5,aa,match,0.9936076402664185,6,ViT-B-32,synthetic
6,aa,match,0.8637300729751587,7,ViT-B-32,synthetic
7,aa,match,0.9997335076332092,8,ViT-B-32,synthetic
8,aa,match,0.9999140501022339,9,ViT-B-32,synthetic
9,aa,match,0.9975987076759338,10,ViT-B-32,synthetic
10,aa,match,0.9977248311042786,11,ViT-B-32,synthetic
11,aa,match,0.9916431903839111,12,ViT-B-32,synthetic
12,aa,match,0.7996190190315247,13,ViT-B-32,synthetic
13,aa,match,0.9386788010597229,14,ViT-B-32,synthetic
14,aa,match,0.9637281894683838,15,ViT-B-32,synthetic
15,aa,match,0.9975899457931519,16,ViT-B-32,synthetic
16,aa,match,0.786828339099884,17,ViT-B-32,synthetic
17,aa,match,0.9998235106468201,18,ViT-B-32,synthetic
18,ab,mismatch,9.04153876035707e-06,1,ViT-B-32,synthetic
19,ab,mismatch,0.008054612204432487,2,ViT-B-32,synthetic
20,ab,mismatch,0.003149422351270914,3,ViT-B-32,synthetic
21,ab,mismatch,8.553127554478124e-05,4,ViT-B-32,synthetic
22,ab,mismatch,0.0012665584217756987,5,ViT-B-32,synthetic
23,ab,mismatch,1.564783087815158e-05,6,ViT-B-32,synthetic
24,ab,mismatch,0.13182039558887482,7,ViT-B-32,synthetic
25,ab,mismatch,9.595768801773374e-08,8,ViT-B-32,synthetic
26,ab,mismatch,1.1343456208123825e-05,9,ViT-B-32,synthetic
27,ab,mismatch,0.002394033595919609,10,ViT-B-32,synthetic
28,ab,mismatch,0.002274027094244957,11,ViT-B-32,synthetic
29,ab,mismatch,0.002956703072413802,12,ViT-B-32,synthetic
30,ab,mismatch,0.13983164727687836,13,ViT-B-32,synthetic
31,ab,mismatch,0.06055178865790367,14,ViT-B-32,synthetic
32,ab,mismatch,0.03620954602956772,15,ViT-B-32,synthetic
33,ab,mismatch,0.002397357253357768,16,ViT-B-32,synthetic
34,ab,mismatch,0.045261356979608536,17,ViT-B-32,synthetic
35,ab,mismatch,2.1650141206919216e-05,18,ViT-B-32,synthetic
36,ac,mismatch,8.194850670406595e-05,1,ViT-B-32,synthetic
37,ac,mismatch,5.297806637827307e-05,2,ViT-B-32,synthetic
38,ac,mismatch,0.00044710500515066087,3,ViT-B-32,synthetic
39,ac,mismatch,0.003508921479806304,4,ViT-B-32,synthetic
40,ac,mismatch,0.0008488119929097593,5,ViT-B-32,synthetic
41,ac,mismatch,0.006376741919666529,6,ViT-B-32,synthetic
42,ac,mismatch,0.004449515603482723,7,ViT-B-32,synthetic
43,ac,mismatch,0.00026633840752765536,8,ViT-B-32,synthetic
44,ac,mismatch,7.461093628080562e-05,9,ViT-B-32,synthetic
45,ac,mismatch,7.282036222022725e-06,10,ViT-B-32,synthetic
46,ac,mismatch,1.2134280495956773e-06,11,ViT-B-32,synthetic
47,ac,mismatch,0.0054000793024897575,12,ViT-B-32,synthetic
48,ac,mismatch,0.06054932624101639,13,ViT-B-32,synthetic
49,ac,mismatch,0.0007693770457990468,14,ViT-B-32,synthetic
50,ac,mismatch,6.229225255083293e-05,15,ViT-B-32,synthetic
51,ac,mismatch,1.2728613000945188e-05,16,ViT-B-32,synthetic
52,ac,mismatch,0.16791024804115295,17,ViT-B-32,synthetic
53,ac,mismatch,0.00015485892072319984,18,ViT-B-32,synthetic
54,bb,match,0.999990701675415,1,ViT-B-32,synthetic
55,bb,match,0.9998810291290283,2,ViT-B-32,synthetic
56,bb,match,0.9999399185180664,3,ViT-B-32,synthetic
57,bb,match,0.9999872446060181,4,ViT-B-32,synthetic
58,bb,match,0.9999624490737915,5,ViT-B-32,synthetic
59,bb,match,0.9997751116752625,6,ViT-B-32,synthetic
60,bb,match,0.9999994039535522,7,ViT-B-32,synthetic
61,bb,match,0.999674916267395,8,ViT-B-32,synthetic
62,bb,match,0.999991774559021,9,ViT-B-32,synthetic
63,bb,match,0.5665130019187927,10,ViT-B-32,synthetic
64,bb,match,0.9999393224716187,11,ViT-B-32,synthetic
65,bb,match,0.980890154838562,12,ViT-B-32,synthetic
66,bb,match,0.9999971389770508,13,ViT-B-32,synthetic
67,bb,match,0.999988317489624,14,ViT-B-32,synthetic
68,bb,match,0.9999994039535522,15,ViT-B-32,synthetic
69,bb,match,0.9997063279151917,16,ViT-B-32,synthetic
70,bb,match,0.9999489784240723,17,ViT-B-32,synthetic
71,bb,match,0.9927612543106079,18,ViT-B-32,synthetic
72,ba,mismatch,3.615112291299738e-06,1,ViT-B-32,synthetic
73,ba,mismatch,0.0001183133281301707,2,ViT-B-32,synthetic
74,ba,mismatch,5.633470937027596e-05,3,ViT-B-32,synthetic
75,ba,mismatch,2.526124376345251e-07,4,ViT-B-32,synthetic
76,ba,mismatch,4.87832585349679e-06,5,ViT-B-32,synthetic
77,ba,mismatch,5.6903859331214335e-06,6,ViT-B-32,synthetic
78,ba,mismatch,2.6764631400055805e-08,7,ViT-B-32,synthetic
79,ba,mismatch,8.086545904006925e-07,8,ViT-B-32,synthetic
80,ba,mismatch,8.179845281119924e-06,9,ViT-B-32,synthetic
81,ba,mismatch,0.4317982494831085,10,ViT-B-32,synthetic
82,ba,mismatch,4.836911830352619e-05,11,ViT-B-32,synthetic
83,ba,mismatch,8.404836080444511e-07,12,ViT-B-32,synthetic
84,ba,mismatch,2.2699161661421385e-08,13,ViT-B-32,synthetic
85,ba,mismatch,4.190195340925129e-06,14,ViT-B-32,synthetic
86,ba,mismatch,3.082543287291628e-07,15,ViT-B-32,synthetic
87,ba,mismatch,0.00012459521531127393,16,ViT-B-32,synthetic
88,ba,mismatch,2.8656199901888613e-07,17,ViT-B-32,synthetic
89,ba,mismatch,1.419681757397484e-05,18,ViT-B-32,synthetic
90,bc,mismatch,5.7213269428757485e-06,1,ViT-B-32,synthetic
91,bc,mismatch,5.439706569632108e-07,2,ViT-B-32,synthetic
92,bc,mismatch,3.7481349863810465e-06,3,ViT-B-32,synthetic
93,bc,mismatch,1.2527651051641442e-05,4,ViT-B-32,synthetic
94,bc,mismatch,3.2636246032780036e-05,5,ViT-B-32,synthetic
95,bc,mismatch,0.00021913448290433735,6,ViT-B-32,synthetic
96,bc,mismatch,6.45388809061842e-07,7,ViT-B-32,synthetic
97,bc,mismatch,0.0003243088140152395,8,ViT-B-32,synthetic
98,bc,mismatch,2.0574221437641427e-08,9,ViT-B-32,synthetic
99,bc,mismatch,0.001688817166723311,10,ViT-B-32,synthetic
100,bc,mismatch,1.2265954865142703e-05,11,ViT-B-32,synthetic
101,bc,mismatch,0.019109072163701057,12,ViT-B-32,synthetic
102,bc,mismatch,2.8831832423747983e-06,13,ViT-B-32,synthetic
103,bc,mismatch,7.4548006523400545e-06,14,ViT-B-32,synthetic
104,bc,mismatch,2.3161720719144796e-07,15,ViT-B-32,synthetic
105,bc,mismatch,0.0001691309444140643,16,ViT-B-32,synthetic
106,bc,mismatch,5.073306238045916e-05,17,ViT-B-32,synthetic
107,bc,mismatch,0.007224585395306349,18,ViT-B-32,synthetic
108,cc,match,0.9999995231628418,1,ViT-B-32,synthetic
109,cc,match,0.9833749532699585,2,ViT-B-32,synthetic
110,cc,match,0.9999271631240845,3,ViT-B-32,synthetic
111,cc,match,0.9999948740005493,4,ViT-B-32,synthetic
112,cc,match,0.9967522621154785,5,ViT-B-32,synthetic
113,cc,match,0.9999854564666748,6,ViT-B-32,synthetic
114,cc,match,0.012959828600287437,7,ViT-B-32,synthetic
115,cc,match,0.9999997615814209,8,ViT-B-32,synthetic
116,cc,match,0.9246680736541748,9,ViT-B-32,synthetic
117,cc,match,0.999439537525177,10,ViT-B-32,synthetic
118,cc,match,0.9970045685768127,11,ViT-B-32,synthetic
119,cc,match,0.9533294439315796,12,ViT-B-32,synthetic
120,cc,match,0.9988762736320496,13,ViT-B-32,synthetic
121,cc,match,0.9989131689071655,14,ViT-B-32,synthetic
122,cc,match,0.8993209004402161,15,ViT-B-32,synthetic
123,cc,match,0.9978961944580078,16,ViT-B-32,synthetic
124,cc,match,0.9999958276748657,17,ViT-B-32,synthetic
125,cc,match,0.9999568462371826,18,ViT-B-32,synthetic
126,ca,mismatch,4.3297060869917914e-07,1,ViT-B-32,synthetic
127,ca,mismatch,0.012715395539999008,2,ViT-B-32,synthetic
128,ca,mismatch,4.201689807814546e-05,3,ViT-B-32,synthetic
