,text,match,probability,item_id,model,dataset
0,aa,match,1.0,1,ViT-H-14,synthetic
1,aa,match,1.0,2,ViT-H-14,synthetic
2,aa,match,1.0,3,ViT-H-14,synthetic
3,aa,match,1.0,4,ViT-H-14,synthetic
4,aa,match,1.0,5,ViT-H-14,synthetic
5,aa,match,1.0,6,ViT-H-14,synthetic
6,aa,match,1.0,7,ViT-H-14,synthetic
7,aa,match,1.0,8,ViT-H-14,synthetic
8,aa,match,1.0,9,ViT-H-14,synthetic
9,aa,match,1.0,10,ViT-H-14,synthetic
10,aa,match,1.0,11,ViT-H-14,synthetic
11,aa,match,1.0,12,ViT-H-14,synthetic
12,aa,match,0.9999992847442627,13,ViT-H-14,synthetic
13,aa,match,1.0,14,ViT-H-14,synthetic
14,aa,match,1.0,15,ViT-H-14,synthetic
15,aa,match,1.0,16,ViT-H-14,synthetic
16,aa,match,0.9999959468841553,17,ViT-H-14,synthetic
17,aa,match,1.0,18,ViT-H-14,synthetic
18,ab,mismatch,0.0,1,ViT-H-14,synthetic
19,ab,mismatch,3.086358893606489e-21,2,ViT-H-14,synthetic
20,ab,mismatch,4.2110011418279814e-26,3,ViT-H-14,synthetic
21,ab,mismatch,5.3033947945287804e-36,4,ViT-H-14,synthetic
22,ab,mismatch,6.375230605187472e-31,5,ViT-H-14,synthetic
23,ab,mismatch,0.0,6,ViT-H-14,synthetic
24,ab,mismatch,3.2572076873995164e-22,7,ViT-H-14,synthetic
25,ab,mismatch,1.8216880036222622e-44,8,ViT-H-14,synthetic
26,ab,mismatch,3.699427945817517e-43,9,ViT-H-14,synthetic
27,ab,mismatch,2.9847657290118604e-43,10,ViT-H-14,synthetic
28,ab,mismatch,8.764139146859368e-25,11,ViT-H-14,synthetic
29,ab,mismatch,5.39276548188374e-23,12,ViT-H-14,synthetic
30,ab,mismatch,7.320372219510318e-07,13,ViT-H-14,synthetic
31,ab,mismatch,2.758502263139724e-20,14,ViT-H-14,synthetic
32,ab,mismatch,2.8897410506156795e-11,15,ViT-H-14,synthetic
33,ab,mismatch,1.6382089331439537e-36,16,ViT-H-14,synthetic
34,ab,mismatch,2.2348185524379005e-09,17,ViT-H-14,synthetic
35,ab,mismatch,4.6644782151429575e-34,18,ViT-H-14,synthetic
36,ac,mismatch,0.0,1,ViT-H-14,synthetic
37,ac,mismatch,2.8421837959381947e-19,2,ViT-H-14,synthetic
38,ac,mismatch,4.808214082777157e-34,3,ViT-H-14,synthetic
39,ac,mismatch,7.452781939151224e-29,4,ViT-H-14,synthetic
40,ac,mismatch,4.937309785829703e-38,5,ViT-H-14,synthetic
41,ac,mismatch,1.499245325766197e-35,6,ViT-H-14,synthetic
42,ac,mismatch,6.0902719358236575e-25,7,ViT-H-14,synthetic
43,ac,mismatch,4.120475408649344e-25,8,ViT-H-14,synthetic
44,ac,mismatch,3.952612244267419e-33,9,ViT-H-14,synthetic
45,ac,mismatch,0.0,10,ViT-H-14,synthetic
46,ac,mismatch,1.5765186459919958e-38,11,ViT-H-14,synthetic
47,ac,mismatch,5.199398989605925e-25,12,ViT-H-14,synthetic
48,ac,mismatch,1.21001832888829e-14,13,ViT-H-14,synthetic
49,ac,mismatch,3.375616339554121e-18,14,ViT-H-14,synthetic
50,ac,mismatch,9.824722695794653e-20,15,ViT-H-14,synthetic
51,ac,mismatch,8.407790785948902e-45,16,ViT-H-14,synthetic
52,ac,mismatch,4.028426701552235e-06,17,ViT-H-14,synthetic
53,ac,mismatch,2.827417007309448e-38,18,ViT-H-14,synthetic
54,bb,match,1.0,1,ViT-H-14,synthetic
55,bb,match,0.9999949932098389,2,ViT-H-14,synthetic
56,bb,match,1.0,3,ViT-H-14,synthetic
57,bb,match,1.0,4,ViT-H-14,synthetic
58,bb,match,1.0,5,ViT-H-14,synthetic
59,bb,match,1.0,6,ViT-H-14,synthetic
60,bb,match,0.9999898672103882,7,ViT-H-14,synthetic
61,bb,match,1.0,8,ViT-H-14,synthetic
62,bb,match,1.0,9,ViT-H-14,synthetic
63,bb,match,1.0,10,ViT-H-14,synthetic
64,bb,match,1.0,11,ViT-H-14,synthetic
65,bb,match,1.0,12,ViT-H-14,synthetic
66,bb,match,1.0,13,ViT-H-14,synthetic
67,bb,match,1.0,14,ViT-H-14,synthetic
68,bb,match,1.0,15,ViT-H-14,synthetic
69,bb,match,1.0,16,ViT-H-14,synthetic
70,bb,match,1.0,17,ViT-H-14,synthetic
71,bb,match,1.0,18,ViT-H-14,synthetic
72,ba,mismatch,1.401298464324817e-44,1,ViT-H-14,synthetic
73,ba,mismatch,4.948905825585825e-06,2,ViT-H-14,synthetic
74,ba,mismatch,1.3868937382043365e-26,3,ViT-H-14,synthetic
75,ba,mismatch,1.0147396943439825e-32,4,ViT-H-14,synthetic
76,ba,mismatch,5.3272967635763045e-30,5,ViT-H-14,synthetic
77,ba,mismatch,3.566484015558678e-29,6,ViT-H-14,synthetic
78,ba,mismatch,5.343893576537084e-07,7,ViT-H-14,synthetic
79,ba,mismatch,0.0,8,ViT-H-14,synthetic
80,ba,mismatch,2.2574918260272803e-42,9,ViT-H-14,synthetic
81,ba,mismatch,2.1068789818815597e-17,10,ViT-H-14,synthetic
