,text,match,probability,item_id,model,dataset
0,aa,match,1.0,1,imagebind,synthetic
1,aa,match,0.9999997615814209,2,imagebind,synthetic
2,aa,match,0.999996542930603,3,imagebind,synthetic
3,aa,match,0.9999998807907104,4,imagebind,synthetic
4,aa,match,1.0,5,imagebind,synthetic
5,aa,match,0.999990701675415,6,imagebind,synthetic
6,aa,match,0.9999998807907104,7,imagebind,synthetic
7,aa,match,1.0,8,imagebind,synthetic
8,aa,match,0.9999998807907104,9,imagebind,synthetic
9,aa,match,1.0,10,imagebind,synthetic
10,aa,match,0.9999998807907104,11,imagebind,synthetic
11,aa,match,0.9999980926513672,12,imagebind,synthetic
12,aa,match,0.9999978542327881,13,imagebind,synthetic
13,aa,match,0.9999985694885254,14,imagebind,synthetic
14,aa,match,0.9999555349349976,15,imagebind,synthetic
15,aa,match,1.0,16,imagebind,synthetic
16,aa,match,0.9999831914901733,17,imagebind,synthetic
17,aa,match,1.0,18,imagebind,synthetic
18,ab,mismatch,7.561281855088427e-15,1,imagebind,synthetic
19,ab,mismatch,2.1400749616873327e-08,2,imagebind,synthetic
20,ab,mismatch,3.4018410133285215e-06,3,imagebind,synthetic
21,ab,mismatch,5.0474358026519894e-09,4,imagebind,synthetic
22,ab,mismatch,1.7859832723843283e-08,5,imagebind,synthetic
23,ab,mismatch,4.580442622414971e-11,6,imagebind,synthetic
24,ab,mismatch,1.0811197626026114e-07,7,imagebind,synthetic
25,ab,mismatch,9.151011112068508e-13,8,imagebind,synthetic
26,ab,mismatch,1.7186560508086757e-10,9,imagebind,synthetic
27,ab,mismatch,1.317410847079259e-09,10,imagebind,synthetic
28,ab,mismatch,6.734010327136275e-08,11,imagebind,synthetic
29,ab,mismatch,1.4014667613082565e-06,12,imagebind,synthetic
30,ab,mismatch,2.1910282157477923e-06,13,imagebind,synthetic
31,ab,mismatch,9.69822508523066e-07,14,imagebind,synthetic
32,ab,mismatch,4.374701893539168e-05,15,imagebind,synthetic
33,ab,mismatch,1.2652560110737454e-09,16,imagebind,synthetic
34,ab,mismatch,1.6102732843137346e-05,17,imagebind,synthetic
35,ab,mismatch,4.283556620521267e-09,18,imagebind,synthetic
36,ac,mismatch,5.0133577844668764e-12,1,imagebind,synthetic
37,ac,mismatch,2.192212207319244e-07,2,imagebind,synthetic
38,ac,mismatch,3.6799967517708865e-08,3,imagebind,synthetic
39,ac,mismatch,1.2908890312246513e-07,4,imagebind,synthetic
40,ac,mismatch,3.186936547994179e-10,5,imagebind,synthetic
41,ac,mismatch,9.308194421464577e-06,6,imagebind,synthetic
42,ac,mismatch,7.944332414133726e-10,7,imagebind,synthetic
43,ac,mismatch,3.0335087330968236e-08,8,imagebind,synthetic
44,ac,mismatch,6.492334847507664e-08,9,imagebind,synthetic
45,ac,mismatch,8.908284808602229e-14,10,imagebind,synthetic
46,ac,mismatch,7.995496625889942e-11,11,imagebind,synthetic
47,ac,mismatch,5.279190418150392e-07,12,imagebind,synthetic
48,ac,mismatch,2.2440502789322636e-08,13,imagebind,synthetic
49,ac,mismatch,4.972167175765208e-07,14,imagebind,synthetic
