,relationships,prompt_type,probability,group_id,model,dataset
0,afforded,explicit,0.0027119286824017763,1,imagebind,natural
1,afforded,explicit,0.009719778783619404,2,imagebind,natural
2,afforded,explicit,0.999068558216095,3,imagebind,natural
3,afforded,explicit,0.9990763664245605,4,imagebind,natural
4,afforded,explicit,0.00898674875497818,5,imagebind,natural
5,afforded,explicit,0.9150218963623047,6,imagebind,natural
6,afforded,explicit,3.110419856966473e-05,7,imagebind,natural
7,afforded,explicit,0.2192230373620987,8,imagebind,natural
8,afforded,explicit,0.057741861790418625,9,imagebind,natural
9,afforded,explicit,0.9999847412109375,10,imagebind,natural
10,afforded,explicit,0.9999126195907593,11,imagebind,natural
11,afforded,explicit,0.003754439763724804,12,imagebind,natural
12,afforded,explicit,0.1218639612197876,13,imagebind,natural
13,afforded,explicit,0.9286430478096008,14,imagebind,natural
14,afforded,explicit,0.8635944724082947,15,imagebind,natural
15,afforded,explicit,0.03121132217347622,16,imagebind,natural
16,afforded,explicit,0.06670374423265457,17,imagebind,natural
17,afforded,explicit,0.027926452457904816,18,imagebind,natural
18,afforded,implicit,0.0014757162425667048,1,imagebind,natural
19,afforded,implicit,0.0026224683970212936,2,imagebind,natural
20,afforded,implicit,0.9984945058822632,3,imagebind,natural
21,afforded,implicit,0.9990311861038208,4,imagebind,natural
22,afforded,implicit,0.006175681948661804,5,imagebind,natural
23,afforded,implicit,0.9317524433135986,6,imagebind,natural
24,afforded,implicit,0.00010984679829562083,7,imagebind,natural
25,afforded,implicit,0.8275744915008545,8,imagebind,natural
26,afforded,implicit,0.018789151683449745,9,imagebind,natural
27,afforded,implicit,0.9999934434890747,10,imagebind,natural
28,afforded,implicit,0.9998811483383179,11,imagebind,natural
29,afforded,implicit,0.0035324888303875923,12,imagebind,natural
30,afforded,implicit,0.013522890396416187,13,imagebind,natural
31,afforded,implicit,0.9689387083053589,14,imagebind,natural
32,afforded,implicit,0.9752646088600159,15,imagebind,natural
33,afforded,implicit,0.06620390713214874,16,imagebind,natural
34,afforded,implicit,0.16448159515857697,17,imagebind,natural
35,afforded,implicit,0.027585960924625397,18,imagebind,natural
36,non_afforded,explicit,0.9972881078720093,1,imagebind,natural
37,non_afforded,explicit,0.9902802109718323,2,imagebind,natural
38,non_afforded,explicit,0.0009315077913925052,3,imagebind,natural
39,non_afforded,explicit,0.000923626241274178,4,imagebind,natural
40,non_afforded,explicit,0.99101322889328,5,imagebind,natural
41,non_afforded,explicit,0.08497805148363113,6,imagebind,natural
42,non_afforded,explicit,0.9999688863754272,7,imagebind,natural
43,non_afforded,explicit,0.7807769179344177,8,imagebind,natural
44,non_afforded,explicit,0.9422581791877747,9,imagebind,natural
45,non_afforded,explicit,1.5298728612833656e-05,10,imagebind,natural
46,non_afforded,explicit,8.739850454730913e-05,11,imagebind,natural
47,non_afforded,explicit,0.9962455630302429,12,imagebind,natural
48,non_afforded,explicit,0.8781360387802124,13,imagebind,natural
49,non_afforded,explicit,0.07135698944330215,14,imagebind,natural
50,non_afforded,explicit,0.13640548288822174,15,imagebind,natural
51,non_afforded,explicit,0.9687886238098145,16,imagebind,natural
52,non_afforded,explicit,0.933296263217926,17,imagebind,natural
53,non_afforded,explicit,0.9720735549926758,18,imagebind,natural
54,non_afforded,implicit,0.9985243678092957,1,imagebind,natural
55,non_afforded,implicit,0.9973775148391724,2,imagebind,natural
56,non_afforded,implicit,0.0015055249677971005,3,imagebind,natural
57,non_afforded,implicit,0.0009688118589110672,4,imagebind,natural
58,non_afforded,implicit,0.9938243627548218,5,imagebind,natural
59,non_afforded,implicit,0.06824755668640137,6,imagebind,natural
60,non_afforded,implicit,0.9998900890350342,7,imagebind,natural
61,non_afforded,implicit,0.17242549359798431,8,imagebind,natural
62,non_afforded,implicit,0.9812108278274536,9,imagebind,natural
63,non_afforded,implicit,6.605352155020228e-06,10,imagebind,natural
64,non_afforded,implicit,0.00011882966646226123,11,imagebind,natural
65,non_afforded,implicit,0.9964674711227417,12,imagebind,natural
66,non_afforded,implicit,0.9864771366119385,13,imagebind,natural
67,non_afforded,implicit,0.03106127679347992,14,imagebind,natural
68,non_afforded,implicit,0.02473539113998413,15,imagebind,natural
69,non_afforded,implicit,0.9337961077690125,16,imagebind,natural
70,non_afforded,implicit,0.8355184197425842,17,imagebind,natural
71,non_afforded,implicit,0.9724140763282776,18,imagebind,natural
