,sentence,match,probability,model,dataset
0,a,match,2.252442667400625e-38,ViT-bigG-14,muraki2021
1,a,match,8.38918543100196e-34,ViT-bigG-14,muraki2021
2,a,match,1.0,ViT-bigG-14,muraki2021
3,a,match,3.3619087146195597e-23,ViT-bigG-14,muraki2021
4,a,match,1.0,ViT-bigG-14,muraki2021
5,a,match,2.987542435661794e-09,ViT-bigG-14,muraki2021
6,a,match,0.9071812629699707,ViT-bigG-14,muraki2021
7,a,match,1.6685305357944586e-31,ViT-bigG-14,muraki2021
8,a,match,2.677225195008015e-12,ViT-bigG-14,muraki2021
9,a,match,0.9876575469970703,ViT-bigG-14,muraki2021
10,a,match,8.379413694978389e-23,ViT-bigG-14,muraki2021
11,a,match,0.9999963045120239,ViT-bigG-14,muraki2021
12,a,match,3.0738289691356613e-09,ViT-bigG-14,muraki2021
13,a,match,0.9999991655349731,ViT-bigG-14,muraki2021
14,a,match,8.780368654370818e-10,ViT-bigG-14,muraki2021
15,a,match,0.9999997615814209,ViT-bigG-14,muraki2021
16,a,match,1.0,ViT-bigG-14,muraki2021
17,a,match,1.0,ViT-bigG-14,muraki2021
18,a,match,1.0,ViT-bigG-14,muraki2021
19,a,match,1.0,ViT-bigG-14,muraki2021
20,a,match,0.0,ViT-bigG-14,muraki2021
21,a,match,2.0105585463170428e-06,ViT-bigG-14,muraki2021
22,a,match,5.072700440855838e-42,ViT-bigG-14,muraki2021
23,a,match,1.0,ViT-bigG-14,muraki2021
24,a,mismatch,1.0,ViT-bigG-14,muraki2021
25,a,mismatch,1.0,ViT-bigG-14,muraki2021
26,a,mismatch,2.6866886428247213e-27,ViT-bigG-14,muraki2021
27,a,mismatch,1.0,ViT-bigG-14,muraki2021
28,a,mismatch,6.929517848419664e-09,ViT-bigG-14,muraki2021
29,a,mismatch,1.0,ViT-bigG-14,muraki2021
30,a,mismatch,0.09281875193119049,ViT-bigG-14,muraki2021
31,a,mismatch,1.0,ViT-bigG-14,muraki2021
32,a,mismatch,1.0,ViT-bigG-14,muraki2021
33,a,mismatch,0.0123424232006073,ViT-bigG-14,muraki2021
34,a,mismatch,1.0,ViT-bigG-14,muraki2021
35,a,mismatch,3.6392011679708958e-06,ViT-bigG-14,muraki2021
36,a,mismatch,1.0,ViT-bigG-14,muraki2021
37,a,mismatch,8.064120606832148e-07,ViT-bigG-14,muraki2021
38,a,mismatch,1.0,ViT-bigG-14,muraki2021
39,a,mismatch,2.1714235742820165e-07,ViT-bigG-14,muraki2021
40,a,mismatch,1.651957193922441e-30,ViT-bigG-14,muraki2021
41,a,mismatch,1.1906816865803194e-08,ViT-bigG-14,muraki2021
42,a,mismatch,1.7632846138065927e-12,ViT-bigG-14,muraki2021
43,a,mismatch,0.0,ViT-bigG-14,muraki2021
44,a,mismatch,1.0,ViT-bigG-14,muraki2021
45,a,mismatch,0.9999979734420776,ViT-bigG-14,muraki2021
46,a,mismatch,1.0,ViT-bigG-14,muraki2021
47,a,mismatch,9.714326516930537e-22,ViT-bigG-14,muraki2021
48,b,match,1.0,ViT-bigG-14,muraki2021
49,b,match,1.0,ViT-bigG-14,muraki2021
50,b,match,3.0532283024417703e-15,ViT-bigG-14,muraki2021
51,b,match,1.0,ViT-bigG-14,muraki2021
52,b,match,2.0775302051606603e-12,ViT-bigG-14,muraki2021
53,b,match,0.9882171750068665,ViT-bigG-14,muraki2021
54,b,match,0.9999475479125977,ViT-bigG-14,muraki2021
55,b,match,1.0,ViT-bigG-14,muraki2021
56,b,match,0.9985312223434448,ViT-bigG-14,muraki2021
57,b,match,2.6939660529023968e-06,ViT-bigG-14,muraki2021
58,b,match,0.9999985694885254,ViT-bigG-14,muraki2021
59,b,match,1.0,ViT-bigG-14,muraki2021
60,b,match,1.0,ViT-bigG-14,muraki2021
61,b,match,1.0,ViT-bigG-14,muraki2021
62,b,match,1.0,ViT-bigG-14,muraki2021
63,b,match,0.05496089160442352,ViT-bigG-14,muraki2021
64,b,match,1.3948892363493583e-34,ViT-bigG-14,muraki2021
65,b,match,0.9999998807907104,ViT-bigG-14,muraki2021
66,b,match,7.889879634603858e-05,ViT-bigG-14,muraki2021
67,b,match,7.241897800622022e-26,ViT-bigG-14,muraki2021
68,b,match,1.0,ViT-bigG-14,muraki2021
69,b,match,0.9976323843002319,ViT-bigG-14,muraki2021
