,sentence,match,probability,model,dataset
0,a,match,0.9882748126983643,ViT-B-32,pecher2006
1,a,match,0.25254136323928833,ViT-B-32,pecher2006
2,a,match,0.27738770842552185,ViT-B-32,pecher2006
3,a,match,0.3684282898902893,ViT-B-32,pecher2006
4,a,match,0.061305392533540726,ViT-B-32,pecher2006
5,a,match,0.9996541738510132,ViT-B-32,pecher2006
6,a,match,0.00867986585944891,ViT-B-32,pecher2006
7,a,match,0.10748925805091858,ViT-B-32,pecher2006
8,a,match,0.9571853876113892,ViT-B-32,pecher2006
9,a,match,0.6710349321365356,ViT-B-32,pecher2006
10,a,match,0.9789263606071472,ViT-B-32,pecher2006
11,a,match,0.993083119392395,ViT-B-32,pecher2006
12,a,match,0.5272608995437622,ViT-B-32,pecher2006
13,a,match,0.7267677783966064,ViT-B-32,pecher2006
14,a,match,0.6594222784042358,ViT-B-32,pecher2006
15,a,match,0.04160471260547638,ViT-B-32,pecher2006
16,a,match,0.04827486351132393,ViT-B-32,pecher2006
17,a,match,0.9024549126625061,ViT-B-32,pecher2006
18,a,match,0.4427230954170227,ViT-B-32,pecher2006
19,a,match,0.9772366285324097,ViT-B-32,pecher2006
20,a,match,0.9932964444160461,ViT-B-32,pecher2006
21,a,match,0.8646157383918762,ViT-B-32,pecher2006
22,a,match,0.04341346025466919,ViT-B-32,pecher2006
23,a,match,0.9962232112884521,ViT-B-32,pecher2006
24,a,match,0.00595474848523736,ViT-B-32,pecher2006
25,a,match,0.011481903493404388,ViT-B-32,pecher2006
26,a,match,0.06950559467077255,ViT-B-32,pecher2006
27,a,match,0.035269107669591904,ViT-B-32,pecher2006
28,a,match,0.6320725679397583,ViT-B-32,pecher2006
29,a,match,0.9961110949516296,ViT-B-32,pecher2006
30,a,match,0.6912214159965515,ViT-B-32,pecher2006
31,a,match,0.9998917579650879,ViT-B-32,pecher2006
32,a,match,0.3057301342487335,ViT-B-32,pecher2006
33,a,match,0.9834368228912354,ViT-B-32,pecher2006
34,a,match,0.7324755787849426,ViT-B-32,pecher2006
35,a,match,0.992408037185669,ViT-B-32,pecher2006
36,a,match,0.5231106281280518,ViT-B-32,pecher2006
37,a,match,0.8681215047836304,ViT-B-32,pecher2006
38,a,match,0.00116531562525779,ViT-B-32,pecher2006
39,a,match,0.44708919525146484,ViT-B-32,pecher2006
40,a,match,0.9947006702423096,ViT-B-32,pecher2006
41,a,match,0.9933947920799255,ViT-B-32,pecher2006
42,a,match,0.9950374960899353,ViT-B-32,pecher2006
43,a,match,0.9999995231628418,ViT-B-32,pecher2006
44,a,match,0.0024125436320900917,ViT-B-32,pecher2006
45,a,match,0.999187171459198,ViT-B-32,pecher2006
46,a,match,0.9889945387840271,ViT-B-32,pecher2006
47,a,match,0.8021620512008667,ViT-B-32,pecher2006
48,a,match,0.015027729794383049,ViT-B-32,pecher2006
49,a,match,0.9988791346549988,ViT-B-32,pecher2006
50,a,match,0.3833058178424835,ViT-B-32,pecher2006
51,a,match,0.8395929932594299,ViT-B-32,pecher2006
52,a,match,0.9751393795013428,ViT-B-32,pecher2006
53,a,match,0.029479624703526497,ViT-B-32,pecher2006
54,a,match,0.9994491934776306,ViT-B-32,pecher2006
55,a,match,0.9546769857406616,ViT-B-32,pecher2006
56,a,match,0.98777836561203,ViT-B-32,pecher2006
57,a,match,0.06744524836540222,ViT-B-32,pecher2006
58,a,match,0.4496966004371643,ViT-B-32,pecher2006
59,a,match,0.18185244500637054,ViT-B-32,pecher2006
60,a,mismatch,0.01172519102692604,ViT-B-32,pecher2006
61,a,mismatch,0.7474586367607117,ViT-B-32,pecher2006
62,a,mismatch,0.7226122617721558,ViT-B-32,pecher2006
63,a,mismatch,0.6315716505050659,ViT-B-32,pecher2006
64,a,mismatch,0.9386946558952332,ViT-B-32,pecher2006
65,a,mismatch,0.0003458003338892013,ViT-B-32,pecher2006
66,a,mismatch,0.9913200736045837,ViT-B-32,pecher2006
67,a,mismatch,0.8925107717514038,ViT-B-32,pecher2006
68,a,mismatch,0.04281457141041756,ViT-B-32,pecher2006
69,a,mismatch,0.32896506786346436,ViT-B-32,pecher2006
70,a,mismatch,0.021073665469884872,ViT-B-32,pecher2006
71,a,mismatch,0.006916914600878954,ViT-B-32,pecher2006
72,a,mismatch,0.4727391004562378,ViT-B-32,pecher2006
73,a,mismatch,0.27323225140571594,ViT-B-32,pecher2006
74,a,mismatch,0.3405776917934418,ViT-B-32,pecher2006
75,a,mismatch,0.9583953022956848,ViT-B-32,pecher2006
76,a,mismatch,0.9517251253128052,ViT-B-32,pecher2006
77,a,mismatch,0.09754510223865509,ViT-B-32,pecher2006
78,a,mismatch,0.5572769045829773,ViT-B-32,pecher2006
