,sentence,match,probability,model,dataset
0,a,match,0.9999961853027344,ViT-L-14-336,pecher2006
1,a,match,0.8051084280014038,ViT-L-14-336,pecher2006
2,a,match,0.004195463377982378,ViT-L-14-336,pecher2006
3,a,match,0.9725213050842285,ViT-L-14-336,pecher2006
4,a,match,0.02161920629441738,ViT-L-14-336,pecher2006
5,a,match,0.9999972581863403,ViT-L-14-336,pecher2006
6,a,match,8.760867586943277e-09,ViT-L-14-336,pecher2006
7,a,match,0.9785305857658386,ViT-L-14-336,pecher2006
8,a,match,0.9994803071022034,ViT-L-14-336,pecher2006
9,a,match,0.8781453371047974,ViT-L-14-336,pecher2006
10,a,match,0.9993402361869812,ViT-L-14-336,pecher2006
11,a,match,1.0,ViT-L-14-336,pecher2006
12,a,match,0.00024433108046650887,ViT-L-14-336,pecher2006
13,a,match,0.9847798943519592,ViT-L-14-336,pecher2006
14,a,match,0.9999996423721313,ViT-L-14-336,pecher2006
15,a,match,0.28919288516044617,ViT-L-14-336,pecher2006
16,a,match,0.8601393699645996,ViT-L-14-336,pecher2006
17,a,match,0.990266740322113,ViT-L-14-336,pecher2006
18,a,match,0.0017280244501307607,ViT-L-14-336,pecher2006
19,a,match,0.7612737417221069,ViT-L-14-336,pecher2006
20,a,match,1.0,ViT-L-14-336,pecher2006
21,a,match,0.9999568462371826,ViT-L-14-336,pecher2006
22,a,match,0.9970479607582092,ViT-L-14-336,pecher2006
23,a,match,0.9999996423721313,ViT-L-14-336,pecher2006
24,a,match,0.9404124617576599,ViT-L-14-336,pecher2006
25,a,match,0.0002510890772100538,ViT-L-14-336,pecher2006
26,a,match,0.002592557342723012,ViT-L-14-336,pecher2006
27,a,match,0.08625130355358124,ViT-L-14-336,pecher2006
28,a,match,1.0,ViT-L-14-336,pecher2006
29,a,match,0.9999418258666992,ViT-L-14-336,pecher2006
30,a,match,0.9999980926513672,ViT-L-14-336,pecher2006
31,a,match,1.0,ViT-L-14-336,pecher2006
32,a,match,0.11321869492530823,ViT-L-14-336,pecher2006
33,a,match,0.9997373223304749,ViT-L-14-336,pecher2006
34,a,match,0.07519125193357468,ViT-L-14-336,pecher2006
35,a,match,0.9999992847442627,ViT-L-14-336,pecher2006
36,a,match,0.5379669666290283,ViT-L-14-336,pecher2006
37,a,match,0.5918467044830322,ViT-L-14-336,pecher2006
38,a,match,9.79233250042455e-10,ViT-L-14-336,pecher2006
39,a,match,0.07245319336652756,ViT-L-14-336,pecher2006
40,a,match,0.9905999898910522,ViT-L-14-336,pecher2006
41,a,match,1.0,ViT-L-14-336,pecher2006
42,a,match,0.9999998807907104,ViT-L-14-336,pecher2006
43,a,match,1.0,ViT-L-14-336,pecher2006
44,a,match,0.00019381580932531506,ViT-L-14-336,pecher2006
45,a,match,0.9999994039535522,ViT-L-14-336,pecher2006
46,a,match,0.000311885291012004,ViT-L-14-336,pecher2006
47,a,match,0.9999998807907104,ViT-L-14-336,pecher2006
48,a,match,0.99997878074646,ViT-L-14-336,pecher2006
49,a,match,1.0,ViT-L-14-336,pecher2006
50,a,match,0.9963046312332153,ViT-L-14-336,pecher2006
51,a,match,0.99962317943573,ViT-L-14-336,pecher2006
52,a,match,0.9999722242355347,ViT-L-14-336,pecher2006
53,a,match,1.9370651749284207e-09,ViT-L-14-336,pecher2006
54,a,match,1.0,ViT-L-14-336,pecher2006
55,a,match,0.7204189896583557,ViT-L-14-336,pecher2006
56,a,match,0.9866505861282349,ViT-L-14-336,pecher2006
57,a,match,0.5211256146430969,ViT-L-14-336,pecher2006
58,a,match,0.08467529714107513,ViT-L-14-336,pecher2006
59,a,match,2.591795009720954e-07,ViT-L-14-336,pecher2006
60,a,mismatch,3.7782992876600474e-06,ViT-L-14-336,pecher2006
61,a,mismatch,0.19489163160324097,ViT-L-14-336,pecher2006
62,a,mismatch,0.9958046078681946,ViT-L-14-336,pecher2006
63,a,mismatch,0.0274786539375782,ViT-L-14-336,pecher2006
64,a,mismatch,0.9783808588981628,ViT-L-14-336,pecher2006
65,a,mismatch,2.7060370939580025e-06,ViT-L-14-336,pecher2006
66,a,mismatch,1.0,ViT-L-14-336,pecher2006
67,a,mismatch,0.0214694757014513,ViT-L-14-336,pecher2006
68,a,mismatch,0.0005197565187700093,ViT-L-14-336,pecher2006
69,a,mismatch,0.12185464054346085,ViT-L-14-336,pecher2006
70,a,mismatch,0.0006597343599423766,ViT-L-14-336,pecher2006
71,a,mismatch,1.9461139297294316e-11,ViT-L-14-336,pecher2006
72,a,mismatch,0.9997556805610657,ViT-L-14-336,pecher2006
73,a,mismatch,0.01522012148052454,ViT-L-14-336,pecher2006
74,a,mismatch,3.949512858980597e-07,ViT-L-14-336,pecher2006
75,a,mismatch,0.7108071446418762,ViT-L-14-336,pecher2006
76,a,mismatch,0.139860600233078,ViT-L-14-336,pecher2006
77,a,mismatch,0.009733226150274277,ViT-L-14-336,pecher2006
78,a,mismatch,0.9982719421386719,ViT-L-14-336,pecher2006
79,a,mismatch,0.23872624337673187,ViT-L-14-336,pecher2006
80,a,mismatch,1.3419984795735168e-13,ViT-L-14-336,pecher2006
81,a,mismatch,4.317074126447551e-05,ViT-L-14-336,pecher2006
82,a,mismatch,0.0029521037358790636,ViT-L-14-336,pecher2006
83,a,mismatch,3.7302908140190993e-07,ViT-L-14-336,pecher2006
84,a,mismatch,0.05958748981356621,ViT-L-14-336,pecher2006
85,a,mismatch,0.9997488856315613,ViT-L-14-336,pecher2006
86,a,mismatch,0.9974074959754944,ViT-L-14-336,pecher2006
87,a,mismatch,0.9137487411499023,ViT-L-14-336,pecher2006
88,a,mismatch,4.3950834638373237e-10,ViT-L-14-336,pecher2006
89,a,mismatch,5.819107173010707e-05,ViT-L-14-336,pecher2006
90,a,mismatch,1.9464494016574463e-06,ViT-L-14-336,pecher2006
91,a,mismatch,1.0300102242476183e-13,ViT-L-14-336,pecher2006
92,a,mismatch,0.8867813348770142,ViT-L-14-336,pecher2006
93,a,mismatch,0.0002626827626954764,ViT-L-14-336,pecher2006
94,a,mismatch,0.9248087406158447,ViT-L-14-336,pecher2006
95,a,mismatch,7.206797931758047e-07,ViT-L-14-336,pecher2006
96,a,mismatch,0.46203309297561646,ViT-L-14-336,pecher2006
97,a,mismatch,0.408153235912323,ViT-L-14-336,pecher2006
98,a,mismatch,1.0,ViT-L-14-336,pecher2006
99,a,mismatch,0.9275467991828918,ViT-L-14-336,pecher2006
100,a,mismatch,0.00940000731498003,ViT-L-14-336,pecher2006
101,a,mismatch,2.0155417813615156e-18,ViT-L-14-336,pecher2006
102,a,mismatch,1.4210753818133526e-07,ViT-L-14-336,pecher2006
103,a,mismatch,2.4051035661781603e-17,ViT-L-14-336,pecher2006
104,a,mismatch,0.9998062252998352,ViT-L-14-336,pecher2006
105,a,mismatch,5.528131623577792e-07,ViT-L-14-336,pecher2006
106,a,mismatch,0.9996881484985352,ViT-L-14-336,pecher2006
107,a,mismatch,6.2427481850591e-08,ViT-L-14-336,pecher2006
108,a,mismatch,2.1276931875036098e-05,ViT-L-14-336,pecher2006
109,a,mismatch,1.5917104079221644e-08,ViT-L-14-336,pecher2006
110,a,mismatch,0.003695422550663352,ViT-L-14-336,pecher2006
111,a,mismatch,0.0003767468442674726,ViT-L-14-336,pecher2006
112,a,mismatch,2.7731648515327834e-05,ViT-L-14-336,pecher2006
113,a,mismatch,1.0,ViT-L-14-336,pecher2006
114,a,mismatch,1.696956377500447e-13,ViT-L-14-336,pecher2006
115,a,mismatch,0.2795810103416443,ViT-L-14-336,pecher2006
116,a,mismatch,0.013349443674087524,ViT-L-14-336,pecher2006
117,a,mismatch,0.4788743853569031,ViT-L-14-336,pecher2006
118,a,mismatch,0.9153247475624084,ViT-L-14-336,pecher2006
119,a,mismatch,0.9999997615814209,ViT-L-14-336,pecher2006
120,b,match,0.0004257443069946021,ViT-L-14-336,pecher2006
121,b,match,0.9387103915214539,ViT-L-14-336,pecher2006
122,b,match,0.9998925924301147,ViT-L-14-336,pecher2006
123,b,match,2.21677400986664e-05,ViT-L-14-336,pecher2006
124,b,match,0.9917904138565063,ViT-L-14-336,pecher2006
125,b,match,0.0002234368002973497,ViT-L-14-336,pecher2006
126,b,match,0.9999998807907104,ViT-L-14-336,pecher2006
127,b,match,0.8732410073280334,ViT-L-14-336,pecher2006
128,b,match,0.11619634181261063,ViT-L-14-336,pecher2006
129,b,match,0.0907430425286293,ViT-L-14-336,pecher2006
130,b,match,0.9993342757225037,ViT-L-14-336,pecher2006
131,b,match,6.570832056240761e-08,ViT-L-14-336,pecher2006
132,b,match,0.9953888654708862,ViT-L-14-336,pecher2006
133,b,match,0.48267868161201477,ViT-L-14-336,pecher2006
134,b,match,0.5558326840400696,ViT-L-14-336,pecher2006
135,b,match,0.2951045334339142,ViT-L-14-336,pecher2006
136,b,match,0.8529440760612488,ViT-L-14-336,pecher2006
137,b,match,0.9951209425926208,ViT-L-14-336,pecher2006
138,b,match,0.9999895095825195,ViT-L-14-336,pecher2006
139,b,match,0.7516054511070251,ViT-L-14-336,pecher2006
140,b,match,6.185708056882788e-10,ViT-L-14-336,pecher2006
141,b,match,2.1617346646962687e-05,ViT-L-14-336,pecher2006
142,b,match,0.9842205047607422,ViT-L-14-336,pecher2006
143,b,match,0.00011890854511875659,ViT-L-14-336,pecher2006
144,b,match,0.5173755884170532,ViT-L-14-336,pecher2006
145,b,match,0.9981532692909241,ViT-L-14-336,pecher2006
146,b,match,0.999996542930603,ViT-L-14-336,pecher2006
147,b,match,0.8981271386146545,ViT-L-14-336,pecher2006
148,b,match,9.488587693340378e-11,ViT-L-14-336,pecher2006
149,b,match,8.585979230701923e-05,ViT-L-14-336,pecher2006
150,b,match,0.904597818851471,ViT-L-14-336,pecher2006
151,b,match,6.98177843663772e-12,ViT-L-14-336,pecher2006
152,b,match,0.9999233484268188,ViT-L-14-336,pecher2006
153,b,match,0.23681670427322388,ViT-L-14-336,pecher2006
154,b,match,0.9902207851409912,ViT-L-14-336,pecher2006
155,b,match,0.8638579845428467,ViT-L-14-336,pecher2006
156,b,match,0.9750522971153259,ViT-L-14-336,pecher2006
157,b,match,0.9999991655349731,ViT-L-14-336,pecher2006
158,b,match,1.0,ViT-L-14-336,pecher2006
159,b,match,0.9999828338623047,ViT-L-14-336,pecher2006
160,b,match,0.9441049695014954,ViT-L-14-336,pecher2006
161,b,match,3.357862761715208e-13,ViT-L-14-336,pecher2006
162,b,match,2.997487342781824e-07,ViT-L-14-336,pecher2006
163,b,match,1.2145419083431017e-14,ViT-L-14-336,pecher2006
164,b,match,0.9999980926513672,ViT-L-14-336,pecher2006
165,b,match,0.004546210635453463,ViT-L-14-336,pecher2006
166,b,match,0.9999966621398926,ViT-L-14-336,pecher2006
167,b,match,0.4082869291305542,ViT-L-14-336,pecher2006
168,b,match,0.998764157295227,ViT-L-14-336,pecher2006
169,b,match,1.7784529404707428e-09,ViT-L-14-336,pecher2006
170,b,match,0.1666017770767212,ViT-L-14-336,pecher2006
171,b,match,0.7320040464401245,ViT-L-14-336,pecher2006
172,b,match,9.476151717535686e-06,ViT-L-14-336,pecher2006
173,b,match,1.0,ViT-L-14-336,pecher2006
174,b,match,5.085405620913752e-12,ViT-L-14-336,pecher2006
175,b,match,0.9949821829795837,ViT-L-14-336,pecher2006
176,b,match,0.0009669399005360901,ViT-L-14-336,pecher2006
177,b,match,0.8066611289978027,ViT-L-14-336,pecher2006
178,b,match,0.944070041179657,ViT-L-14-336,pecher2006
179,b,match,1.0,ViT-L-14-336,pecher2006
180,b,mismatch,0.9995742440223694,ViT-L-14-336,pecher2006
181,b,mismatch,0.06128958612680435,ViT-L-14-336,pecher2006
182,b,mismatch,0.00010738519631559029,ViT-L-14-336,pecher2006
183,b,mismatch,0.9999778270721436,ViT-L-14-336,pecher2006
184,b,mismatch,0.008209623396396637,ViT-L-14-336,pecher2006
185,b,mismatch,0.9997765421867371,ViT-L-14-336,pecher2006
186,b,mismatch,6.32248315923789e-08,ViT-L-14-336,pecher2006
187,b,mismatch,0.12675899267196655,ViT-L-14-336,pecher2006
188,b,mismatch,0.8838036060333252,ViT-L-14-336,pecher2006
189,b,mismatch,0.9092569351196289,ViT-L-14-336,pecher2006
190,b,mismatch,0.0006656407495029271,ViT-L-14-336,pecher2006
191,b,mismatch,0.9999998807907104,ViT-L-14-336,pecher2006
192,b,mismatch,0.004611147567629814,ViT-L-14-336,pecher2006
193,b,mismatch,0.5173213481903076,ViT-L-14-336,pecher2006
194,b,mismatch,0.44416728615760803,ViT-L-14-336,pecher2006
195,b,mismatch,0.7048954963684082,ViT-L-14-336,pecher2006
196,b,mismatch,0.14705590903759003,ViT-L-14-336,pecher2006
197,b,mismatch,0.004879034589976072,ViT-L-14-336,pecher2006
198,b,mismatch,1.0514651876292191e-05,ViT-L-14-336,pecher2006
199,b,mismatch,0.24839457869529724,ViT-L-14-336,pecher2006
200,b,mismatch,1.0,ViT-L-14-336,pecher2006
201,b,mismatch,0.9999784231185913,ViT-L-14-336,pecher2006
202,b,mismatch,0.015779463574290276,ViT-L-14-336,pecher2006
203,b,mismatch,0.9998810291290283,ViT-L-14-336,pecher2006
204,b,mismatch,0.482624351978302,ViT-L-14-336,pecher2006
205,b,mismatch,0.0018467552727088332,ViT-L-14-336,pecher2006
206,b,mismatch,3.4525005503383e-06,ViT-L-14-336,pecher2006
207,b,mismatch,0.10187284648418427,ViT-L-14-336,pecher2006
208,b,mismatch,1.0,ViT-L-14-336,pecher2006
209,b,mismatch,0.9999141693115234,ViT-L-14-336,pecher2006
210,b,mismatch,0.09540211409330368,ViT-L-14-336,pecher2006
211,b,mismatch,1.0,ViT-L-14-336,pecher2006
212,b,mismatch,7.670026388950646e-05,ViT-L-14-336,pecher2006
213,b,mismatch,0.7631832957267761,ViT-L-14-336,pecher2006
214,b,mismatch,0.009779183194041252,ViT-L-14-336,pecher2006
215,b,mismatch,0.13614203035831451,ViT-L-14-336,pecher2006
216,b,mismatch,0.024947674944996834,ViT-L-14-336,pecher2006
217,b,mismatch,7.923818543531524e-07,ViT-L-14-336,pecher2006
218,b,mismatch,1.2727089347686071e-12,ViT-L-14-336,pecher2006
219,b,mismatch,1.7133646906586364e-05,ViT-L-14-336,pecher2006
220,b,mismatch,0.05589495971798897,ViT-L-14-336,pecher2006
221,b,mismatch,1.0,ViT-L-14-336,pecher2006
222,b,mismatch,0.9999996423721313,ViT-L-14-336,pecher2006
223,b,mismatch,1.0,ViT-L-14-336,pecher2006
224,b,mismatch,1.8539242319093319e-06,ViT-L-14-336,pecher2006
225,b,mismatch,0.9954537153244019,ViT-L-14-336,pecher2006
226,b,mismatch,3.3451171930209966e-06,ViT-L-14-336,pecher2006
227,b,mismatch,0.5917131304740906,ViT-L-14-336,pecher2006
228,b,mismatch,0.001235826755873859,ViT-L-14-336,pecher2006
229,b,mismatch,1.0,ViT-L-14-336,pecher2006
230,b,mismatch,0.8333982229232788,ViT-L-14-336,pecher2006
231,b,mismatch,0.2679959535598755,ViT-L-14-336,pecher2006
232,b,mismatch,0.9999905824661255,ViT-L-14-336,pecher2006
233,b,mismatch,4.0690717462155135e-09,ViT-L-14-336,pecher2006
234,b,mismatch,1.0,ViT-L-14-336,pecher2006
235,b,mismatch,0.005017835181206465,ViT-L-14-336,pecher2006
236,b,mismatch,0.9990330934524536,ViT-L-14-336,pecher2006
237,b,mismatch,0.19333887100219727,ViT-L-14-336,pecher2006
238,b,mismatch,0.0559300035238266,ViT-L-14-336,pecher2006
239,b,mismatch,8.349416269481935e-09,ViT-L-14-336,pecher2006
