,sentence,match,probability,model,dataset
0,a,match,0.9963387250900269,ViT-L-14,pecher2006
1,a,match,0.00038829114055261016,ViT-L-14,pecher2006
2,a,match,0.9995369911193848,ViT-L-14,pecher2006
3,a,match,0.9999202489852905,ViT-L-14,pecher2006
4,a,match,0.99064040184021,ViT-L-14,pecher2006
5,a,match,1.0,ViT-L-14,pecher2006
6,a,match,4.2239703401669715e-10,ViT-L-14,pecher2006
7,a,match,0.001614370383322239,ViT-L-14,pecher2006
8,a,match,0.9999094009399414,ViT-L-14,pecher2006
9,a,match,2.4455910534015857e-05,ViT-L-14,pecher2006
10,a,match,0.9999996423721313,ViT-L-14,pecher2006
11,a,match,1.0,ViT-L-14,pecher2006
12,a,match,0.0006564828800037503,ViT-L-14,pecher2006
13,a,match,0.9994828701019287,ViT-L-14,pecher2006
14,a,match,1.0,ViT-L-14,pecher2006
15,a,match,0.0021638718899339437,ViT-L-14,pecher2006
16,a,match,0.005479056388139725,ViT-L-14,pecher2006
17,a,match,0.055765263736248016,ViT-L-14,pecher2006
18,a,match,0.9998986721038818,ViT-L-14,pecher2006
19,a,match,0.9569202661514282,ViT-L-14,pecher2006
20,a,match,1.0,ViT-L-14,pecher2006
21,a,match,0.9922823309898376,ViT-L-14,pecher2006
22,a,match,0.016312621533870697,ViT-L-14,pecher2006
23,a,match,1.0,ViT-L-14,pecher2006
24,a,match,0.9991058707237244,ViT-L-14,pecher2006
25,a,match,9.552083213293372e-08,ViT-L-14,pecher2006
26,a,match,2.8367512783233906e-08,ViT-L-14,pecher2006
27,a,match,7.109474675637273e-10,ViT-L-14,pecher2006
28,a,match,1.0,ViT-L-14,pecher2006
29,a,match,1.0,ViT-L-14,pecher2006
30,a,match,1.0,ViT-L-14,pecher2006
31,a,match,1.0,ViT-L-14,pecher2006
32,a,match,7.693488028045299e-16,ViT-L-14,pecher2006
33,a,match,0.0008414932526648045,ViT-L-14,pecher2006
34,a,match,0.01895085535943508,ViT-L-14,pecher2006
35,a,match,0.9999856948852539,ViT-L-14,pecher2006
36,a,match,0.9999855756759644,ViT-L-14,pecher2006
37,a,match,0.25167858600616455,ViT-L-14,pecher2006
38,a,match,6.138770345387456e-07,ViT-L-14,pecher2006
39,a,match,0.3422468602657318,ViT-L-14,pecher2006
40,a,match,1.0,ViT-L-14,pecher2006
41,a,match,1.0,ViT-L-14,pecher2006
42,a,match,0.9999991655349731,ViT-L-14,pecher2006
43,a,match,1.0,ViT-L-14,pecher2006
