,sentence,match,probability,model,dataset
0,a,match,1.0,ViT-g-14,pecher2006
1,a,match,0.9870238304138184,ViT-g-14,pecher2006
2,a,match,1.0,ViT-g-14,pecher2006
3,a,match,0.9999998807907104,ViT-g-14,pecher2006
4,a,match,2.0530532135465407e-11,ViT-g-14,pecher2006
5,a,match,1.0,ViT-g-14,pecher2006
6,a,match,3.133742448656426e-21,ViT-g-14,pecher2006
7,a,match,1.6268016267417806e-08,ViT-g-14,pecher2006
8,a,match,1.0,ViT-g-14,pecher2006
9,a,match,0.9999996423721313,ViT-g-14,pecher2006
10,a,match,1.0,ViT-g-14,pecher2006
11,a,match,1.0,ViT-g-14,pecher2006
12,a,match,1.6721926541732844e-18,ViT-g-14,pecher2006
13,a,match,1.0,ViT-g-14,pecher2006
14,a,match,1.0,ViT-g-14,pecher2006
15,a,match,6.637406596565754e-11,ViT-g-14,pecher2006
16,a,match,1.0,ViT-g-14,pecher2006
17,a,match,1.0,ViT-g-14,pecher2006
18,a,match,4.422126949066296e-05,ViT-g-14,pecher2006
19,a,match,1.0,ViT-g-14,pecher2006
20,a,match,1.0,ViT-g-14,pecher2006
21,a,match,0.9984167814254761,ViT-g-14,pecher2006
22,a,match,0.695735514163971,ViT-g-14,pecher2006
23,a,match,1.0,ViT-g-14,pecher2006
24,a,match,0.9916830062866211,ViT-g-14,pecher2006
25,a,match,4.369396265246905e-06,ViT-g-14,pecher2006
26,a,match,7.266658212756738e-05,ViT-g-14,pecher2006
27,a,match,8.886288697341706e-37,ViT-g-14,pecher2006
28,a,match,0.9982526898384094,ViT-g-14,pecher2006
29,a,match,1.0,ViT-g-14,pecher2006
30,a,match,0.3856295347213745,ViT-g-14,pecher2006
31,a,match,1.0,ViT-g-14,pecher2006
32,a,match,8.181417349151232e-12,ViT-g-14,pecher2006
33,a,match,0.9999998807907104,ViT-g-14,pecher2006
34,a,match,0.2720547914505005,ViT-g-14,pecher2006
35,a,match,1.0,ViT-g-14,pecher2006
36,a,match,1.0,ViT-g-14,pecher2006
37,a,match,0.08738844841718674,ViT-g-14,pecher2006
38,a,match,7.033537381985554e-41,ViT-g-14,pecher2006
39,a,match,0.0008994451491162181,ViT-g-14,pecher2006
40,a,match,1.0,ViT-g-14,pecher2006
41,a,match,1.0,ViT-g-14,pecher2006
42,a,match,1.0,ViT-g-14,pecher2006
43,a,match,1.0,ViT-g-14,pecher2006
44,a,match,8.501306325570113e-09,ViT-g-14,pecher2006
45,a,match,1.0,ViT-g-14,pecher2006
46,a,match,1.5814750620180007e-09,ViT-g-14,pecher2006
47,a,match,1.0,ViT-g-14,pecher2006
48,a,match,0.999980092048645,ViT-g-14,pecher2006
49,a,match,1.0,ViT-g-14,pecher2006
50,a,match,1.0,ViT-g-14,pecher2006
51,a,match,1.0,ViT-g-14,pecher2006
52,a,match,1.0,ViT-g-14,pecher2006
53,a,match,2.7534258507220566e-34,ViT-g-14,pecher2006
54,a,match,1.0,ViT-g-14,pecher2006
55,a,match,0.9992682337760925,ViT-g-14,pecher2006
56,a,match,1.0,ViT-g-14,pecher2006
57,a,match,0.7931084632873535,ViT-g-14,pecher2006
58,a,match,1.2162979601271218e-06,ViT-g-14,pecher2006
59,a,match,3.5150237692977585e-29,ViT-g-14,pecher2006
60,a,mismatch,3.6329710404198516e-22,ViT-g-14,pecher2006
61,a,mismatch,0.012976150028407574,ViT-g-14,pecher2006
62,a,mismatch,4.6271020390507915e-19,ViT-g-14,pecher2006
63,a,mismatch,1.0060301747216727e-07,ViT-g-14,pecher2006
64,a,mismatch,1.0,ViT-g-14,pecher2006
65,a,mismatch,1.2730089397133926e-36,ViT-g-14,pecher2006
66,a,mismatch,1.0,ViT-g-14,pecher2006
67,a,mismatch,1.0,ViT-g-14,pecher2006
68,a,mismatch,7.475589564693783e-14,ViT-g-14,pecher2006
69,a,mismatch,3.8400068547161936e-07,ViT-g-14,pecher2006
70,a,mismatch,1.2687707575713349e-15,ViT-g-14,pecher2006
71,a,mismatch,0.0,ViT-g-14,pecher2006
72,a,mismatch,1.0,ViT-g-14,pecher2006
73,a,mismatch,1.712713324842404e-14,ViT-g-14,pecher2006
74,a,mismatch,8.623935170582603e-14,ViT-g-14,pecher2006
75,a,mismatch,1.0,ViT-g-14,pecher2006
76,a,mismatch,5.649017711939486e-11,ViT-g-14,pecher2006
77,a,mismatch,6.638586165161331e-14,ViT-g-14,pecher2006
78,a,mismatch,0.9999557733535767,ViT-g-14,pecher2006
79,a,mismatch,6.084533571426576e-11,ViT-g-14,pecher2006
80,a,mismatch,1.2118891547974245e-38,ViT-g-14,pecher2006
81,a,mismatch,0.0015832583885639906,ViT-g-14,pecher2006
82,a,mismatch,0.30426451563835144,ViT-g-14,pecher2006
83,a,mismatch,4.7458743182678665e-19,ViT-g-14,pecher2006
84,a,mismatch,0.008317036554217339,ViT-g-14,pecher2006
85,a,mismatch,0.9999955892562866,ViT-g-14,pecher2006
86,a,mismatch,0.999927282333374,ViT-g-14,pecher2006
87,a,mismatch,1.0,ViT-g-14,pecher2006
