,relationships,prompt_type,probability,group_id,model,dataset
0,afforded,explicit,0.0005942828138358891,1,ViT-B-32,natural
1,afforded,explicit,0.9852794408798218,2,ViT-B-32,natural
2,afforded,explicit,0.48314496874809265,3,ViT-B-32,natural
3,afforded,explicit,0.07225757837295532,4,ViT-B-32,natural
4,afforded,explicit,0.7579158544540405,5,ViT-B-32,natural
5,afforded,explicit,0.12146474421024323,6,ViT-B-32,natural
6,afforded,explicit,0.006543757859617472,7,ViT-B-32,natural
7,afforded,explicit,0.8098029494285583,8,ViT-B-32,natural
8,afforded,explicit,0.6104217171669006,9,ViT-B-32,natural
9,afforded,explicit,0.8257591128349304,10,ViT-B-32,natural
10,afforded,explicit,0.995424211025238,11,ViT-B-32,natural
11,afforded,explicit,0.133657306432724,12,ViT-B-32,natural
12,afforded,explicit,0.3884689509868622,13,ViT-B-32,natural
13,afforded,explicit,0.934018611907959,14,ViT-B-32,natural
14,afforded,explicit,0.9959884285926819,15,ViT-B-32,natural
15,afforded,explicit,0.008802675642073154,16,ViT-B-32,natural
16,afforded,explicit,0.022844111546874046,17,ViT-B-32,natural
17,afforded,explicit,0.20840145647525787,18,ViT-B-32,natural
18,afforded,implicit,7.386849756585434e-05,19,ViT-B-32,natural
19,afforded,implicit,0.9948348999023438,20,ViT-B-32,natural
20,afforded,implicit,0.47641241550445557,21,ViT-B-32,natural
21,afforded,implicit,0.14581288397312164,22,ViT-B-32,natural
22,afforded,implicit,0.8144018650054932,23,ViT-B-32,natural
23,afforded,implicit,0.13668151199817657,24,ViT-B-32,natural
24,afforded,implicit,0.017171073704957962,25,ViT-B-32,natural
25,afforded,implicit,0.9949041604995728,26,ViT-B-32,natural
26,afforded,implicit,0.2699623107910156,27,ViT-B-32,natural
27,afforded,implicit,0.9769585728645325,28,ViT-B-32,natural
28,afforded,implicit,0.9880319833755493,29,ViT-B-32,natural
29,afforded,implicit,0.5403321981430054,30,ViT-B-32,natural
30,afforded,implicit,0.040039241313934326,31,ViT-B-32,natural
31,afforded,implicit,0.8816156983375549,32,ViT-B-32,natural
32,afforded,implicit,0.9988625049591064,33,ViT-B-32,natural
33,afforded,implicit,0.0054463837295770645,34,ViT-B-32,natural
34,afforded,implicit,0.0363534577190876,35,ViT-B-32,natural
35,afforded,implicit,0.06530323624610901,36,ViT-B-32,natural
36,non_afforded,explicit,0.9994057416915894,1,ViT-B-32,natural
37,non_afforded,explicit,0.014720560982823372,2,ViT-B-32,natural
38,non_afforded,explicit,0.5168550610542297,3,ViT-B-32,natural
39,non_afforded,explicit,0.9277424216270447,4,ViT-B-32,natural
40,non_afforded,explicit,0.24208419024944305,5,ViT-B-32,natural
41,non_afforded,explicit,0.878535270690918,6,ViT-B-32,natural
42,non_afforded,explicit,0.9934561848640442,7,ViT-B-32,natural
43,non_afforded,explicit,0.19019702076911926,8,ViT-B-32,natural
44,non_afforded,explicit,0.38957831263542175,9,ViT-B-32,natural
45,non_afforded,explicit,0.17424088716506958,10,ViT-B-32,natural
46,non_afforded,explicit,0.004575744736939669,11,ViT-B-32,natural
47,non_afforded,explicit,0.8663426637649536,12,ViT-B-32,natural
48,non_afforded,explicit,0.6115310788154602,13,ViT-B-32,natural
49,non_afforded,explicit,0.06598138809204102,14,ViT-B-32,natural
50,non_afforded,explicit,0.004011546261608601,15,ViT-B-32,natural
51,non_afforded,explicit,0.9911973476409912,16,ViT-B-32,natural
52,non_afforded,explicit,0.9771559238433838,17,ViT-B-32,natural
53,non_afforded,explicit,0.7915985584259033,18,ViT-B-32,natural
54,non_afforded,implicit,0.9999260902404785,19,ViT-B-32,natural
55,non_afforded,implicit,0.005165128502994776,20,ViT-B-32,natural
56,non_afforded,implicit,0.5235875844955444,21,ViT-B-32,natural
57,non_afforded,implicit,0.8541871309280396,22,ViT-B-32,natural
58,non_afforded,implicit,0.18559809029102325,23,ViT-B-32,natural
59,non_afforded,implicit,0.8633184432983398,24,ViT-B-32,natural
60,non_afforded,implicit,0.9828289151191711,25,ViT-B-32,natural
61,non_afforded,implicit,0.00509584229439497,26,ViT-B-32,natural
62,non_afforded,implicit,0.7300377488136292,27,ViT-B-32,natural
63,non_afforded,implicit,0.023041406646370888,28,ViT-B-32,natural
64,non_afforded,implicit,0.01196795143187046,29,ViT-B-32,natural
65,non_afforded,implicit,0.45966774225234985,30,ViT-B-32,natural
66,non_afforded,implicit,0.9599608182907104,31,ViT-B-32,natural
67,non_afforded,implicit,0.11838430166244507,32,ViT-B-32,natural
68,non_afforded,implicit,0.0011375605827197433,33,ViT-B-32,natural
69,non_afforded,implicit,0.9945535659790039,34,ViT-B-32,natural
70,non_afforded,implicit,0.9636465907096863,35,ViT-B-32,natural
71,non_afforded,implicit,0.9346967339515686,36,ViT-B-32,natural
