,relationships,prompt_type,probability,group_id,model,dataset
0,related,explicit,0.4639667272567749,1,imagebind,natural
1,related,explicit,0.9898586869239807,2,imagebind,natural
2,related,explicit,0.96959388256073,3,imagebind,natural
3,related,explicit,0.9999986886978149,4,imagebind,natural
4,related,explicit,0.11216896772384644,5,imagebind,natural
5,related,explicit,0.0021761960815638304,6,imagebind,natural
6,related,explicit,0.02247355692088604,7,imagebind,natural
7,related,explicit,0.0010592459002509713,8,imagebind,natural
8,related,explicit,0.9640915989875793,9,imagebind,natural
9,related,explicit,1.0,10,imagebind,natural
10,related,explicit,0.9991458654403687,11,imagebind,natural
11,related,explicit,0.23566794395446777,12,imagebind,natural
12,related,explicit,0.002950926311314106,13,imagebind,natural
13,related,explicit,0.9998867511749268,14,imagebind,natural
14,related,explicit,0.9999980926513672,15,imagebind,natural
15,related,explicit,0.03726169466972351,16,imagebind,natural
16,related,explicit,0.9986761212348938,17,imagebind,natural
17,related,explicit,0.15977764129638672,18,imagebind,natural
18,related,implicit,0.9841920137405396,19,imagebind,natural
19,related,implicit,0.9956436157226562,20,imagebind,natural
20,related,implicit,0.9744598269462585,21,imagebind,natural
21,related,implicit,0.9999995231628418,22,imagebind,natural
22,related,implicit,0.7611600756645203,23,imagebind,natural
23,related,implicit,0.003944499883800745,24,imagebind,natural
24,related,implicit,0.17055644094944,25,imagebind,natural
25,related,implicit,0.00207847380079329,26,imagebind,natural
26,related,implicit,0.7658511400222778,27,imagebind,natural
27,related,implicit,1.0,28,imagebind,natural
28,related,implicit,0.9993759989738464,29,imagebind,natural
29,related,implicit,0.814812958240509,30,imagebind,natural
30,related,implicit,0.00030119300936348736,31,imagebind,natural
31,related,implicit,0.999977707862854,32,imagebind,natural
32,related,implicit,0.9999922513961792,33,imagebind,natural
33,related,implicit,0.020590873435139656,34,imagebind,natural
34,related,implicit,0.9996778964996338,35,imagebind,natural
35,related,implicit,0.5126789212226868,36,imagebind,natural
36,non_afforded,explicit,0.5360332727432251,1,imagebind,natural
37,non_afforded,explicit,0.010141328908503056,2,imagebind,natural
38,non_afforded,explicit,0.030406197533011436,3,imagebind,natural
39,non_afforded,explicit,1.2785236549461843e-06,4,imagebind,natural
40,non_afforded,explicit,0.8878310918807983,5,imagebind,natural
41,non_afforded,explicit,0.9978238344192505,6,imagebind,natural
42,non_afforded,explicit,0.9775264263153076,7,imagebind,natural
43,non_afforded,explicit,0.9989407658576965,8,imagebind,natural
44,non_afforded,explicit,0.035908401012420654,9,imagebind,natural
45,non_afforded,explicit,8.892825142936545e-09,10,imagebind,natural
46,non_afforded,explicit,0.0008540874696336687,11,imagebind,natural
47,non_afforded,explicit,0.7643320560455322,12,imagebind,natural
48,non_afforded,explicit,0.9970491528511047,13,imagebind,natural
49,non_afforded,explicit,0.00011322185309836641,14,imagebind,natural
50,non_afforded,explicit,1.9563983642001403e-06,15,imagebind,natural
51,non_afforded,explicit,0.9627382755279541,16,imagebind,natural
52,non_afforded,explicit,0.0013238618848845363,17,imagebind,natural
53,non_afforded,explicit,0.8402223587036133,18,imagebind,natural
54,non_afforded,implicit,0.01580803282558918,19,imagebind,natural
55,non_afforded,implicit,0.004356344696134329,20,imagebind,natural
56,non_afforded,implicit,0.025540191680192947,21,imagebind,natural
57,non_afforded,implicit,5.044195745540492e-07,22,imagebind,natural
58,non_afforded,implicit,0.23883996903896332,23,imagebind,natural
59,non_afforded,implicit,0.9960554838180542,24,imagebind,natural
60,non_afforded,implicit,0.8294435739517212,25,imagebind,natural
61,non_afforded,implicit,0.9979215264320374,26,imagebind,natural
62,non_afforded,implicit,0.2341488152742386,27,imagebind,natural
63,non_afforded,implicit,2.2342820926724016e-09,28,imagebind,natural
64,non_afforded,implicit,0.0006240800721570849,29,imagebind,natural
65,non_afforded,implicit,0.18518705666065216,30,imagebind,natural
66,non_afforded,implicit,0.9996988773345947,31,imagebind,natural
67,non_afforded,implicit,2.2348740458255634e-05,32,imagebind,natural
68,non_afforded,implicit,7.766774615447503e-06,33,imagebind,natural
69,non_afforded,implicit,0.9794091582298279,34,imagebind,natural
70,non_afforded,implicit,0.00032213141093961895,35,imagebind,natural
71,non_afforded,implicit,0.487321138381958,36,imagebind,natural
