,relationships,prompt_type,probability,group_id,model,dataset
0,afforded,explicit,1.0,1,ViT-L-14-336,synthetic
1,afforded,explicit,0.9999998807907104,2,ViT-L-14-336,synthetic
2,afforded,explicit,0.9777113795280457,3,ViT-L-14-336,synthetic
3,afforded,explicit,0.8050704002380371,4,ViT-L-14-336,synthetic
4,afforded,explicit,0.5555859804153442,5,ViT-L-14-336,synthetic
5,afforded,explicit,0.0002703427744563669,6,ViT-L-14-336,synthetic
6,afforded,explicit,2.0904214181882708e-07,7,ViT-L-14-336,synthetic
7,afforded,explicit,0.0003099159512203187,8,ViT-L-14-336,synthetic
8,afforded,explicit,0.00011671171523630619,9,ViT-L-14-336,synthetic
9,afforded,explicit,0.9960160851478577,10,ViT-L-14-336,synthetic
10,afforded,explicit,0.9999954700469971,11,ViT-L-14-336,synthetic
11,afforded,explicit,8.4788034655503e-06,12,ViT-L-14-336,synthetic
12,afforded,explicit,0.9965439438819885,13,ViT-L-14-336,synthetic
13,afforded,explicit,0.989222526550293,14,ViT-L-14-336,synthetic
14,afforded,explicit,0.9999974966049194,15,ViT-L-14-336,synthetic
15,afforded,explicit,0.6535390019416809,16,ViT-L-14-336,synthetic
16,afforded,explicit,0.022804932668805122,17,ViT-L-14-336,synthetic
17,afforded,explicit,1.563918106128881e-09,18,ViT-L-14-336,synthetic
18,afforded,implicit,0.9945900440216064,1,ViT-L-14-336,synthetic
19,afforded,implicit,0.9999983310699463,2,ViT-L-14-336,synthetic
20,afforded,implicit,0.9975854158401489,3,ViT-L-14-336,synthetic
21,afforded,implicit,0.23895959556102753,4,ViT-L-14-336,synthetic
22,afforded,implicit,0.0115423072129488,5,ViT-L-14-336,synthetic
23,afforded,implicit,0.008364997804164886,6,ViT-L-14-336,synthetic
24,afforded,implicit,7.903779020157486e-11,7,ViT-L-14-336,synthetic
25,afforded,implicit,0.3083423376083374,8,ViT-L-14-336,synthetic
26,afforded,implicit,0.00025667998124845326,9,ViT-L-14-336,synthetic
27,afforded,implicit,0.9999719858169556,10,ViT-L-14-336,synthetic
28,afforded,implicit,0.9999990463256836,11,ViT-L-14-336,synthetic
29,afforded,implicit,0.002520798472687602,12,ViT-L-14-336,synthetic
30,afforded,implicit,0.9995474219322205,13,ViT-L-14-336,synthetic
31,afforded,implicit,0.7704829573631287,14,ViT-L-14-336,synthetic
32,afforded,implicit,0.9999998807907104,15,ViT-L-14-336,synthetic
33,afforded,implicit,0.7434809803962708,16,ViT-L-14-336,synthetic
34,afforded,implicit,0.0074372063390910625,17,ViT-L-14-336,synthetic
35,afforded,implicit,3.8695333159921574e-08,18,ViT-L-14-336,synthetic
36,non_afforded,explicit,3.526394731778737e-09,1,ViT-L-14-336,synthetic
37,non_afforded,explicit,1.42553290061187e-07,2,ViT-L-14-336,synthetic
38,non_afforded,explicit,0.02228868007659912,3,ViT-L-14-336,synthetic
39,non_afforded,explicit,0.19492962956428528,4,ViT-L-14-336,synthetic
40,non_afforded,explicit,0.44441407918930054,5,ViT-L-14-336,synthetic
41,non_afforded,explicit,0.9997296929359436,6,ViT-L-14-336,synthetic
42,non_afforded,explicit,0.9999997615814209,7,ViT-L-14-336,synthetic
43,non_afforded,explicit,0.999690055847168,8,ViT-L-14-336,synthetic
44,non_afforded,explicit,0.9998832941055298,9,ViT-L-14-336,synthetic
45,non_afforded,explicit,0.003983910195529461,10,ViT-L-14-336,synthetic
46,non_afforded,explicit,4.572018042381387e-06,11,ViT-L-14-336,synthetic
47,non_afforded,explicit,0.9999915361404419,12,ViT-L-14-336,synthetic
48,non_afforded,explicit,0.003456067992374301,13,ViT-L-14-336,synthetic
49,non_afforded,explicit,0.010777457617223263,14,ViT-L-14-336,synthetic
50,non_afforded,explicit,2.508611487428425e-06,15,ViT-L-14-336,synthetic
51,non_afforded,explicit,0.3464609682559967,16,ViT-L-14-336,synthetic
52,non_afforded,explicit,0.9771950840950012,17,ViT-L-14-336,synthetic
53,non_afforded,explicit,1.0,18,ViT-L-14-336,synthetic
54,non_afforded,implicit,0.005410003941506147,1,ViT-L-14-336,synthetic
55,non_afforded,implicit,1.6888291156647028e-06,2,ViT-L-14-336,synthetic
56,non_afforded,implicit,0.0024145757779479027,3,ViT-L-14-336,synthetic
57,non_afforded,implicit,0.7610403895378113,4,ViT-L-14-336,synthetic
58,non_afforded,implicit,0.9884576201438904,5,ViT-L-14-336,synthetic
59,non_afforded,implicit,0.9916349649429321,6,ViT-L-14-336,synthetic
60,non_afforded,implicit,1.0,7,ViT-L-14-336,synthetic
61,non_afforded,implicit,0.6916576623916626,8,ViT-L-14-336,synthetic
62,non_afforded,implicit,0.9997432827949524,9,ViT-L-14-336,synthetic
63,non_afforded,implicit,2.8003678380628116e-05,10,ViT-L-14-336,synthetic
64,non_afforded,implicit,9.140459269474377e-07,11,ViT-L-14-336,synthetic
65,non_afforded,implicit,0.997479259967804,12,ViT-L-14-336,synthetic
66,non_afforded,implicit,0.0004525683762039989,13,ViT-L-14-336,synthetic
67,non_afforded,implicit,0.22951699793338776,14,ViT-L-14-336,synthetic
68,non_afforded,implicit,9.532935507650109e-08,15,ViT-L-14-336,synthetic
69,non_afforded,implicit,0.25651904940605164,16,ViT-L-14-336,synthetic
70,non_afforded,implicit,0.9925628304481506,17,ViT-L-14-336,synthetic
71,non_afforded,implicit,1.0,18,ViT-L-14-336,synthetic
