,relationships,prompt_type,probability,group_id,model,dataset
0,afforded,explicit,0.9886026382446289,1,imagebind,synthetic
1,afforded,explicit,0.9960467219352722,2,imagebind,synthetic
2,afforded,explicit,0.868120014667511,3,imagebind,synthetic
3,afforded,explicit,0.9079489707946777,4,imagebind,synthetic
4,afforded,explicit,0.995392918586731,5,imagebind,synthetic
5,afforded,explicit,0.11508926749229431,6,imagebind,synthetic
6,afforded,explicit,2.399054210400209e-05,7,imagebind,synthetic
7,afforded,explicit,0.8125619292259216,8,imagebind,synthetic
8,afforded,explicit,0.013307079672813416,9,imagebind,synthetic
9,afforded,explicit,0.7953057885169983,10,imagebind,synthetic
10,afforded,explicit,0.9951809644699097,11,imagebind,synthetic
11,afforded,explicit,7.959311915328726e-05,12,imagebind,synthetic
12,afforded,explicit,0.9831581115722656,13,imagebind,synthetic
13,afforded,explicit,0.4897145926952362,14,imagebind,synthetic
14,afforded,explicit,0.9924901127815247,15,imagebind,synthetic
15,afforded,explicit,0.002650484209880233,16,imagebind,synthetic
16,afforded,explicit,0.38014551997184753,17,imagebind,synthetic
17,afforded,explicit,0.7670633792877197,18,imagebind,synthetic
18,afforded,implicit,0.958980917930603,1,imagebind,synthetic
19,afforded,implicit,0.9967749714851379,2,imagebind,synthetic
20,afforded,implicit,0.9257867336273193,3,imagebind,synthetic
21,afforded,implicit,0.897658109664917,4,imagebind,synthetic
22,afforded,implicit,0.999151349067688,5,imagebind,synthetic
23,afforded,implicit,0.2173832654953003,6,imagebind,synthetic
24,afforded,implicit,2.5102430299739353e-05,7,imagebind,synthetic
25,afforded,implicit,0.996994137763977,8,imagebind,synthetic
26,afforded,implicit,0.010245874524116516,9,imagebind,synthetic
27,afforded,implicit,0.8979244828224182,10,imagebind,synthetic
28,afforded,implicit,0.9690492749214172,11,imagebind,synthetic
29,afforded,implicit,0.0004266767646186054,12,imagebind,synthetic
30,afforded,implicit,0.9798929691314697,13,imagebind,synthetic
31,afforded,implicit,0.183846116065979,14,imagebind,synthetic
32,afforded,implicit,0.7301934957504272,15,imagebind,synthetic
33,afforded,implicit,0.008177870884537697,16,imagebind,synthetic
34,afforded,implicit,0.1423305869102478,17,imagebind,synthetic
35,afforded,implicit,0.7631500363349915,18,imagebind,synthetic
36,non_afforded,explicit,0.011397382244467735,1,imagebind,synthetic
37,non_afforded,explicit,0.003953319042921066,2,imagebind,synthetic
38,non_afforded,explicit,0.1318800002336502,3,imagebind,synthetic
39,non_afforded,explicit,0.09205105155706406,4,imagebind,synthetic
40,non_afforded,explicit,0.004607115872204304,5,imagebind,synthetic
41,non_afforded,explicit,0.8849107623100281,6,imagebind,synthetic
42,non_afforded,explicit,0.9999760389328003,7,imagebind,synthetic
43,non_afforded,explicit,0.18743810057640076,8,imagebind,synthetic
44,non_afforded,explicit,0.9866929650306702,9,imagebind,synthetic
45,non_afforded,explicit,0.20469418168067932,10,imagebind,synthetic
46,non_afforded,explicit,0.004819062538444996,11,imagebind,synthetic
47,non_afforded,explicit,0.9999203681945801,12,imagebind,synthetic
48,non_afforded,explicit,0.016841914504766464,13,imagebind,synthetic
49,non_afforded,explicit,0.5102854371070862,14,imagebind,synthetic
50,non_afforded,explicit,0.007509906310588121,15,imagebind,synthetic
51,non_afforded,explicit,0.9973495006561279,16,imagebind,synthetic
52,non_afforded,explicit,0.6198545098304749,17,imagebind,synthetic
53,non_afforded,explicit,0.23293663561344147,18,imagebind,synthetic
54,non_afforded,implicit,0.041019052267074585,1,imagebind,synthetic
55,non_afforded,implicit,0.0032249786891043186,2,imagebind,synthetic
56,non_afforded,implicit,0.07421328872442245,3,imagebind,synthetic
57,non_afforded,implicit,0.10234189033508301,4,imagebind,synthetic
58,non_afforded,implicit,0.0008486025035381317,5,imagebind,synthetic
59,non_afforded,implicit,0.7826167345046997,6,imagebind,synthetic
60,non_afforded,implicit,0.9999748468399048,7,imagebind,synthetic
61,non_afforded,implicit,0.003005828708410263,8,imagebind,synthetic
62,non_afforded,implicit,0.9897541403770447,9,imagebind,synthetic
63,non_afforded,implicit,0.10207555443048477,10,imagebind,synthetic
64,non_afforded,implicit,0.03095071390271187,11,imagebind,synthetic
65,non_afforded,implicit,0.999573290348053,12,imagebind,synthetic
66,non_afforded,implicit,0.020107006654143333,13,imagebind,synthetic
67,non_afforded,implicit,0.8161539435386658,14,imagebind,synthetic
68,non_afforded,implicit,0.26980650424957275,15,imagebind,synthetic
69,non_afforded,implicit,0.9918220639228821,16,imagebind,synthetic
70,non_afforded,implicit,0.8576694130897522,17,imagebind,synthetic
71,non_afforded,implicit,0.23684997856616974,18,imagebind,synthetic
