,relationships,prompt_type,probability,group_id,model,dataset
0,related,explicit,0.9556417465209961,1,imagebind,synthetic
1,related,explicit,0.6613665223121643,2,imagebind,synthetic
2,related,explicit,0.9514297842979431,3,imagebind,synthetic
3,related,explicit,0.9755885601043701,4,imagebind,synthetic
4,related,explicit,0.5444060564041138,5,imagebind,synthetic
5,related,explicit,3.064872998947976e-06,6,imagebind,synthetic
6,related,explicit,0.34528687596321106,7,imagebind,synthetic
7,related,explicit,7.74626914790133e-06,8,imagebind,synthetic
8,related,explicit,0.5858192443847656,9,imagebind,synthetic
9,related,explicit,0.999998927116394,10,imagebind,synthetic
10,related,explicit,0.9950568675994873,11,imagebind,synthetic
11,related,explicit,0.16870121657848358,12,imagebind,synthetic
12,related,explicit,0.18376773595809937,13,imagebind,synthetic
13,related,explicit,0.998938262462616,14,imagebind,synthetic
14,related,explicit,0.9999991655349731,15,imagebind,synthetic
15,related,explicit,6.377218960551545e-05,16,imagebind,synthetic
16,related,explicit,0.9994812607765198,17,imagebind,synthetic
17,related,explicit,0.19280369579792023,18,imagebind,synthetic
18,related,implicit,0.9773101806640625,1,imagebind,synthetic
19,related,implicit,0.9449653625488281,2,imagebind,synthetic
20,related,implicit,0.9766547679901123,3,imagebind,synthetic
21,related,implicit,0.9881674647331238,4,imagebind,synthetic
22,related,implicit,0.6286973357200623,5,imagebind,synthetic
23,related,implicit,5.89826822761097e-06,6,imagebind,synthetic
24,related,implicit,0.34932008385658264,7,imagebind,synthetic
25,related,implicit,0.0006767474114894867,8,imagebind,synthetic
26,related,implicit,0.2607645094394684,9,imagebind,synthetic
27,related,implicit,0.9999979734420776,10,imagebind,synthetic
28,related,implicit,0.9925158619880676,11,imagebind,synthetic
29,related,implicit,0.6830029487609863,12,imagebind,synthetic
30,related,implicit,0.014297557063400745,13,imagebind,synthetic
31,related,implicit,0.9978113770484924,14,imagebind,synthetic
32,related,implicit,0.9999595880508423,15,imagebind,synthetic
33,related,implicit,0.0014951520133763552,16,imagebind,synthetic
34,related,implicit,0.9994829893112183,17,imagebind,synthetic
35,related,implicit,0.7445147037506104,18,imagebind,synthetic
36,non_afforded,explicit,0.04435824230313301,1,imagebind,synthetic
37,non_afforded,explicit,0.3386335074901581,2,imagebind,synthetic
38,non_afforded,explicit,0.04857015982270241,3,imagebind,synthetic
39,non_afforded,explicit,0.024411477148532867,4,imagebind,synthetic
40,non_afforded,explicit,0.45559394359588623,5,imagebind,synthetic
41,non_afforded,explicit,0.9999969005584717,6,imagebind,synthetic
42,non_afforded,explicit,0.6547130942344666,7,imagebind,synthetic
43,non_afforded,explicit,0.9999922513961792,8,imagebind,synthetic
44,non_afforded,explicit,0.41418078541755676,9,imagebind,synthetic
45,non_afforded,explicit,1.0734469242379419e-06,10,imagebind,synthetic
46,non_afforded,explicit,0.004943144973367453,11,imagebind,synthetic
47,non_afforded,explicit,0.831298828125,12,imagebind,synthetic
48,non_afforded,explicit,0.8162323236465454,13,imagebind,synthetic
49,non_afforded,explicit,0.0010617160005494952,14,imagebind,synthetic
50,non_afforded,explicit,8.802450111033977e-07,15,imagebind,synthetic
51,non_afforded,explicit,0.9999362230300903,16,imagebind,synthetic
52,non_afforded,explicit,0.000518819026183337,17,imagebind,synthetic
53,non_afforded,explicit,0.8071962594985962,18,imagebind,synthetic
54,non_afforded,implicit,0.022689878940582275,1,imagebind,synthetic
55,non_afforded,implicit,0.055034562945365906,2,imagebind,synthetic
56,non_afforded,implicit,0.023345202207565308,3,imagebind,synthetic
57,non_afforded,implicit,0.011832484044134617,4,imagebind,synthetic
58,non_afforded,implicit,0.37130269408226013,5,imagebind,synthetic
59,non_afforded,implicit,0.999994158744812,6,imagebind,synthetic
60,non_afforded,implicit,0.6506799459457397,7,imagebind,synthetic
61,non_afforded,implicit,0.9993232488632202,8,imagebind,synthetic
62,non_afforded,implicit,0.739235520362854,9,imagebind,synthetic
63,non_afforded,implicit,2.029174083872931e-06,10,imagebind,synthetic
64,non_afforded,implicit,0.0074841114692389965,11,imagebind,synthetic
65,non_afforded,implicit,0.31699705123901367,12,imagebind,synthetic
66,non_afforded,implicit,0.9857024550437927,13,imagebind,synthetic
67,non_afforded,implicit,0.002188691170886159,14,imagebind,synthetic
68,non_afforded,implicit,4.046085450681858e-05,15,imagebind,synthetic
69,non_afforded,implicit,0.9985048770904541,16,imagebind,synthetic
70,non_afforded,implicit,0.000516990025062114,17,imagebind,synthetic
71,non_afforded,implicit,0.25548532605171204,18,imagebind,synthetic
